x	y	w	h	content
664	585	247	93	Most
931	582	352	96	Popular
1314	579	146	98	All
1478	577	367	96	Purpose
1886	574	197	96	Book
2117	573	423	89	Published.
751	819	307	223	C.,
1101	813	255	217	C.
1402	813	268	213	and
1720	819	185	207	C.
1377	1095	539	131	155,000
1944	1112	190	113	have
2162	1118	199	105	been
2389	1125	155	96	sold
1074	1290	150	78	and
1250	1287	135	82	the
1406	1284	321	86	demand
1759	1280	401	88	continues
2188	1276	380	88	unabated.
688	1524	103	87	75
815	1524	236	93	Cents
1070	1523	153	97	per
1241	1523	237	99	Copy;
1496	1523	242	100	$7.50
1767	1523	154	99	per
1944	1523	221	96	Do3.,
2182	1523	387	88	Postpaid.
678	1714	186	72	Copy
884	1715	85	72	of
985	1715	135	73	The
1140	1715	218	75	Music
1382	1715	300	75	Teacher
1698	1715	135	75	and
1849	1715	332	74	complete
2210	1715	360	70	Catalogue
1177	1813	165	68	sent
1356	1811	144	70	free
1531	1809	79	73	on
1651	1808	436	73	Application.
765	1980	116	68	THE
903	1980	58	68	A.
974	1980	49	69	J.
1036	1981	354	71	SHOWALTER
1404	1980	123	74	CO.,
1693	1980	116	70	THE
1826	1980	618	71	SHOWALTER-LINCOLN
2459	1981	114	70	CO.,
855	2065	260	53	DALTON,
1126	2068	274	54	GEORGIA.
1880	2070	259	49	DALLAS,
2148	2068	199	51	TEXAS.
