x	y	w	h	content
1008	470	234	71	INDEX
1280	468	105	73	OF
1432	467	266	74	TUNES.
299	612	88	35	Able
392	612	40	36	to
442	612	86	39	save
535	614	6	37	.
299	656	217	24	Abundantly
530	645	76	35	able
620	643	33	37	to
673	643	79	39	save
1206	606	65	31	No.
1278	606	59	31	237
1380	606	200	39	Coronation
1611	608	22	40	.
1280	641	54	33	225
1349	643	20	32	|
1378	644	104	33	Cross
1488	644	67	35	and
1566	644	108	36	crown
1697	640	8	40	.
2284	611	67	39	No.
2375	617	35	37	81
298	687	23	33	A
337	686	94	32	light
437	685	43	32	on
495	684	61	33	the
567	683	133	35	farther
719	683	89	37	shore
2358	648	58	35	156
294	720	108	36	Alina
457	720	24	40	.
1219	704	32	23	66
1280	678	55	37	104
1382	684	144	39	Downs,
1532	687	44	36	C.
1582	687	53	35	M.
1297	712	37	28	34
2304	694	15	26	6
2362	692	48	34	258
296	756	63	34	All
365	753	147	36	because
523	749	57	39	He
592	748	104	41	loved
704	749	45	40	us
757	750	32	39	so
1220	744	25	18	66
1278	751	57	26	141
1377	720	100	39	Duke
1488	724	131	39	Street,
1625	725	46	38	J.
1677	724	45	39	M.
2302	725	25	17	66
2359	725	56	31	248
297	789	61	32	All
362	788	62	33	for
428	787	64	34	the
506	788	85	37	best
617	794	20	34	.
1220	779	25	19	66
1279	784	49	24	190
1376	766	87	37	Each
1487	767	60	37	day
1558	768	21	37	I
1587	768	85	38	need
1687	768	100	37	Thee,
1795	768	86	36	Lord
2360	775	54	30	136
295	825	65	31	All
368	824	61	32	my
439	824	67	34	life
516	827	79	35	long
621	834	13	31	.
1219	812	10	19	6
1231	811	15	19	6
1296	816	38	24	37
1375	805	144	35	Enough
1531	806	57	35	for
1595	806	57	36	me
2302	804	9	23	6
2313	803	19	22	6
1376	841	90	32	Even
1488	841	58	30	me
2359	810	53	27	140
295	859	65	35	All
364	859	38	35	to
415	860	123	35	Christ
544	862	97	31	lowe
1293	851	39	24	42
2302	843	30	21	66
2360	845	56	29	224
296	895	57	32	All
359	895	38	32	to
421	894	87	32	Thee
1220	883	26	23	66
1276	889	58	26	199
1376	877	88	33	Even
1489	876	57	34	so,
1552	876	111	35	come,
1669	874	90	38	Lord
1776	871	88	41	Jesus
2300	878	32	20	66
295	932	157	31	America
1183	929	83	30	Page
1295	927	38	25	31
1375	908	91	37	Ever
1479	909	75	37	will
1560	910	23	37	I
1590	910	88	38	pray
1696	912	23	37	.
2299	906	36	23	66
2377	910	38	36	79
296	968	23	33	A
339	968	129	34	pilgrim
491	968	87	35	song
1202	965	68	27	No.
1276	962	57	27	157
1279	990	57	33	212
1375	951	144	40	Father,
1526	953	81	39	lead
1614	953	60	39	me
1686	954	94	38	home
1375	988	192	40	Ferguson,
1573	991	41	39	S.
1620	991	59	42	M.
1695	992	23	42	.
2261	961	89	35	Page
2379	955	38	36	79
297	1006	68	29	Are
379	1003	65	31	you
457	1003	133	37	coming
295	1040	71	32	Are
381	1039	64	32	you
462	1038	137	31	washed
608	1035	35	34	in
659	1035	57	33	the
727	1034	100	32	blood
1211	1030	42	23	166
1296	1027	36	30	20
2282	998	70	35	No.
2361	995	55	40	268
295	1075	117	31	Ariel,
420	1070	45	35	C.
471	1068	44	37	P.
523	1068	56	37	M.
1376	1027	87	36	Flow
1487	1026	134	39	gently,
1628	1024	110	41	sweet
1748	1021	103	44	Afton
1278	1065	56	32	200
1378	1062	114	35	Follow
1526	1061	55	38	Me
1615	1063	21	38	.
2258	1034	94	34	Page
2377	1028	40	45	24
299	1106	50	35	At
354	1106	63	37	the
429	1106	101	35	cross
1276	1099	59	39	216
1345	1101	23	38	|
1374	1102	111	40	Gates
1493	1104	45	39	of
1544	1104	63	40	the
1613	1104	168	40	beautiful
2376	1058	41	39	65
297	1144	121	34	Avon,
424	1141	44	36	C.
474	1140	48	36	M.
1220	1133	30	26	66
300	1180	193	33	Avondale,
499	1175	51	37	L.
560	1174	47	36	M.
1277	1137	59	36	262
1375	1141	130	37	Gather
1524	1144	165	33	handfuls
2375	1104	42	41	90
1279	1170	55	27	247
300	1214	127	35	Azmon
442	1212	48	37	C.
495	1211	53	37	M.
1223	1199	29	26	66
1278	1206	56	30	259
1375	1179	189	34	Gathering
1576	1181	101	31	home
2301	1175	36	30	66
2362	1143	58	41	238
2376	1180	46	40	91
295	1258	167	35	Bealoth,
467	1255	40	39	S.
512	1254	57	40	M.
575	1253	54	42	D.
1375	1215	188	35	Gathering
1588	1214	34	37	in
1639	1214	58	37	the
1707	1214	142	37	harvest
1865	1214	14	36	.
1281	1251	53	33	270
1376	1249	130	35	Gather
1519	1250	61	34	the
1589	1250	117	35	golden
1721	1251	94	34	grain
2379	1212	43	38	28
297	1297	183	34	Beautiful
486	1294	72	37	city
568	1294	107	37	above
703	1294	7	37	.
1223	1281	29	27	66
2283	1256	75	34	No.
2376	1251	41	37	55
1222	1314	31	29	66
1280	1286	56	35	159
1349	1286	20	34	|
1377	1286	132	32	Gather
1519	1286	61	32	the
1590	1286	91	33	little
1689	1287	84	33	ones
1781	1287	37	34	in
2377	1280	44	35	78
299	1334	180	30	Beautiful
486	1332	99	31	home
597	1330	104	31	above
1223	1352	30	28	66
1298	1324	41	31	31
1375	1318	105	36	Glory
1495	1319	38	36	to
1546	1320	72	36	God
299	1370	48	31	Be
355	1370	45	31	up
424	1369	66	32	and
505	1368	100	34	doing
620	1367	12	35	.
1224	1386	31	27	66
1280	1361	57	31	109
1377	1358	103	32	Glory
1492	1357	38	32	to
1543	1357	68	33	His
1617	1357	99	35	name
2301	1353	13	30	6
2314	1351	25	27	6
2361	1321	54	37	230
1281	1395	54	30	120
1377	1391	70	32	God
1464	1392	44	32	be
1520	1393	81	33	with
1617	1394	64	34	you
2301	1390	36	23	66
2378	1358	39	31	33
298	1403	143	37	Beyond
456	1404	25	37	.
299	1441	139	31	Beyond
452	1436	59	36	the
523	1434	115	38	golden
655	1432	122	40	sunset
784	1432	62	39	sky
1221	1419	34	28	66
2360	1392	58	31	207
1296	1431	41	28	63
1377	1429	106	30	God's
1491	1426	80	36	care
2301	1423	39	26	46
1296	1466	41	30	87
1377	1464	107	34	Going
1499	1464	100	38	home
2376	1430	42	30	67
298	1477	137	30	Beyond
450	1473	61	33	the
520	1472	126	31	sunset
298	1510	143	32	Beyond
451	1509	65	33	the
522	1508	159	33	swelling
689	1502	92	38	flood
1285	1502	51	27	116
2302	1489	36	26	66
2379	1461	41	36	13
301	1547	140	31	Blessed
453	1545	104	32	home
1221	1525	34	28	66
1377	1500	125	30	Golden
1520	1498	85	32	light
1224	1559	33	31	66
1300	1533	34	31	28
1377	1534	93	32	Gone
1484	1535	98	32	home
2301	1527	33	24	66
2380	1499	37	35	36
299	1582	143	29	Blessed
454	1577	117	36	words
302	1619	87	30	Book
408	1616	41	33	of
457	1615	99	33	grace
568	1612	67	36	and
647	1610	85	39	book
748	1607	39	42	of
796	1606	93	45	glory
1221	1594	35	29	66
1285	1572	53	30	178
1376	1569	217	37	Good-night
2397	1534	24	36	7
1221	1632	9	29	6
1235	1632	20	28	6
1300	1607	38	27	27
300	1653	186	31	Boylston,
491	1648	42	36	S.
538	1647	59	36	M.
1224	1666	32	31	86
1281	1640	57	30	222
1376	1606	180	32	Gratitude
1571	1603	47	36	L.
1628	1602	54	38	M.
2272	1574	92	34	Page
2376	1572	39	33	66
1377	1642	110	31	Guide
1500	1641	45	33	us
1553	1641	82	34	ever
2284	1607	70	31	No.
2361	1606	48	36	262
2359	1639	57	32	157
302	1691	160	29	Bringing
480	1684	31	36	in
529	1683	58	36	the
599	1681	141	36	sheaves
302	1727	102	27	Bring
420	1722	79	30	them
525	1719	38	33	to
573	1718	60	34	the
643	1718	73	35	fold
1224	1702	31	29	66
1281	1676	56	30	145
1377	1685	115	34	Hark,
1500	1683	59	35	the
1570	1682	110	36	trump
1696	1681	40	37	of
1745	1681	72	38	God
1828	1682	33	37	is
1871	1682	163	39	sounding
2299	1685	41	24	66
301	1760	52	33	By
362	1758	72	32	and
443	1755	49	34	by
507	1753	125	33	(Dale)
1226	1735	29	29	66
1298	1706	40	33	24
1298	1748	39	29	52
1379	1719	116	35	Hark,
1504	1720	60	35	the
1574	1721	96	35	voice
1680	1721	39	36	of
1727	1720	110	39	cesus
1866	1718	23	42	.
