x	y	w	h	content
666	421	150	63	LEAD
844	420	96	65	ME
968	419	215	67	WHERE
1208	418	174	69	SHE'S
1410	418	319	70	SLEEPING.
1770	420	277	70	Concluded.
2348	422	57	53	53
493	677	106	38	Where
648	680	55	31	the
717	680	73	31	pine
799	679	15	32	-
821	679	66	32	tree
901	680	117	31	boughs
1063	685	52	24	are
490	712	109	30	Where
1177	682	167	31	swing-ing,
1963	686	19	31	n
2012	686	20	29	-
2053	685	54	27	ern
490	738	113	37	Where
655	710	40	33	so
737	710	52	33	oft
823	710	62	32	our
894	710	109	29	hearts
1535	683	35	40	In
1631	681	54	31	the
1704	680	70	33	balm
1801	680	20	32	-
1834	680	20	32	y
1893	681	88	30	south
1631	709	57	33	the
1713	710	60	32	ear
1782	710	23	32	-
1815	710	79	31	nest
1899	710	96	28	heart
2054	709	54	25	felt
2169	679	107	35	breeze
2285	683	12	32	;
1053	715	76	25	have
1188	711	107	29	blend-
1300	713	47	27	ed,
647	740	57	34	the
714	741	76	34	pine
796	742	16	33	-
818	742	70	33	tree
900	742	122	32	boughs
2175	713	102	32	pray'r
2285	713	15	33	;
1062	744	55	24	are
1178	744	177	34	swing-ing,
1536	729	33	33	In
1632	741	56	34	the
1699	741	71	34	balm
1805	741	21	35	-
1893	742	93	31	south
2014	738	22	33	-
2057	739	56	33	ern
2174	741	104	35	breeze
2287	745	12	32	;
875	979	109	32	Where
990	980	57	31	the
1053	980	147	31	pine-tree
1207	981	115	31	boughs
1329	981	54	31	are
1390	981	150	32	swinging,
1928	976	36	32	In
1977	977	50	32	the
2034	979	99	32	balmy
2140	980	141	32	southern
2291	982	120	31	breeze;
873	1008	113	34	Where
1002	1011	39	31	so
1066	1012	56	30	oft
1133	1013	55	29	our
1195	1014	103	28	hearts
1305	1015	79	27	have
1391	1015	142	28	blended,
1909	1014	28	28	In
1945	1013	52	29	the
2002	1013	124	29	earnest
2131	1013	157	29	heart-felt
2295	1013	100	30	pray'r
2402	1013	2	30	;
871	1038	114	36	Where
992	1041	53	33	the
1053	1043	148	32	pine-tree
1209	1045	115	31	boughs
1332	1046	52	30	are
1393	1045	150	31	swinging,
1929	1042	32	31	In
1974	1043	52	31	the
2033	1044	98	31	balmy
2138	1045	142	29	southern
2289	1044	123	27	breeze.
529	1546	69	33	And
647	1545	55	33	the
715	1546	87	33	birds
819	1547	55	33	are
888	1548	106	32	sweet,
1008	1551	18	29	-
1183	1547	80	33	sing-
1270	1549	67	31	ing,
2013	1547	52	27	the
2133	1542	98	36	trees.
524	1575	77	32	That
1587	1545	80	35	their
1675	1544	92	37	home
1790	1545	21	36	a
1819	1545	16	36	-
1843	1545	96	35	mong
658	1579	31	30	in
701	1579	108	30	heav'n
820	1579	82	29	when
913	1579	53	28	life
1184	1579	60	30	end
1256	1581	18	28	-
1282	1581	51	27	ed,
1515	1577	49	32	We
1597	1578	73	31	may
1677	1579	88	29	meet
1774	1578	59	30	our
2009	1577	64	28	ling
2135	1577	93	32	there.
529	1610	70	30	And
651	1610	53	31	the
719	1609	87	31	birds
824	1608	54	32	are
893	1609	90	30	sweet
1188	1611	77	29	sing-
1272	1610	63	30	ing,
1520	1607	35	33	In
1585	1607	80	33	their
1672	1607	92	34	home
1788	1608	20	33	a
1818	1608	15	33	-
1841	1608	92	34	mong
2010	1606	54	27	the
2134	1606	97	30	trees.
1087	1708	24	39	A
905	1866	66	31	And
977	1866	54	30	the
1036	1866	84	29	birds
1125	1865	53	30	are
1183	1865	136	30	sweet-ly
1345	1864	132	35	singing,
1881	1861	33	34	In
1923	1861	76	33	their
2006	1861	92	33	home
2105	1862	110	32	among
2223	1862	49	32	the
2280	1862	103	34	trees.
901	1894	74	33	That
980	1894	35	32	in
1020	1894	112	31	heav'n
1136	1894	86	31	when
1227	1894	59	31	life
1290	1894	38	31	is
1343	1894	143	31	end-ed,
1878	1893	52	33	We
1936	1893	69	32	may
2011	1893	82	32	meet
2100	1893	60	31	our
2167	1892	112	33	darling
2287	1892	78	33	there
902	1925	74	34	And
981	1925	50	33	the
1037	1925	82	33	birds
1125	1926	55	31	are
1185	1926	141	32	sweet-ly
1348	1926	133	34	singing.
1875	1924	38	32	In
1922	1924	77	32	their
2007	1924	92	31	home
2106	1924	109	32	among
2223	1924	50	32	the
2281	1924	89	33	trees.
