x	y	w	h	content
621	420	70	70	14
735	421	96	71	The
843	422	160	72	Scale,
1015	423	114	73	with
1142	424	236	74	Cadence,
1391	425	51	73	in
1454	426	65	73	all
1531	426	83	73	the
1626	426	150	74	Major
1789	427	141	73	keys,
1943	427	100	73	and
2056	428	96	72	two
2164	428	56	71	of
2232	428	87	71	the
2332	428	155	70	Minor
2499	428	137	69	Keys,
797	508	115	54	KEY
922	507	51	54	C.
2121	514	114	53	KEY
2242	513	50	52	G.
747	732	64	50	Do
831	733	61	49	Re
902	733	57	49	Mi
970	733	50	49	Fa
1030	733	68	49	Sol
1108	732	61	51	La
1185	731	51	54	Ti
1246	729	68	57	Do.
2138	740	62	43	Do
2212	742	56	43	ke
2281	742	66	44	Mi
2355	743	54	44	Fa
2421	743	65	44	Sol
2495	743	53	44	Le
2575	742	49	46	Ti
2649	741	57	46	Bo.
2650	854	28	39	A
1556	1074	110	49	KEY
1682	1074	48	49	D.
1599	1297	48	46	Do
1655	1297	49	46	Re
1711	1297	55	47	Mi
1773	1296	112	50	Fasol
1891	1295	164	55	LaTiDo.
621	1404	149	84	9:4
1608	1431	440	31	ADASQARA
766	1644	32	45	#
826	1634	108	45	KEY
955	1629	44	51	A.
2207	1632	112	56	KEY
2332	1632	55	55	E.
832	1855	51	42	Do
891	1855	51	42	Re
950	1856	54	41	Mi
1011	1856	114	42	FaSol
1132	1857	94	43	LaTi
1233	1858	69	45	Do.
2229	1862	49	46	Do
2285	1863	51	46	Re
2344	1864	51	46	Mi
2404	1864	44	47	Fa
2457	1864	56	47	Sol
2522	1864	94	47	LaTi
2625	1863	59	47	Do.
1306	2157	172	47	Copyright,
1487	2160	71	44	1887,
1566	2161	47	43	by
1621	2162	41	42	A.
1670	2163	29	40	J.
1707	2163	93	40	SHOW
1808	2164	102	38	ALTER
1919	2165	25	37	&
1952	2165	53	37	CO.
