x	y	w	h	content
351	444	1003	154	CLASS,
1432	443	826	145	CHOIR
1286	685	93	42	AND
600	801	1390	124	CONGREGATION
1275	981	114	48	FOR
294	1090	243	63	Singing
560	1089	264	63	Schools,
838	1088	415	63	Conventions,
1267	1086	256	65	Normal
1545	1086	278	67	Schools,
1841	1085	239	69	Sunday
2119	1085	248	72	Schools,
765	1175	229	59	Chorus
1040	1172	211	63	Choirs
1293	1172	116	63	and
1459	1173	448	61	Congregations.
1307	1286	63	43	BY
867	1382	139	89	A.
1027	1382	99	89	J.
1147	1383	687	83	SHOWALTER.
1152	1808	270	49	PUBLISHED
1466	1809	58	47	BY
483	1896	128	65	The
641	1894	93	66	A.
747	1893	79	66	J.
839	1892	504	65	SHOWALTER
1383	1890	425	69	COMPANY,
1822	1891	262	70	Dalton,
2099	1894	95	68	Ga
991	2011	185	47	Copyright,
1184	2013	85	45	1888,
1277	2013	54	44	by
1342	2014	44	43	A.
1395	2014	35	42	J.
1438	2014	168	39	Showalter
1615	2014	31	39	&
1656	2014	43	38	Co
