x	y	w	h	content
246	515	96	56	No.
355	513	74	59	57
442	512	187	61	Uthen
670	510	198	65	Moses
895	510	169	67	smote
1083	512	90	66	the
1195	514	206	66	datater.
423	779	104	44	When
551	783	136	41	Mo-ses
696	786	110	39	smote
816	788	66	38	the
926	788	45	40	wa
979	790	16	38	-
1004	791	71	39	ter,
1103	789	74	40	The
1205	791	165	41	chil-dren
1381	793	52	40	all
1441	793	117	42	passed
404	1227	20	37	o
431	1227	17	37	-
455	1227	72	37	ver,
534	1226	102	39	When
645	1226	113	40	Moses
765	1226	109	40	smote
881	1227	62	40	the
953	1228	70	40	wa-
1030	1228	72	40	ter,
1117	1230	69	39	The
1194	1231	60	39	sea
1264	1233	86	38	gave
1375	1236	23	36	a
1408	1237	16	35	-
1432	1238	74	35	way.
279	1310	39	53	9
365	1630	45	43	1.
418	1631	28	42	O
505	1631	64	43	chil
578	1632	16	42	-
603	1632	81	43	dren
707	1633	94	43	ain't
821	1634	69	42	you
914	1635	83	42	glad
1020	1636	119	42	You've
1149	1637	74	41	left
1238	1639	88	40	that
1350	1640	57	40	sin
1417	1641	24	39	-
1451	1642	51	39	ful
1465	1883	46	37	D.
1518	1885	28	35	C.
409	2092	41	34	ar
461	2091	18	35	-
488	2091	82	36	my?
585	2090	21	37	O
646	2090	159	38	chil-dren
820	2090	87	39	ain't
915	2090	62	39	you
992	2091	80	39	glad
1093	2092	69	39	The
1172	2093	56	39	sea
1254	2095	84	38	gave
1369	2098	22	35	a
1405	2099	19	35	-
1432	2099	96	36	way?
532	2311	45	44	2.
585	2312	30	42	O
626	2313	186	41	Christians
820	2316	83	39	ain't
911	2318	72	39	you
990	2318	87	41	glad
628	2357	116	33	You've
754	2355	67	36	left
827	2355	78	38	that
911	2355	109	43	sinful
1027	2357	94	46	army
1127	2358	13	46	?
584	2395	27	37	O
626	2394	185	38	Christians
817	2392	91	42	ain't
914	2394	68	42	you
991	2396	80	44	glad
627	2430	70	40	The
705	2432	61	38	sea
775	2433	82	38	gave
866	2434	124	39	away?
661	2471	62	38	Cho.
730	2472	144	39	-When
888	2473	115	41	Moses
1010	2474	124	45	smote,
1141	2475	54	47	&c.
533	2528	43	42	3.
585	2528	27	42	O
624	2529	154	42	brothers
787	2531	85	41	ain't
881	2532	68	42	you
958	2533	80	44	glad
627	2573	117	35	You've
753	2571	68	39	left
826	2571	79	42	that
910	2571	110	45	sinful
1025	2573	91	46	army
1122	2575	21	44	?
585	2608	27	41	O
623	2609	155	42	brothers
786	2610	83	42	ain't
877	2612	69	41	you
957	2613	85	42	glad
627	2650	70	40	The
705	2652	60	38	sea
773	2652	83	39	gave
865	2653	89	40	away
964	2652	24	42	?
663	2688	63	41	Cho.
733	2688	144	43	-When
890	2690	113	43	Moses
1011	2691	129	45	smote,
1148	2692	54	46	&c.
873	2736	69	43	175
