x	y	w	h	content
737	583	43	29	12
1053	564	109	52	THE
1186	566	221	48	JUBILEE
1434	565	229	43	SINGERS.
795	671	99	58	The
918	672	196	57	officers'
1130	673	205	56	quarters
1354	672	186	56	became
1563	670	85	57	the
1671	669	138	56	home
1831	667	64	57	of
1910	665	59	58	an
734	742	173	50	earnest
917	739	123	53	band
1050	738	56	53	of
1116	737	235	53	teachers;
1362	734	82	55	the
1458	733	251	53	sick-wards
1721	731	111	54	were
1844	731	117	52	fitted
736	805	61	51	up
807	804	57	52	as
874	803	311	50	schoolrooms,
1195	798	91	55	and
1297	796	121	56	filled
1428	795	105	56	with
1550	794	223	55	hundreds
1783	793	50	55	of
1844	793	118	54	eager
736	859	184	59	children
932	859	38	59	;
982	859	92	59	the
1093	859	265	59	dead-house
1370	859	100	58	was
1481	859	169	57	turned
1662	859	104	56	into
1781	858	39	56	a
1835	858	127	54	store-
732	930	106	49	room
876	927	58	53	of
955	926	196	54	supplies
1172	923	74	57	for
1262	922	80	58	the
1360	921	151	58	naked
1530	920	92	58	and
1638	919	198	56	hungry.
1874	918	96	55	And
732	988	130	55	there
879	988	100	56	was
989	987	62	57	an
1072	987	167	57	almost
1250	986	196	57	pathetic
1457	985	207	55	romance
1679	983	52	56	in
1754	982	84	55	the
1853	981	106	53	work
733	1053	128	54	when
874	1051	36	57	a
927	1051	95	57	pile
1032	1050	60	59	of
1102	1050	124	59	rusty
1236	1049	236	59	handcuffs
1481	1047	96	60	and
1587	1046	162	59	fetters
1759	1046	99	57	from
1892	1045	78	56	the
737	1114	254	56	abandoned
1001	1114	222	56	slave-pen
1241	1113	56	57	of
1308	1113	86	57	the
1408	1113	92	57	city
1512	1113	131	55	came
1655	1112	102	55	into
1772	1112	88	54	the
1872	1111	91	54	pos-
736	1179	166	55	session
915	1178	55	56	of
979	1178	87	56	the
1075	1177	169	56	school,
1254	1176	90	57	and
1354	1175	119	57	were
1483	1174	104	57	sold
1597	1173	65	57	as
1672	1173	76	56	old
1758	1172	118	56	iron,
1886	1171	79	56	and
738	1243	84	54	the
836	1242	162	56	money
1012	1240	201	58	invested
1231	1238	49	60	in
1298	1238	84	60	the
1396	1237	218	60	purchase
1632	1236	56	61	of
1706	1236	256	58	Testaments
736	1303	95	56	and
842	1304	354	55	spelling-books!
797	1365	89	54	The
897	1365	187	56	number
1095	1366	48	56	of
1154	1366	145	56	pupils
1310	1366	52	56	in
1383	1366	114	56	daily
1508	1366	260	54	attendance
1778	1365	87	54	the
1875	1364	91	53	first
737	1436	106	51	year
853	1434	212	53	averaged
1075	1431	105	55	over
1191	1430	85	56	one
1287	1430	244	55	thousand.
1568	1429	131	55	Some
1710	1428	102	56	who
1833	1429	138	54	began
740	1491	73	57	the
826	1492	95	56	first
934	1493	103	55	term
1060	1494	133	55	never
1206	1495	155	54	ceased
1373	1495	256	53	attendance
1641	1493	114	55	until
1768	1492	103	56	they
1883	1490	88	57	had
740	1557	243	54	graduated,
995	1556	75	55	ten
1082	1556	128	55	years
1222	1555	264	56	afterwards,
1497	1555	97	56	from
1620	1554	26	57	a
1658	1554	79	57	full
1749	1554	215	56	collegiate
738	1619	180	54	course.
955	1618	60	56	At
1027	1618	98	56	first
1137	1618	77	57	the
1226	1618	257	58	instruction
1501	1618	102	58	was,
1615	1617	57	59	of
1684	1617	236	59	necessity,
1931	1617	41	59	of
739	1682	57	54	an
821	1682	260	57	elementary
1103	1682	119	57	sort.
1261	1682	102	57	But
1374	1681	85	58	the
1474	1680	102	58	idea
1594	1680	116	57	upon
1734	1678	141	57	which
1896	1677	75	56	the
739	1743	159	54	school
925	1744	100	55	was
1055	1744	219	58	avowedly
1304	1744	216	60	founded,
1544	1744	59	60	of
1630	1744	222	58	providing
1893	1743	76	58	the
738	1801	173	60	highest
924	1803	229	61	collegiate
1169	1805	277	61	advantages,
1458	1807	100	59	was
1569	1808	108	58	kept
1688	1808	275	57	prominently
735	1863	53	58	in
800	1863	140	61	view.
974	1865	60	60	In
1049	1865	110	62	1867
1170	1866	80	62	the
1261	1867	148	62	action
1420	1868	49	61	of
1481	1868	79	61	the
1571	1868	91	61	city
1674	1869	48	60	of
1734	1869	231	59	Nashville,
735	1931	52	54	in
815	1931	180	58	making
1034	1933	125	58	some
1184	1934	214	58	provision
1438	1935	75	57	for
1539	1934	148	57	public
1716	1934	176	55	schools
1925	1933	40	55	at
738	1993	141	56	which
893	1993	209	58	coloured
1117	1992	191	60	children
1323	1992	136	60	could
1471	1992	68	60	be
1554	1992	223	60	educated,
1788	1992	184	59	relieved
739	2051	89	61	the
859	2053	167	63	school
1038	2056	65	61	of
1123	2057	136	62	many
1271	2058	61	61	of
1375	2059	73	61	its
1476	2060	197	60	primary
1701	2061	158	58	pupils
1888	2062	84	56	and
739	2121	172	57	opened
925	2123	86	57	the
1021	2123	97	58	way
1129	2124	74	57	for
1214	2125	132	57	more
1357	2125	210	57	perfectly
1582	2125	198	56	carrying
1800	2124	84	56	out
1896	2124	73	55	the
739	2182	181	60	original
932	2184	215	59	purpose.
1164	2185	36	58	A
1217	2185	237	59	university
1467	2185	173	58	charter
1653	2185	94	58	was
1759	2185	204	56	obtained.
740	2244	137	59	Some
904	2244	63	61	of
986	2244	86	62	the
1095	2244	227	63	buildings
1345	2245	145	63	which
1517	2246	100	61	had
1641	2246	111	61	been
1783	2247	118	58	used
1925	2249	47	56	as
743	2310	288	56	schoolrooms
1043	2312	112	56	were
1166	2313	176	57	refitted
1353	2314	59	56	as
1427	2314	282	57	dormitories,
1720	2315	99	56	into
1831	2315	138	55	which
742	2373	202	59	students
957	2373	95	59	from
1086	2373	178	60	abroad,
1275	2374	134	60	eager
1420	2375	78	59	for
1509	2375	37	59	a
1557	2375	167	60	higher
1735	2377	235	58	education,
739	2437	62	57	at
816	2437	114	58	once
949	2437	144	59	began
1115	2437	55	60	to
1189	2437	184	61	gather.
1406	2438	63	60	It
1480	2438	104	60	was
1594	2438	97	60	not
1701	2438	112	60	long
1830	2438	141	60	before
738	2496	79	57	the
829	2497	182	59	number
1024	2500	207	59	applying
1251	2503	67	56	for
1331	2503	236	58	admission
1580	2504	95	57	was
1688	2505	168	56	greater
1868	2505	103	55	than
737	2566	130	48	could
876	2561	65	52	be
951	2559	355	67	accommodated.
797	2623	144	57	There
955	2624	140	58	never
1109	2625	101	58	was
1227	2626	37	58	a
1281	2626	112	59	hive
1407	2626	61	59	of
1490	2626	158	60	busier
1658	2625	219	62	workers.
1913	2623	58	64	As
