x	y	w	h	content
421	532	281	108	Marsh
720	518	69	120	,
806	512	78	123	8
1080	495	60	83	B
1256	488	61	87	T
1371	485	146	80	jed
584	758	179	71	THE
820	759	274	72	STORY
747	1059	46	35	OF
813	1059	69	36	THE
284	1332	505	94	JUBILEE
860	1323	543	95	SINGERS;
565	1745	144	54	WITH
759	1744	169	55	THEIR
967	1744	183	55	SONGS.
706	2188	133	34	SECOND
858	2190	153	30	EDITION.
744	2585	188	59	London
944	2584	22	59	:
441	2681	253	49	HODDER
730	2678	121	51	AND
888	2677	393	50	STOUGHTON,
620	2761	64	43	27,
691	2763	282	37	PATERNOSTER
996	2762	106	38	ROW.
745	2835	212	30	MDCCCLXXV.
698	3060	70	39	[All
776	3061	93	37	rights
877	3060	122	35	reserved.
1008	3057	14	37	]
