content	x	y	w	h
F	820	188	17	40
I	842	187	13	40
L	853	187	15	40
L	876	188	20	40
M	899	187	23	40
O	931	187	24	40
R	960	187	23	40
E	989	187	23	40
.	1019	186	11	40
C	1066	186	17	40
o	1087	186	16	40
n	1106	186	18	40
c	1132	186	16	40
l	1150	185	12	40
u	1162	185	13	40
d	1180	185	18	40
e	1206	185	16	40
d	1223	185	13	40
.	1241	185	11	40
4	1823	186	16	31
3	1844	185	13	31
5	1858	185	11	31
O	14	236	9	31
r	21	237	12	32
g	30	238	10	32
a	37	239	10	32
n	43	240	9	31
,	48	241	13	32
b	57	243	13	32
y	67	243	13	32
J	82	245	8	31
o	85	246	9	31
h	93	247	11	32
n	100	248	9	31
P	111	250	13	32
.	117	251	13	32
R	128	252	10	32
e	135	253	12	32
s	144	254	10	32
b	241	379	10	24
o	255	378	8	24
u	265	378	8	24
n	276	378	10	24
d	290	378	8	24
l	300	378	7	24
e	310	378	7	24
s	320	377	7	24
s	330	377	7	24
g	355	377	7	24
r	365	377	8	24
a	377	377	9	24
c	387	376	9	24
e	399	376	9	24
t	418	376	6	24
h	425	376	7	24
r	437	377	9	24
o	447	376	9	24
u	459	376	9	24
g	472	376	9	24
h	482	376	8	24
e	505	376	7	24
v	515	375	7	24
-	538	375	6	24
b	242	421	9	29
o	254	420	9	29
u	266	420	8	29
n	275	420	9	29
d	288	420	12	29
-	299	420	8	29
e	308	420	9	29
d	320	419	9	29
l	340	419	4	29
o	345	419	7	29
v	355	419	10	29
e	369	419	12	29
t	386	418	9	29
e	398	418	8	29
n	408	418	7	29
t	426	418	7	29
h	434	418	9	29
o	448	418	10	29
u	461	418	9	29
s	473	418	9	29
-	482	418	8	29
a	491	418	9	29
n	503	418	9	29
d	515	417	9	29
-	548	417	8	29
-	571	374	6	24
-	601	374	6	24
-	631	374	6	24
-	661	373	6	24
e	690	373	7	24
r	700	372	7	24
l	736	372	5	24
a	742	372	8	24
s	755	372	7	24
t	763	371	6	24
-	778	371	6	24
i	797	371	3	24
n	800	371	7	24
g	813	371	11	24
y	834	370	9	24
e	846	371	10	24
a	860	371	8	24
r	870	371	7	24
s	880	371	7	24
a	898	370	6	24
-	931	370	6	24
-	602	416	8	29
-	656	415	8	29
p	678	415	7	29
r	686	415	8	29
e	698	414	9	29
-	713	414	8	29
c	732	414	7	29
i	741	414	7	29
o	750	414	7	29
u	758	414	9	29
s	771	413	12	29
g	792	413	7	29
i	801	413	7	29
f	810	413	6	29
t	816	413	6	29
s	825	412	7	29
b	837	412	12	29
e	852	413	12	29
-	872	413	8	29
l	885	412	7	29
o	893	412	8	29
w	905	412	9	29
,	920	412	8	29
d	970	369	7	24
o	980	369	7	24
r	990	369	8	24
e	1001	369	10	24
,	1011	369	6	24
.	1018	368	6	24
.	1026	368	6	24
.	1033	368	6	24
.	1041	368	6	24
.	1048	368	6	24
.	1056	368	6	24
.	1063	368	6	24
.	1073	368	6	24
.	1081	367	6	24
.	1088	367	6	24
.	1096	367	6	24
.	1103	367	6	24
.	1111	367	6	24
.	1118	367	6	24
.	1126	367	6	24
t	1133	367	6	24
h	1140	366	7	24
r	1152	366	9	24
o	1162	366	9	24
u	1174	366	9	24
g	1187	366	9	24
h	1197	366	8	24
e	1225	365	7	24
v	1235	365	7	24
A	962	411	9	29
n	973	411	10	29
d	987	411	12	29
.	998	411	8	29
.	1007	411	8	29
.	1016	410	8	29
.	1022	410	8	29
.	1031	410	8	29
.	1037	410	8	29
.	1043	410	8	29
.	1052	410	8	29
.	1058	410	8	29
.	1067	410	8	29
.	1073	410	8	29
.	1081	409	8	29
.	1091	409	8	29
.	1097	409	8	29
.	1106	409	8	29
.	1112	409	8	29
.	1118	409	8	29
h	1127	409	9	29
o	1139	408	9	29
p	1150	408	10	29
e	1164	408	12	29
o	1208	407	9	29
f	1220	407	9	29
-	1271	365	6	24
-	1298	365	6	24
-	1331	364	6	24
-	1259	408	8	29
-	1289	407	8	29
-	1319	407	8	29
e	1372	364	8	24
r	1382	364	8	24
l	1426	363	5	24
a	1433	363	7	24
s	1442	363	8	24
t	1452	363	8	24
-	1461	362	6	24
i	1469	362	4	24
n	1472	362	8	24
g	1485	362	12	24
y	1510	362	12	24
e	1526	361	10	24
a	1537	361	8	24
r	1547	361	8	24
s	1557	361	8	24
n	1358	406	9	29
o	1370	406	9	29
b	1382	406	9	29
-	1412	405	8	29
l	1434	405	7	29
e	1443	405	7	29
r	1452	405	7	29
j	1506	404	7	29
o	1515	404	7	29
y	1523	403	8	29
s	1535	403	9	29
a	1611	360	6	24
-	1638	360	6	24
d	1670	360	7	24
o	1680	360	8	24
r	1692	360	9	24
e	1702	360	8	24
y	1718	359	11	24
e	1734	359	9	24
a	1745	359	7	24
r	1755	359	7	24
s	1765	359	7	24
a	1783	358	6	24
-	1803	358	6	24
d	1820	358	7	24
o	1830	358	7	24
r	1840	357	8	24
e	1851	357	10	24
,	1861	357	6	24
a	1598	402	8	29
-	1625	402	8	29
b	1655	401	9	29
o	1667	402	9	29
v	1679	402	9	29
e	1691	402	9	29
,	1703	402	8	29
j	1725	401	7	29
o	1734	401	7	29
y	1742	401	9	29
s	1755	401	12	29
a	1772	400	8	29
-	1799	400	8	29
b	1814	400	9	29
o	1826	400	9	29
v	1837	399	10	29
e	1851	399	12	29
,	1862	399	8	29
T	1704	457	46	14
2	1763	454	47	14
a	237	588	7	23
f	247	588	6	23
t	255	587	5	23
e	261	587	6	23
r	271	587	7	23
d	286	587	9	23
e	299	587	8	23
a	308	587	8	23
t	321	586	7	23
h	329	586	6	23
t	346	586	5	23
h	352	586	8	23
y	363	586	9	23
b	380	586	9	23
o	391	585	10	23
u	406	585	10	23
n	416	585	9	23
d	429	585	12	23
-	444	584	6	23
l	451	584	7	23
e	460	584	8	23
s	470	584	7	23
s	479	584	8	23
g	494	584	7	23
r	503	584	8	23
a	512	583	8	23
c	524	583	9	23
e	536	583	9	23
t	555	583	5	23
h	561	583	7	23
r	572	582	8	23
o	582	582	8	23
u	593	582	10	23
g	608	582	9	23
h	619	582	7	23
t	239	616	5	23
h	246	616	6	23
o	254	616	8	23
u	266	615	9	23
s	278	615	9	23
-	289	615	6	23
a	295	615	9	23
n	307	615	9	23
d	319	614	9	23
p	341	614	7	23
r	350	614	8	23
e	360	614	7	23
-	371	614	6	23
c	379	614	8	23
i	390	613	6	23
o	396	613	7	23
u	407	613	9	23
s	418	613	9	23
g	439	614	8	23
i	450	613	6	23
f	457	613	6	23
t	467	613	6	23
s	474	613	5	23
b	488	613	11	23
e	502	613	11	23
-	522	612	6	23
l	538	612	5	23
o	544	612	7	23
w	555	612	9	23
,	571	611	6	23
A	584	611	13	23
n	602	611	11	23
d	615	611	9	23
e	679	581	9	23
v	691	581	9	23
-	714	580	6	23
-	734	580	6	23
-	753	580	6	23
-	772	579	6	23
e	793	579	7	23
r	802	579	8	23
l	833	579	8	23
a	843	579	8	23
s	855	579	8	23
t	865	579	7	23
-	880	579	6	23
i	894	578	6	23
n	901	578	8	23
g	913	578	11	23
h	673	610	9	23
o	685	610	9	23
p	697	609	9	23
e	709	609	9	23
o	795	608	9	23
f	807	608	9	23
n	835	607	11	23
o	850	608	9	23
b	861	608	7	23
i	893	607	5	23
e	900	607	6	23
r	909	607	7	23
y	959	577	11	23
e	974	577	9	23
a	985	577	7	23
r	994	577	8	23
s	1006	577	9	23
a	1022	576	6	23
-	1043	576	6	23
d	1063	576	9	23
o	1076	575	8	23
r	1085	575	8	23
e	1097	575	9	23
,	1106	575	6	23
t	1122	576	6	23
h	1129	576	7	23
r	1141	575	8	23
o	1150	575	8	23
u	1161	575	10	23
g	1176	575	9	23
h	1186	575	8	23
e	1212	574	9	23
v	1224	574	9	23
-	1247	574	6	23
-	1266	573	6	23
e	1288	573	5	23
r	1295	573	6	23
j	960	606	5	23
o	966	606	8	23
y	978	606	9	23
s	990	606	9	23
a	1025	605	6	23
-	1044	605	6	23
b	1059	605	9	23
o	1071	605	10	23
v	1085	604	10	23
e	1098	604	9	23
,	1109	604	6	23
A	1123	604	11	23
n	1137	604	11	23
d	1151	603	12	23
h	1186	603	9	23
o	1198	603	9	23
p	1210	602	9	23
e	1222	602	9	23
o	1288	602	7	23
f	1297	602	8	23
l	1350	572	6	23
a	1357	572	7	23
s	1369	572	8	23
t	1378	572	8	23
-	1408	571	6	23
-	1439	572	6	23
-	1468	571	6	23
n	1359	601	9	23
o	1372	601	8	23
b	1381	601	8	23
-	1418	600	6	23
-	1447	600	6	23
i	1512	571	5	23
n	1517	571	8	23
g	1530	570	11	23
y	1549	570	11	23
e	1564	570	10	23
a	1575	570	7	23
r	1585	569	8	23
s	1596	569	9	23
a	1617	569	6	23
-	1638	569	6	23
d	1666	568	9	23
o	1678	568	8	23
r	1688	568	8	23
e	1699	568	9	23
,	1710	567	6	23
y	1728	568	9	23
e	1740	568	9	23
a	1753	568	8	23
r	1762	568	8	23
s	1772	567	7	23
a	1790	567	6	23
-	1809	567	6	23
d	1822	567	9	23
o	1834	567	8	23
r	1844	566	8	23
e	1855	566	9	23
,	1866	566	6	23
l	1499	599	7	23
e	1509	599	7	23
r	1510	599	25	23
j	1563	598	24	23
o	1581	598	7	23
y	1589	597	10	23
s	1603	597	11	23
a	1622	597	6	23
-	1642	597	6	23
b	1662	597	9	23
o	1674	597	9	23
v	1685	597	10	23
e	1699	597	11	23
,	1709	596	6	23
j	1726	596	5	23
o	1732	596	7	23
y	1743	596	9	23
s	1755	596	9	23
a	1786	595	6	23
-	1802	595	6	23
b	1818	595	9	23
o	1830	595	9	23
v	1842	594	9	23
e	1854	594	9	23
,	1865	594	6	23
2	1796	627	3	11
g	250	764	7	23
r	259	763	8	23
a	268	763	8	23
c	280	763	9	23
e	292	763	9	23
,	300	763	6	23
l	249	793	5	22
o	255	793	7	22
v	266	792	9	22
e	277	792	8	22
,	288	792	5	22
t	316	792	5	22
e	322	791	6	22
n	331	791	7	22
t	354	762	5	23
h	360	762	7	23
r	371	762	9	23
o	383	761	9	23
u	395	761	9	23
g	407	761	9	23
h	419	761	9	23
e	442	761	7	23
v	451	760	8	23
-	471	760	6	23
e	487	760	8	23
r	497	760	7	23
l	524	759	5	23
a	530	759	7	23
s	542	759	8	23
t	552	759	7	23
-	560	759	6	23
i	567	759	6	23
n	573	758	8	23
g	586	758	11	23
y	606	758	9	23
e	618	758	9	23
a	631	758	8	23
r	641	757	7	23
s	650	757	8	23
a	670	757	6	23
-	687	757	6	23
d	702	756	9	23
o	715	756	8	23
r	724	756	8	23
e	736	756	9	23
.	744	756	6	23
.	754	756	6	23
.	761	756	6	23
.	768	755	6	23
.	776	755	6	23
.	780	755	6	23
t	408	789	7	22
h	417	789	8	22
o	428	789	9	22
u	442	789	9	22
s	453	788	8	22
-	474	788	5	22
a	488	788	8	22
n	499	788	9	22
d	512	787	11	22
p	531	787	9	22
r	544	787	7	22
e	553	787	7	22
-	570	787	5	22
c	588	786	7	22
i	597	786	6	22
o	604	786	7	22
u	614	786	9	22
s	627	786	11	22
g	646	785	9	22
i	659	785	7	22
f	667	785	5	22
t	673	785	6	22
s	682	785	7	22
b	696	785	11	22
e	710	784	11	22
-	738	784	5	22
l	761	784	5	22
o	766	783	8	22
w	779	783	11	22
,	796	783	5	22
.	805	783	5	22
.	812	783	5	22
.	819	783	5	22
t	1134	750	6	25
h	1141	749	6	25
r	1151	749	8	25
o	1161	749	9	25
u	1173	749	10	25
g	1187	749	9	25
h	1198	749	8	25
e	1221	748	8	25
v	1232	748	7	25
-	1251	748	6	25
e	1277	747	6	25
r	1285	747	5	25
.	1085	778	6	25
.	1090	778	6	25
.	1098	778	6	25
.	1106	778	6	25
.	1114	778	6	25
.	1122	778	6	25
.	1127	778	6	25
A	1135	778	11	25
n	1150	777	11	25
d	1164	777	10	25
h	1198	777	10	25
o	1211	776	10	25
p	1224	776	9	25
e	1235	776	8	25
o	1269	775	8	25
f	1280	775	7	25
l	1347	746	6	25
a	1354	746	7	25
s	1364	746	8	25
t	1375	746	7	25
.	1381	746	6	25
.	1388	746	6	25
.	1396	745	6	25
.	1404	745	6	25
.	1412	745	6	25
.	1420	745	6	25
.	1426	745	6	25
.	1434	745	6	25
.	1440	745	6	25
.	1448	745	6	25
.	1456	745	6	25
.	1464	744	6	25
.	1472	744	6	25
.	1479	744	6	25
.	1487	744	6	25
i	1504	744	4	25
n	1507	744	7	25
g	1519	744	10	25
y	1555	743	10	25
e	1569	743	9	25
a	1580	743	8	25
r	1591	742	7	25
s	1601	742	8	25
a	1622	742	6	25
-	1641	742	6	25
d	1656	741	7	25
o	1665	741	9	25
r	1678	741	9	25
e	1689	741	8	25
