x	y	w	h	content	
216	259	34	27	18	
726	257	245	28	RUDIMENTS	
1009	257	52	28	OF	
229	304	56	17	What	
299	305	15	16	is	
326	310	10	11	a	
350	304	63	17	third?	
227	329	32	16	An	
273	329	83	16	interval	
371	329	58	16	which	
445	329	83	16	involves	
543	329	53	17	three	
612	329	84	21	degrees,	
712	334	20	11	as	
748	329	13	16	C	
778	328	36	16	and	
831	329	21	15	E.	
228	353	50	16	How	
293	358	53	17	many	
347	352	75	17	kinds	
439	353	21	16	of	
477	353	61	16	thirds	
554	358	32	11	are	
602	353	64	16	there?	
228	377	155	22	Three—Major	
395	377	69	19	thirds,	
477	377	63	16	Minor	
554	376	61	16	thirds	
629	377	37	15	and	
680	377	112	15	Diminished	
794	376	85	16	thirds.	
228	401	58	17	What	
305	402	15	15	is	
339	406	10	11	a	
367	401	62	16	minor	
447	401	63	17	third?	
229	426	17	16	A	
258	425	52	17	third	
321	430	21	12	as	
354	425	54	16	small	
421	430	20	11	as	
453	425	53	17	three	
517	424	110	22	half-steps.	
229	450	58	17	What	
301	450	15	16	is	
330	455	10	11	a	
354	449	68	22	Major	
436	449	63	17	third?	
228	474	18	16	A	
260	474	52	17	third	
326	478	20	12	as	
361	475	54	21	great	
429	478	20	12	as	
462	474	37	15	two	
513	474	58	21	steps.	
228	498	49	16	What	
280	499	36	16	is	
329	503	10	10	a	
354	497	77	17	fourth?	
229	522	31	17	An	
272	522	83	17	interval	
367	521	59	17	which	
438	521	83	16	involves	
535	520	44	17	four	
591	520	85	22	degrees,	
689	525	19	11	as	
722	520	20	16	C.	
756	519	37	17	and	
807	518	20	18	F.	
229	546	46	16	How	
275	551	70	16	many	
345	545	72	17	kinds	
431	545	21	16	of	
466	545	76	16	fourths	
556	550	32	11	are	
602	544	64	16	there?	
227	564	165	22	Three—Perfect	
405	569	73	19	fourth,	
491	568	119	17	Diminished	
623	568	66	16	fourth	
703	568	37	16	and	
754	567	123	22	Augmented	
889	565	73	19	fourth,	
228	594	58	17	What	
303	594	15	16	is	
337	599	10	10	a	
366	593	119	17	Diminished	
505	592	77	17	fourth?	
228	619	17	16	A	
260	617	67	17	fourth	
341	623	20	11	as	
376	619	55	20	great	
444	622	21	11	as	
478	622	35	11	one	
528	618	41	21	step	
584	616	38	16	and	
636	617	37	15	two	
687	615	109	22	half-steps.	
228	642	58	17	What	
304	642	15	17	is	
337	647	11	10	a	
366	641	78	17	Perfect	
462	640	78	17	fourth?	
229	666	17	16	A	
263	666	67	16	fourth	
346	671	20	11	as	
383	667	55	20	great	
453	670	21	11	as	
489	666	38	15	two	
544	666	52	20	steps	
613	665	37	16	and	
667	669	35	11	one	
717	663	100	22	half-step.	
228	690	59	17	What	
299	690	16	16	is	
328	695	24	11	an	
365	688	122	24	Augmented	
501	688	78	17	fourth?	
229	715	17	16	A	
263	714	67	16	fourth	
345	719	20	11	as	
381	715	55	21	great	
451	718	21	12	as	
487	713	54	16	three	
556	714	58	21	steps.	
229	738	48	17	What	
279	738	38	17	is	
331	743	10	11	a	
355	738	56	16	fifth?	
230	762	30	17	An	
272	762	82	16	interval	
366	761	58	17	which	
435	761	84	17	involves	
530	761	36	16	five	
578	760	78	23	degrees	
669	766	20	11	as	
701	760	15	17	C	
727	760	37	16	and	
777	760	22	17	G.	
231	787	49	16	How	
293	791	53	17	many	
346	785	73	17	kinds	
433	785	22	17	of	
469	785	54	17	fifths	
538	790	32	11	are	
585	785	64	16	there?	
230	805	163	22	Three—Perfect	
406	809	61	19	fifths,	
479	809	119	17	Diminished	
612	808	55	17	fifths	
681	808	37	16	and	
732	809	117	21	Augmented	
848	807	79	17	fifths.	
230	834	57	17	What	
302	835	16	16	is	
333	839	10	11	a	
357	833	119	17	Diminished	
491	833	56	16	fifth?	
230	859	18	16	A	
260	858	44	17	fifth	
316	863	20	11	as	
348	859	55	21	great	
414	863	20	11	as	
446	859	36	15	two	
494	859	52	21	steps	
558	858	38	15	and	
608	858	37	15	two	
657	856	109	22	half-steps.	
230	882	59	17	What	
306	882	15	17	is	
340	887	11	11	a	
369	882	78	16	Perfect	
465	881	56	16	fifth?	
231	907	17	16	A	
261	906	45	17	fifth	
317	911	20	12	as	
350	907	54	21	great	
417	911	20	11	as	
450	905	52	17	three	
515	907	52	20	steps	
580	905	37	16	and	
630	910	35	11	one	
677	904	100	22	half-step.	
231	930	58	17	What	
301	931	16	16	is	
330	936	23	11	an	
366	929	122	23	Augmented	
502	929	56	16	fifth?	
231	955	18	16	A	
261	954	45	16	fifth	
319	959	20	12	as	
352	955	54	21	great	
418	959	20	11	as	
452	953	44	17	four	
510	954	57	21	steps.	
233	978	47	17	What	
283	978	34	16	is	
328	983	11	10	a	
351	978	61	16	sixth?	
232	1002	31	17	An	
277	1002	82	16	interval	
373	1002	59	16	which	
448	1001	83	17	involves	
546	1002	28	15	six	
589	1001	85	22	degrees,	
689	1006	20	11	as	
724	1001	14	16	C	
754	1000	37	16	and	
807	1001	23	16	A.	
232	1026	49	17	How	
293	1031	54	18	many	
346	1026	61	16	kinds	
410	1026	41	16	of	
463	1026	60	16	sixths	
536	1031	32	10	are	
581	1025	64	16	there?	
232	1044	140	23	Three—Minor	
373	1049	77	20	sixth,	
463	1049	67	22	Major	
544	1049	49	16	sixth	
607	1049	37	16	and	
658	1048	122	22	Augmented	
794	1048	54	17	sixth.	
231	1074	59	17	What	
303	1075	15	16	is	
331	1079	10	11	a	
355	1074	68	21	Major	
435	1073	61	17	sixth?	
232	1098	18	17	A	
265	1098	49	17	sixth	
329	1103	20	11	as	
364	1099	55	21	great	
432	1103	21	11	as	
468	1098	45	16	four	
527	1099	53	20	steps	
594	1097	37	16	and	
646	1102	34	11	one	
695	1096	100	22	half-step.	
232	1122	58	17	What	
302	1122	15	17	is	
329	1127	11	11	a	
352	1122	63	16	Minor	
427	1121	60	17	sixth?	
233	1147	18	16	A	
263	1146	50	17	sixth	
326	1151	20	11	as	
359	1147	55	21	great	
428	1150	20	12	as	
460	1145	53	17	three	
526	1147	53	20	steps	
593	1145	37	16	and	
643	1146	36	15	two	
693	1144	110	22	“valf-steps.	
233	1170	58	17	What	
306	1170	16	17	is	
338	1175	24	11	an	
