x	y	w	h	content
299	236	53	18	XXXAnd
360	237	48	18	have
418	239	46	21	hope
475	242	67	15	toward
551	242	44	18	God,
605	244	59	16	which
676	245	41	21	they
727	245	100	17	themselves
829	247	55	15	also
894	247	58	18	allow,
964	248	37	16	that
1012	249	50	16	there
255	261	73	16	Charles
336	261	73	22	Wesley
422	263	47	16	1759.
235	284	24	16	Key
260	284	38	20	of
307	284	14	15	B
331	284	44	16	Flat.
349	408	45	16	Come
397	409	43	16	let
461	415	21	10	us
498	411	36	19	join
552	416	32	11	our
594	412	68	17	friends
671	413	72	17	a-bove.
752	414	62	17	Thath
340	431	40	16	And
411	437	22	11	on
455	432	30	17	the
498	438	21	11	ea
537	442	6	2	-
561	434	29	21	gle
598	439	46	16	wings
646	441	28	10	of
677	436	44	16	lov.
347	702	39	16	One
410	703	37	16	fam
464	705	37	15	-i-
511	704	24	18	ly,
543	710	27	11	we
583	705	51	17	dwell
336	724	76	23	Though
420	731	42	11	now
470	727	76	16	di-vi-
562	728	34	16	ded
627	729	24	21	by
660	730	30	17	the
700	734	74	15	stream,
782	732	38	17	The
827	739	77	11	nar-row
913	738	67	14	stream
209	773	406	70	ee
659	708	17	15	in
335	855	42	16	Part
386	856	19	16	of
414	856	30	17	the
453	857	42	16	host
505	859	46	15	have
561	859	74	16	crossed
645	859	29	17	the
694	858	53	20	fiood,
226	876	35	17	The
268	878	56	16	above
334	878	57	21	hymn
399	884	39	11	was
446	880	82	20	published
530	881	37	16	in
577	882	30	16	the
616	887	55	11	second
674	883	77	17	series
759	885	19	15	of
227	901	15	14	to
251	900	29	16	the
287	900	72	17	Cfiurch
367	902	19	15	of
395	901	89	22	England,
494	904	31	16	but
535	904	42	16	with
587	905	28	16	his
623	906	72	16	brother
706	907	50	16	John,
760	909	29	16	in
798	914	71	12	connec
488	927	37	16	See
534	927	32	16	full
575	931	90	13	statement
669	930	31	15	in
711	930	96	17	reference
822	935	17	13	to
848	932	17	16	hi
225	945	81	17	founders
314	947	18	15	of
342	948	116	18	Methodism,
468	949	60	16	which
537	950	34	16	has
245	968	36	17	The
289	968	48	22	Hymn
340	975	58	12	was
406	972	44	15	used
460	972	10	16	b
227	922	92	18	thousands
326	924	24	16	he
357	926	105	19	composed.
206	986	5	4	”
225	991	64	17	wells
297	993	51	16	other
356	996	53	14	tunes
225	1059	24	17	Key
250	1061	36	20	of
295	1061	19	16	F.
324	1062	64	21	Major.
328	1461	15	16	O
369	1461	41	16	Jand
424	1466	10	10	of
436	1461	60	17	rest,
472	977	12	15	y
492	973	51	16	John
553	974	74	21	Wesley
644	975	52	16	when
706	975	23	17	he
436	994	18	16	of
462	995	38	16	him
509	997	18	15	in
537	996	36	17	this
580	1002	47	16	song
636	998	53	17	book.
724	437	28	16	eTo
754	443	50	16	joy
811	444	10	10	ce
824	444	9	11	-
842	440	33	16	les
877	445	24	10	-
911	441	29	16	tial
706	708	43	17	him,
756	709	39	16	One
803	710	69	17	churcha
878	716	27	11	-
915	712	46	17	bove
884	209	166	30	ARNOLD.
1054	215	52	25	C.
1131	216	39	25	M.
