x	y	w	h	content
1068	1618	539	81	WARNING
848	1733	93	51	The
951	1733	149	52	words
1110	1733	92	52	and
1228	1733	153	51	music
1404	1732	63	52	of
1486	1732	83	51	the
1595	1731	172	50	hymns
1787	1729	50	52	in
1870	1728	79	51	the
740	1804	228	54	collection
980	1801	86	58	are
1079	1800	367	59	"copyrighted."
1481	1799	103	59	Any
1613	1799	166	56	person
1808	1800	139	52	print-
741	1877	79	48	ing
832	1876	91	50	any
936	1875	107	51	part
1052	1874	60	52	of
1134	1873	150	53	words
1303	1872	59	54	of
1384	1872	148	53	music
1557	1871	191	53	without
1770	1871	176	50	written
741	1949	194	46	consent
956	1946	58	49	of
1033	1945	79	51	the
1130	1945	177	51	owners
1336	1943	95	53	will
1440	1942	56	53	be
1522	1942	106	53	held
1640	1941	230	52	amenable
1900	1941	44	51	to
741	2015	81	48	the
831	2016	110	48	law.
