x	y	w	h	content
128	488	242	78	Nc.41.
393	475	53	90	J
468	472	167	90	Have
652	467	190	92	Found
858	465	87	93	at
966	466	141	90	Last
1123	469	55	86	a
1199	471	234	82	Saviour.
169	578	110	47	Words
286	578	73	48	and
367	578	138	50	Melody
513	579	52	50	by
573	579	46	50	C.
628	580	52	49	A.
688	581	178	47	TINDLEY.
1094	586	168	44	Arranged
1272	586	50	44	by
1332	585	46	46	F.
1389	585	46	46	A.
1445	585	138	47	CLARK.
197	815	38	50	1.
288	812	22	38	I
318	812	82	39	have
408	813	107	40	found
523	814	39	40	at
571	814	74	41	last
664	815	61	42	the
747	815	63	43	Sav
819	815	18	44	-
847	815	95	47	iour,
986	813	52	38	Of
287	851	24	39	I
344	851	82	42	have
434	851	166	45	promised
608	853	22	44	I
638	853	109	46	would
755	855	54	45	fol
817	856	17	45	-
842	857	89	45	low,
984	854	82	44	How
1090	815	100	43	whom
1209	816	78	43	I've
1301	817	57	42	oft
1366	817	19	43	-
1393	817	43	43	en
1458	817	107	43	heard,
197	891	43	37	3.
247	891	117	40	Christ
374	892	33	40	is
415	893	69	41	now
504	894	56	41	my
568	895	63	41	sum
674	897	41	41	of
734	898	174	43	pleas-ure,
1139	857	44	41	ev
1193	858	17	40	-
1219	859	34	39	er
1262	859	109	41	rough
1379	861	64	41	the
1457	862	86	43	way,
948	896	171	39	Counting
1135	898	47	38	all
1191	898	111	39	things
1311	900	64	38	else
1385	901	64	38	but
1459	903	104	38	dross,
238	1310	76	43	And
349	1312	27	42	I
388	1312	86	43	have
483	1314	66	41	the
561	1315	170	43	pre-cious
745	1318	45	41	fa
801	1318	28	42	-
837	1319	68	42	vor,
956	1319	56	38	He
1039	1319	63	38	has
1109	1319	165	39	promised
1294	1318	38	40	in
1364	1318	67	40	His
1457	1318	90	41	word
1556	1318	8	41	:
233	1354	158	40	Leaving
409	1353	46	41	all
463	1353	111	43	things
582	1354	44	42	of
655	1355	41	42	to
712	1356	25	42	-
745	1357	170	45	mor-row,
970	1359	26	38	I
1020	1359	72	37	will
1098	1359	89	37	trust
1194	1359	71	38	Him
1285	1359	80	39	just
1375	1359	40	39	to
1426	1359	22	40	-
1456	1359	62	41	day
1527	1359	16	42	:
265	1396	25	38	I
314	1396	83	38	have
405	1396	105	39	found
517	1396	56	40	my
581	1397	128	40	richest
723	1399	98	39	treas-
830	1401	72	38	ure,
1089	1401	103	34	round
1204	1401	59	35	the
1288	1401	36	36	sa
1336	1401	16	36	-
1359	1401	75	37	cred
1450	1401	95	37	Cross
1551	1400	8	38	:
138	1780	48	97	CKEN
261	1806	51	38	O,
330	1806	60	38	the
404	1807	58	38	joy
470	1808	73	37	that
551	1808	110	38	comes
669	1809	38	37	to
733	1809	63	37	me,
805	1810	13	36	.
827	1810	30	36	..
866	1810	18	36	.
893	1810	75	37	And
980	1810	57	37	the
1046	1811	104	36	pow'r
1159	1811	72	36	that
1240	1811	109	36	makes
1358	1811	50	36	me
1418	1811	78	36	free,
1506	1811	10	36	.
1526	1811	54	36	...
