x	y	w	h	content
653	449	91	87	W.
762	449	62	87	P.
841	449	304	90	Reeves
714	698	259	43	ENLARGED
1014	695	194	46	EDITION
510	834	364	167	Soul
1001	829	444	177	Echoes
770	1081	30	46	A
816	1080	291	45	COLLECTION
1128	1076	57	49	OF
437	1196	28	71	..
484	1195	190	72	Songs
724	1192	108	75	For
858	1191	294	77	Religious
1186	1191	319	77	Meetings..
761	1376	300	112	NO.
1108	1373	71	114	2
637	1709	177	49	EDITED
836	1709	98	48	AND
958	1708	241	48	COMPILED
1233	1706	63	49	BY
436	1832	208	64	Bishop
659	1832	51	63	J.
724	1831	60	63	S.
799	1831	277	62	Caldwell,
1091	1829	73	64	D.
1178	1828	60	64	D.
557	1928	201	68	Bishop
773	1930	69	66	L.
857	1930	60	67	J.
932	1929	233	69	Coppin,
1180	1926	69	72	D.
1264	1925	56	73	D.
617	2029	205	64	Bishop
837	2030	63	63	G.
915	2030	50	63	L.
979	2029	311	66	Blackwell,
1303	2027	64	69	D.
1381	2026	60	70	D.
736	2135	143	59	Rev.
891	2133	74	62	C.
977	2132	86	64	A.
1075	2131	259	64	Tindley,
1346	2127	89	68	D.
1447	2125	37	69	D
578	2366	117	56	Soul
711	2367	168	56	Echoes
917	2368	243	55	Publishing
1173	2370	200	53	Company
685	2435	94	58	420
794	2437	139	57	South
973	2438	204	55	Eleventh
1188	2436	63	55	St.
783	2507	312	57	Philadelphia,
1107	2510	76	55	Pa.
859	2709	148	38	Copyright,
1015	2709	60	37	1909
552	2758	84	42	Soul
650	2758	127	44	Echoes
785	2760	189	43	Publishing
981	2761	156	42	Company
458	2834	59	46	For
527	2835	74	46	Sale
611	2835	38	47	at
659	2836	41	46	A.
710	2836	53	47	M.
773	2836	41	47	E.
824	2837	46	47	Z.
881	2837	190	48	Publication
1088	2838	124	47	House,
1222	2838	166	48	Charlotte,
1399	2838	40	48	N.
1450	2838	31	48	C.
