x	y	w	h	content
646	586	594	83	CONTENTS
517	825	38	44	A
158	901	119	37	Abide
287	899	85	38	with
386	899	74	39	me.
469	900	11	39	.
489	901	84	40	.....
793	894	7	39	.
809	894	11	39	.
829	894	24	39	.
867	893	41	41	28
975	893	78	47	Let
1062	894	111	49	Jesus
1182	896	56	48	fix
1248	898	35	47	it
1293	900	65	47	for
1368	903	77	45	you
1455	907	29	42	..
1494	909	109	42	......
1613	916	11	35	.
1634	917	70	35	...
1708	910	23	38	5
158	947	104	44	After
273	948	144	45	awhile.
426	950	195	45	..........
651	954	26	40	..
687	952	12	40	.
709	951	9	40	.
728	950	127	35	......
865	944	42	40	39
978	945	91	48	Lily
1079	945	42	49	of
1131	945	67	51	the
1207	946	137	52	Valley
1356	950	107	50	(The)
1472	955	12	45	.
1494	956	188	47	.........
156	999	111	43	Alas,
276	996	81	45	and
369	995	69	44	did
447	993	66	45	my
526	992	171	43	Saviour
706	989	153	43	bleed..
868	987	39	45	47
977	995	106	49	Lord
1094	997	79	48	will
1183	998	113	49	make
1306	1000	67	48	the
1383	1001	85	48	way
1479	1002	106	47	(The)
1596	1003	11	46	.
1617	1003	11	46	.
1639	1003	39	46	..
1688	1003	39	46	24
155	1050	149	40	Almost
319	1046	229	45	Persuaded.
558	1050	76	43	....
817	1047	13	38	.
835	1046	26	37	.
866	1044	42	36	36
155	1100	180	41	Amazing
343	1097	138	42	Grace!
490	1096	79	42	how
589	1097	121	41	sweet.
720	1099	21	38	.
751	1099	30	38	..
791	1100	55	37	...
865	1096	40	38	26
1325	1074	30	49	M
157	1149	114	44	Away
281	1149	45	43	in
335	1149	66	42	the
411	1148	207	42	Kingdom.
867	1143	39	37	22
979	1149	198	45	Marching
1187	1149	102	47	must
1300	1151	53	46	be
1367	1153	99	47	done.
1477	1157	75	46	....
1710	1162	17	35	9
507	1220	31	51	B
978	1198	232	49	Missionary
1227	1205	499	47	Band................12B
982	1244	66	49	My
1058	1248	130	50	Secret
1198	1254	48	46	of
1256	1256	66	45	Joy
1333	1259	190	45	..........
1534	1262	145	41	.......
1690	1263	38	40	14
156	1299	128	44	Better
301	1298	119	47	Home
429	1300	13	45	(
452	1300	23	45	A
485	1301	10	45	)
505	1302	12	44	.
527	1303	90	45	.....
748	1310	13	32	.
769	1309	11	32	.
788	1308	14	32	.
810	1306	40	33	..
865	1303	37	35	10
978	1296	69	48	My
1058	1298	93	47	soul
1162	1300	158	48	delights
1330	1304	42	45	to
1382	1306	100	45	sing.
1493	1309	7	42	.
1511	1309	11	43	.
1532	1310	146	45	.......
1689	1316	13	39	3
507	1373	33	48	C
1335	1376	32	51	N
158	1452	185	44	Christian
352	1453	161	43	Seaman
525	1456	11	40	.
545	1456	51	39	...
866	1456	35	37	11
978	1450	166	47	Nothing
1154	1452	168	50	between.
1334	1458	61	47	....
1513	1472	161	31	........
1709	1459	20	37	8
154	1504	253	43	Consolation.
1331	1531	30	47	O
503	1587	31	48	D
979	1604	26	42	O
1024	1604	67	43	for
1102	1606	26	42	a
1140	1607	111	45	heart
1260	1613	12	40	.
1282	1614	12	40	.
1303	1616	113	46	......
1690	1614	39	37	46
157	1662	123	49	Depth
289	1663	44	48	of
342	1663	133	49	Mercy
487	1665	13	47	(
509	1665	196	47	Seymour)
714	1668	9	44	.
733	1669	72	42	....
815	1670	41	41	..
865	1671	13	40	2
981	1653	27	43	O
1022	1654	82	45	how
1121	1656	132	46	happy
1266	1659	72	43	are
1346	1661	88	42	they
1692	1660	37	42	48
980	1704	83	43	Our
1073	1704	177	46	Father's
1259	1709	163	43	Church.
1431	1715	64	38	...
1505	1718	186	37	.........
1700	1710	24	34	6
516	1750	26	41	F
1337	1780	31	49	P
157	1828	160	45	Forever
325	1830	94	43	here
427	1831	67	43	my
502	1833	81	42	rest
592	1834	185	45	..........
866	1834	37	39	43
165	1877	98	47	From
286	1878	122	47	youth
416	1881	48	44	to
