x	y	w	h	content
718	574	84	82	12
832	573	47	86	g
899	573	146	91	will
1064	572	115	95	Go,
1199	571	78	97	If
1297	571	124	99	My
1441	570	197	100	Father
1658	570	171	99	Holds
1849	569	125	98	Ly
1994	569	165	93	Land.
761	698	119	44	Words
888	697	70	44	and
966	697	112	44	Music
1087	697	52	44	by
1147	696	47	44	C.
1202	696	52	44	A.
1262	696	182	42	TINDLEY.
1697	696	168	45	Arranged
1874	696	51	45	by
1934	695	46	46	F.
1989	695	46	47	A.
2044	694	139	48	CLARK.
844	941	44	40	1.
899	941	106	39	When
1015	941	64	38	the
1128	942	98	38	path-
1235	942	77	39	way
1348	942	47	41	of
1439	940	46	38	du
1498	941	20	37	-
1526	942	41	36	ty
1595	942	113	35	seems
1721	942	85	33	with
1860	940	59	35	dan
1941	941	22	36	-
1976	942	62	38	ger
2111	938	90	40	fill'd,
842	979	47	42	2.
936	980	44	39	If
1016	980	64	39	my
1096	981	117	39	Father
1221	983	108	39	holds
1337	985	65	39	my
1436	983	93	35	hand
1648	984	22	29	I
1731	983	62	34	can
1810	983	82	35	keep
1902	984	58	35	the
1971	984	135	36	nar-row
2127	986	84	35	way,
843	1023	44	37	3.
914	1021	92	38	Tho'
1017	1020	63	38	my
1098	1021	151	37	strength
1259	1024	40	34	is
1438	1024	108	34	weak,
1628	1024	44	30	by
1735	1024	66	34	His
1844	1026	97	30	grace
1994	1023	24	35	I
2047	1024	76	32	will
2131	1024	72	31	seek
843	1059	45	39	4.
913	1060	106	37	When
1108	1062	37	37	in
1159	1062	63	37	the
1238	1062	77	37	vale
1349	1062	45	35	of
1436	1063	71	33	sor-
1512	1064	62	35	row
1740	1063	40	30	am
1841	1062	102	32	call'd
1984	1061	37	31	to
2139	1070	49	30	go,
843	1099	44	39	5.
899	1102	106	36	When
1016	1103	66	33	the
1141	1104	48	34	aw
1207	1104	23	34	-
1245	1105	61	33	ful
1312	1105	114	33	waves
1448	1105	41	33	of
1517	1105	64	33	Jor
1594	1105	24	33	-
1628	1105	59	33	dan
1729	1104	85	33	beat
1877	1107	47	30	up
1943	1107	21	30	-
1979	1108	40	29	on
2056	1108	57	31	my
2126	1109	80	32	soul,
867	1530	79	41	And
954	1531	61	40	the
1023	1531	132	40	charms
1163	1531	47	40	of
1218	1531	122	40	world-
1348	1531	42	40	ly
1406	1531	87	40	beau
1503	1530	16	41	-
1527	1530	43	41	ty
1626	1532	46	40	al
1680	1533	16	39	-
1704	1533	98	37	most
1810	1534	67	36	win
1885	1534	65	35	my
1986	1533	72	37	fee-
2067	1532	61	39	ble
2137	1531	71	41	will,
878	1568	43	40	If
964	1570	61	40	my
1051	1571	50	40	Fa
1111	1572	21	40	-
1139	1572	76	40	ther
1223	1572	107	41	holds
1340	1573	63	39	my
1439	1572	112	39	hand,
1634	1570	21	34	I
1723	1574	60	35	can
1808	1575	81	35	nev-
1895	1576	39	33	er
882	1611	50	39	To
974	1615	39	36	re
1021	1616	20	35	-
1049	1616	81	34	pose
1423	1610	63	40	Ma
1492	1611	27	40	-
1525	1612	46	41	ry
1629	1610	42	39	at
1723	1613	64	38	the
1812	1613	70	39	Sav
1986	1579	44	31	go
2082	1575	37	37	a-
2125	1575	95	42	stray,
1243	1612	74	39	like
1988	1616	109	34	iour's
2140	1612	70	40	feet
2218	1613	16	40	;
869	1651	75	36	And
981	1651	40	36	it
1048	1652	114	38	seems
1243	1656	76	33	each
1341	1655	40	34	to
1390	1654	23	35	-
1418	1654	146	36	mor-row
1602	1653	86	38	simp
1702	1653	20	38	-
1728	1653	39	38	ly
1779	1653	118	38	brings
1905	1653	65	38	an-
1976	1653	56	38	oth
2042	1654	22	37	-
2070	1654	39	37	er
2138	1655	80	36	woe,
877	1692	44	38	In
968	1691	63	38	the
1063	1692	26	37	i
1242	1697	43	27	cy
1402	1691	114	39	hands
1523	1692	44	38	of
1601	1692	97	38	death
1715	1693	62	38	my
1786	1693	104	38	limbs
1897	1694	62	37	are
1976	1694	148	37	growing
2141	1695	85	36	cold,
868	2098	114	43	While
989	2101	29	40	I
1045	2103	59	38	see
1151	2102	64	40	the
1221	2103	102	40	Cross
1346	2103	50	40	up
1403	2103	19	40	-
1429	2103	78	40	lift-
1514	2103	66	40	ed,
1608	2103	73	41	and
1693	2103	60	41	can
1761	2104	78	40	hear
1847	2104	59	41	the
1914	2104	122	41	King's
2044	2104	178	42	command,
870	2141	135	39	Though
1043	2141	59	39	off
1164	2146	39	34	it
1247	2146	34	34	is
1350	2146	42	37	so
1430	2145	82	35	dark
1626	2143	24	36	I
1717	2150	59	33	can
1791	2148	80	35	hard
1881	2147	58	36	-ly
1960	2146	68	37	find
2045	2145	59	38	the
2124	2145	78	39	way,
869	2183	89	36	Then
970	2180	40	38	to
1044	2182	107	39	climb
1246	2186	36	32	to
1343	2185	63	36	the
1411	2184	9	37	-
1425	2184	142	36	heights
1618	2188	41	31	of
1723	2184	64	40	the
1820	2185	90	38	pure
1983	2186	40	35	de
2059	2184	22	37	-
2117	2184	92	40	light,
864	2228	30	32	I
957	2225	43	36	am
1045	2224	59	38	sat
1115	2224	23	38	-
1163	2223	36	39	is
1206	2223	20	39	-
1233	2223	65	37	fied
1350	2224	40	37	to
1427	2224	47	37	fol
1481	2225	15	36	-
1503	2225	62	36	low
1594	2225	114	37	where
1729	2225	57	38	He
1820	2225	107	40	leads,
1963	2227	75	33	this
2071	2226	24	35	I
2118	2226	110	40	know,
941	2268	85	32	have
1036	2265	167	36	nothing
1227	2265	78	38	then
1346	2267	40	34	to
1422	2265	75	37	fear
1623	2263	36	32	if
1721	2269	61	33	my
1817	2267	90	35	Lord
1984	2268	29	29	is
2124	2270	82	33	near,
1002	2488	26	41	3.
883	2875	26	176	HHHHH
1086	2687	59	35	will
1219	2697	38	29	go
1333	2690	32	35	if
1419	2686	65	37	my
1332	2722	37	34	if
1513	2686	66	37	Fa-
1586	2685	80	38	ther
1686	2685	105	41	holds
1809	2688	62	41	my
1919	2684	86	42	hand
2012	2691	14	36	.
2034	2692	11	36	.
2053	2694	32	35	..
2094	2696	10	33	.
2113	2697	12	32	.
2134	2698	10	31	.
2153	2699	13	30	.
1084	2725	63	34	will
1219	2731	51	34	go,
1419	2730	57	33	my
1512	2725	66	37	Fa-
1586	2726	80	37	ther
1686	2727	105	37	holds
1809	2728	61	37	my
1918	2729	89	37	hand
2013	2732	15	34	.
2034	2733	14	34	.
2054	2734	33	33	..
2093	2735	14	32	.
2114	2736	14	30	.
2134	2737	12	29	.
2153	2738	13	27	.
1097	2768	39	33	an
1218	2769	55	36	go,
1331	2766	36	30	if
1419	2767	60	36	my
1514	2766	63	36	Fa-
1586	2765	80	38	ther
1688	2765	103	39	holds
1810	2767	60	39	my
1919	2769	88	37	hand
2014	2772	15	35	.
