x	y	w	h	content
395	298	51	87	M
499	299	143	95	2198
400	399	23	77	1
440	400	140	79	368
396	502	150	70	1909
1150	1449	492	83	PREFACE
809	1620	32	50	A
859	1620	105	51	long
975	1620	85	52	felt
1071	1620	139	52	desire
1221	1620	68	52	for
1300	1620	138	53	songs
1450	1620	105	53	with
1573	1620	151	54	words
1735	1620	42	54	of
1788	1619	142	55	Hope,
1941	1619	154	55	Cheer,
700	1685	115	54	Love
826	1687	88	53	and
925	1688	137	53	Pity;
1072	1689	79	53	for
1161	1689	212	53	melodies
1383	1689	100	53	that
1493	1689	86	53	can
1592	1689	103	53	sink
1708	1688	53	54	to
1770	1688	86	53	the
1886	1687	132	53	depth
2043	1685	50	54	of
704	1762	157	49	sorrow
880	1761	87	51	and
981	1760	96	54	rise
1087	1760	51	54	to
1148	1759	78	56	the
1237	1759	184	57	heights
1431	1758	50	58	of
1492	1758	93	57	joy,
1596	1757	86	58	has
1693	1757	93	57	had
1812	1756	126	56	most
1961	1756	50	55	to
2047	1756	43	54	do
705	1828	105	53	with
823	1828	82	53	the
914	1828	267	54	publication
1195	1829	54	53	of
1259	1829	95	53	this
1364	1829	125	52	book.
800	1898	47	53	It
858	1898	47	54	is
916	1898	81	55	the
1008	1899	167	56	prayer
1185	1900	51	56	of
1247	1900	81	56	the
1339	1901	256	55	publishers
1605	1902	102	54	that
1717	1903	134	52	these
1861	1904	232	48	messages
696	1968	51	52	in
759	1969	166	53	rhyme
934	1970	119	53	shall
1062	1971	115	53	float
1186	1971	105	54	from
1318	1971	101	54	soul
1429	1971	54	54	to
1496	1971	111	54	soul
1617	1971	132	54	until
1765	1971	85	53	the
1869	1970	115	54	hills
2004	1970	91	53	and
701	2040	168	54	valleys
879	2041	119	55	shall
1008	2041	152	56	awake
1170	2042	103	56	into
1283	2043	145	56	joyful
1439	2044	187	55	singing.
1459	2114	291	49	PUBLISHERS.
