x	y	w	h	content
729	699	260	45	ENLARGED
1032	699	191	48	EDITION
526	830	364	175	Soul
1018	829	446	189	Echoes
784	1080	32	50	A
830	1079	295	50	COLLECTION
1142	1077	59	52	OF
448	1196	243	73	..Songs
736	1192	111	78	For
868	1191	296	81	Religious
1198	1191	326	83	Meetings..
775	1373	305	115	NO.
1127	1375	111	113	2.
644	1704	181	53	EDITED
846	1708	98	50	AND
971	1708	242	50	COMPILED
1246	1706	69	51	BY
445	1824	210	71	Bishop
672	1828	49	67	J.
738	1828	53	66	S.
808	1829	279	65	Caldwell,
1105	1828	72	66	D.
1195	1827	62	68	D.
566	1925	198	73	Bishop
782	1928	67	70	L.
866	1929	58	69	J.
941	1928	232	70	Coppin,
1189	1925	73	73	D.
1278	1923	54	75	D.
629	2026	202	69	Bishop
848	2027	61	68	G.
926	2027	52	68	L.
994	2027	304	70	Blackwell,
1314	2026	67	72	D.
1396	2026	62	73	D.
746	2130	142	62	Rev.
900	2130	80	64	C.
993	2129	83	67	A.
1105	2129	256	69	Tindley,
1376	2127	66	72	D.
1457	2126	35	73	D
582	2361	117	61	Soul
717	2364	168	60	Echoes
922	2366	246	59	Publishing
1181	2368	208	57	Company
695	2431	93	60	420
800	2433	143	60	South
979	2435	202	59	Eleventh
1193	2434	66	60	St.
775	2503	320	61	Philadelphia,
1107	2507	69	59	Pa.
868	2702	151	41	Copyright,
1026	2703	58	38	1909
561	2751	91	46	Soul
662	2752	125	47	Echoes
795	2752	194	49	Publishing
997	2755	153	48	Company
442	2829	60	46	For
511	2830	77	47	Sale
597	2831	39	46	at
645	2831	42	47	A.
696	2832	56	46	M.
762	2832	41	47	E.
813	2833	47	46	Z.
869	2833	194	47	Publication
1079	2833	124	47	House,
1213	2833	181	47	Charlloft,
1404	2832	44	48	N.
1458	2831	52	48	C.
