content	x	y	w	h	
Florida	637	534	141	30	
.	804	558	6	6	
Fort	638	576	84	29	
Valley	752	576	122	38	
Friendship	638	617	207	37	
Frozen	637	659	130	29	
Ilea	802	658	72	28	
rt	880	662	32	24	
Fulfillment	637	698	212	31	
.	873	722	6	6	
Funeral	636	740	147	30	
Anthem	809	740	151	29	
Funeral	636	781	148	30	
Hymn	818	781	116	38	
Funeral	635	823	149	29	
Thought	818	823	159	37	
Gainesville	637	914	212	30	
.	874	938	6	7	
Ganges	637	956	136	39	
Georgia	637	998	148	38	
Golden	637	1040	129	29	
Tlarp	796	1039	96	39	
Golden	636	1081	130	30	
Street	796	1082	116	29	
Good	636	1122	93	30	
Bye	755	1122	73	38	
Good	635	1164	94	29	
Old	756	1164	65	30	
way	849	1164	87	38	
....	1014	846	70	5	
.....	1122	845	91	6	
....	1229	846	70	6	
.	1532	846	5	6	
158	1550	823	58	28	
...........507	1314	1124	293	29	
.	1357	1230	6	5	
....	1400	1230	72	6	
...176	1487	1207	120	29	
...	1333	1479	49	6	
..	1420	1479	27	6	
...127	1485	1456	120	30	
.....	1376	1561	93	7	
...510	1484	1540	120	29	
.	1331	1686	6	6	
....	1374	1686	71	6	
...	1461	1687	49	6	
.	1526	1687	6	6	
549	1542	1665	61	29	
292	1541	1884	60	28	
............377	1285	1925	315	29	
..............3•54	1242	1968	360	28	
96	1560	2009	41	29	
.....	1371	2073	93	7	
...388	1480	2050	120	30	
.	1456	2158	6	5	
...538	1479	2134	119	29	
.327	1521	2177	77	28	
.	1325	2283	7	6	
.....	1368	2283	94	6	
...371	1477	2260	120	30	
.	1521	2326	6	5	
124	1538	2303	60	28	
..	1433	2367	28	6	
...378	1477	2344	120	29	
...403	1477	2386	120	29	
250	1537	2428	60	28	
.........119	1346	2470	251	29	
264	1535	2511	61	29	
...........481	1302	2553	293	29	
...	1410	2617	50	7	
...267	1475	2595	121	29	
.............380	1258	2719	337	30	
76	1556	2846	39	29	
....,......101	1300	2887	294	33	
.	2379	641	6	5	
...	2422	640	49	7	
....	2487	640	71	7	
.	2574	641	6	5	
466	2590	618	62	29	
.........411	2400	702	250	28	
.......4.36	2444	825	208	31	
.	2119	888	6	7	
..	2161	888	29	6	
.	2227	888	6	6	
.....	2270	888	93	7	
.....	2379	889	93	6	
..	2488	889	27	6	
..273	2552	867	99	28	
.....503	3533	876	162	29	
....	3533	941	71	6	
.330	3621	918	75	29	
.....	3533	981	93	7	
37.5	3637	960	59	29	
.	2509	1077	6	5	
...393	2531	1053	120	29	
....	2444	1118	71	6	
...500	2531	1095	121	29	
.........509	2399	1261	252	30	
..	3533	1294	29	7	
...321	3577	1273	120	28	
...471	1487	1290	117	29	
.........495	2399	1304	252	29	
.405	3621	1314	78	29	
.............265	1268	1373	337	29	
...	3556	1461	50	6	
.	3622	1462	6	5	
451	3638	1439	60	29	
..	3534	1543	28	7	
...228	3578	1522	120	29	
.........289	1353	1580	251	31	
..	2484	1640	28	7	
...518	2527	1618	122	29	
.	1353	1646	6	5	
.	1396	1645	7	6	
.	1440	1647	6	5	
...183	1484	1622	119	30	
.........148	2397	1702	252	29	
.	1395	1782	6	5	
.....	1439	1781	93	6	
146	1542	1758	61	29	
..	3533	1919	28	7	
...131	3576	1898	120	29	
...........438	2351	1996	295	30	
..........111	2372	2080	273	30	
....	1392	2115	71	6	
...172	1479	2093	120	29	
.....	2480	2144	93	7	
166	2584	2122	62	29	
....	1391	2241	71	6	
...129	1478	2219	121	29	
............447	2326	2477	317	30	
...........537	3396	2566	295	30	
.	1367	2659	6	6	
...	1410	2659	49	6	
...376	1475	2637	121	29	
...	2454	2667	50	7	
...210	2519	2646	121	29	
.........218	3439	2650	251	30	
.........110	3439	2691	250	31	
...	2453	2793	49	6	
...461	2518	2771	120	29	
.	3482	2799	7	6	
.	3526	2800	6	6	
...220	3569	2775	120	31	
.....	1365	2825	93	7	
...396	1475	2804	120	29	
.	2322	2833	6	6	
..........137	2366	2813	273	28	
492	1548	576	61	28	
93	1569	659	39	27	
.	1532	722	6	6	
102	1550	700	58	27	
.	1532	764	5	5	
520	1547	740	61	29	
95	1569	782	39	29	
70	1570	916	37	29	
.	1531	982	6	5	
95	1569	958	39	29	
54	1569	1000	40	28	
213	1547	1165	59	29	
99	1567	1249	40	28	
.	1529	1354	6	6	
423	1545	1332	60	28	
...386	1485	1414	121	30	
.	1528	1521	6	6	
302	1544	1498	60	28	
34	1563	1800	40	29	
46	1562	1842	40	28	
Iloly	1673	532	92	39	
Land	1792	533	97	29	
1101	1673	574	65	29	
v	1745	584	20	19	
Manna	1797	575	132	28	
I	1673	616	12	28	
Iome	1692	616	89	29	
I	1674	657	13	28	
Iome	1692	658	89	28	
Above	1810	657	122	29	
Home	1674	699	107	29	
in	1810	699	35	28	
Ilea	1874	698	75	30	
ven	1954	708	65	20	
Hope	1673	740	97	38	
Hosanna	1673	782	167	29	
Humble	1674	823	147	29	
Penitent	1851	824	167	29	
Humble	1673	864	149	30	
Relief	1854	864	117	30	
Il	1675	905	29	29	
untington	1708	905	189	39	
T	1672	1009	16	29	
Aln	1714	1009	63	29	
Going	1804	1009	112	37	
Ilome	1948	1009	109	30	
I	1673	1051	15	28	
Am	1713	1051	65	29	
On	1803	1050	52	30	
My	1880	1051	63	38	
Journey	1967	1051	157	39	
I	1671	1092	17	29	
Am	1713	1092	63	29	
Passing	1802	1092	150	39	
Away	1988	1092	110	39	
I	1672	1134	16	28	
Would	1712	1133	124	30	
See	1865	1133	64	30	
Jesus	1957	1134	102	29	
I(lumea	1671	1175	142	29	
I	1670	1217	13	28	
mandra	1690	1217	145	29	
(New)	1870	1218	120	37	
Indian	1670	1258	126	30	
Farewell	1824	1259	171	29	
Home	2150	1052	109	29	
...-......193	2378	908	272	33	
..........131	2377	1471	272	29	
...	2462	1683	50	6	
...526	2527	1660	122	29	
...	2461	1809	50	6	
...531	2527	1787	120	29	
.449	2571	1871	76	28	
............486	2329	2037	318	30	
48	2603	2258	41	29	
.	2566	2324	6	6	
526	2582	2300	62	29	
74	2605	2342	39	29	
66	2603	2383	40	30	
285	2580	2519	63	30	
.	2562	2583	9	8	
71	2601	2561	41	30	
266	2580	2603	62	30	
40	2601	2688	39	28	
.........343	2388	2729	251	29	
...........433	2343	2854	295	29	
86	2599	2895	40	30	
59	2612	577	40	29	
427	2590	743	60	27	
...178	2530	783	121	30	
.	2574	1035	6	6	
282	2591	1011	61	29	
75	2613	1137	39	28	
47	2611	1179	40	28	
54	2612	1220	40	29	
41	2611	1347	37	27	
482	2589	1387	61	29	
53	2608	1744	39	29	
Little	2714	534	112	31	
Marlborough	2856	536	249	38	
Liverpool	2715	574	187	40	
.	2926	600	7	6	
Living	2715	616	130	40	
Lamb	2870	618	109	30	
Logan	2716	658	120	39	
Lone	2716	699	94	31	
Pilgrim	2845	701	147	39	
Lookout	2717	741	158	31	
.	2901	766	7	6	
