content	x	y	w	h	
545	1024	156	73	61	
Dit	7	189	24	52	
PIAZZA	358	195	188	67	
DI	574	201	63	64	
PASQUINO	662	204	250	69	
,	933	213	15	62	
it	3	244	14	51	
is	35	252	3	47	
di	10	352	1	52	
un	29	357	2	51	
0	1	467	9	37	
2014	3	633	20	50	
9	904	713	2	34	
9	933	776	6	27	
cilten	-5	789	37	50	
Questa	209	308	143	60	
Piazza	395	310	139	60	
ha	557	312	62	59	
preso	641	313	121	60	
il	793	315	31	58	
nome	856	316	128	59	
di	1009	318	42	58	
Pa	1078	319	66	58	
squino	160	366	146	58	
da	337	368	43	57	
un	411	368	54	58	
tronco	504	369	132	58	
di	667	370	51	58	
statua	742	371	129	58	
:	891	372	16	57	
avanzo	933	373	155	58	
di	1115	374	43	57	
un	155	425	48	47	
gruppo	241	428	151	51	
,	423	435	10	45	
che	475	417	73	49	
si	583	419	35	49	
vede	651	421	98	49	
nel	773	423	75	49	
cantone	882	425	171	51	
del	1079	429	75	49	
Palazzo	157	470	161	56	
Brasehi	353	472	163	56	
,	525	473	15	55	
ch'era	575	474	135	56	
di	745	475	51	55	
un	807	476	51	55	
buonissimo	891	476	258	57	
lavoro	151	522	134	62	
,	312	524	16	61	
ma	367	524	68	62	
estremamente	464	525	309	64	
sfigurato	824	528	205	63	
dal	1078	531	69	61	
tempo	148	580	138	61	
.	312	580	17	61	
Questa	364	580	147	61	
statua	543	580	129	61	
è	708	580	17	61	
stata	751	580	103	61	
per	913	580	67	61	
molto	1009	580	131	61	
tempo	157	634	135	63	
il	319	634	22	63	
soggetto	375	634	175	63	
che	582	634	73	63	
interloquiva	677	634	272	63	
,	967	634	18	63	
anche	1013	634	139	63	
spesso	152	684	133	70	
in	311	683	38	71	
dialogo	380	683	168	70	
con	577	682	70	70	
Marforio	676	681	196	70	
,	900	680	20	71	
ed	951	680	40	71	
il	1023	679	40	71	
si	1091	679	44	71	
to	155	740	35	63	
in	219	740	35	63	
cui	286	740	73	63	
si	379	740	35	63	
affigevano	440	740	224	63	
le	710	740	36	63	
satire	774	740	120	63	
burle	986	746	112	55	
detti	146	788	111	66	
arguti	280	790	144	67	
e	447	792	17	65	
generi	498	793	135	67	
consimili	679	795	200	68	
di	900	798	48	66	
compo	966	799	164	68	
sizioni	151	849	139	61	
,	303	850	17	60	
per	351	850	67	60	
ciò	450	851	52	60	
dette	538	851	110	60	
Pasquinate	683	852	254	61	
La	199	903	51	57	
chiesa	284	904	119	58	
in	435	905	31	58	
questa	495	906	134	58	
piazza	663	908	136	58	
dedicata	831	909	188	59	
alla	1054	911	74	58	
Natività	150	952	175	64	
del	365	956	69	62	
Signore	456	957	164	64	
,	650	960	16	61	
appartiene	696	961	240	65	
ad	985	966	42	61	
un	1062	967	57	62	
'	1122	968	16	61	
