content	x	y	w	h	
REPORT	1559	690	211	38	
OF	1795	690	66	37	
SUB-COMMITTEE	1887	688	439	39	
ON	2354	686	71	37	
REVISION.	2450	684	275	39	
the	826	842	58	30	
undersigned	908	835	225	44	
sub-committee	1158	836	270	34	
appointed	1454	840	186	39	
by	1664	840	46	38	
the	1736	839	57	32	
general	1818	839	138	39	
committee	1982	839	196	30	
on	2200	847	42	20	
revision	2263	837	152	30	
of	2439	837	38	30	
the	2498	837	58	30	
Sacred	2578	836	128	30	
Tlarp,	2729	836	110	39	
respectfully	2860	837	234	39	
submit	3116	838	131	31	
the	3269	839	60	30	
work	3352	840	98	30	
performed	3471	840	201	40	
by	650	891	46	42	
us	717	904	37	19	
in	776	894	34	28	
this	834	893	68	29	
volume,	926	889	141	40	
to	1090	892	35	29	
the	1148	890	57	31	
general	1228	889	137	40	
committee,	1390	891	204	37	
and	1618	892	66	28	
beli(vve	1706	891	134	29	
it	1864	892	28	28	
will	1916	890	69	29	
in	2011	891	33	28	
its	2070	890	45	29	
present	2140	891	140	36	
form	2300	889	91	29	
answer	2412	897	135	21	
the	2566	888	60	30	
great	2648	890	100	36	
demand	2771	889	149	30	
of	2943	889	39	30	
the	3003	890	58	29	
musie	3084	890	108	30	
people	3215	891	121	39	
of	3359	891	38	30	
.this	3410	892	80	30	
country.	3514	896	157	36	
believe	733	945	130	30	
it	889	941	28	32	
contains	944	941	153	32	
more	1122	950	90	22	
sacred	1238	940	117	32	
songs	1382	950	100	31	
and	1507	942	66	30	
hymns	1600	940	121	41	
than	1748	943	83	28	
any	1859	951	69	30	
other	1954	941	99	31	
sacred	2080	940	120	31	
tune	2221	943	82	28	
and	2325	941	68	30	
song	2414	949	87	31	
book	2519	941	92	29	
yet	2632	942	61	37	
published,	2712	940	197	40	
and	2930	942	69	29	
will	3021	942	71	29	
do	3114	943	43	29	
its	3180	943	46	30	
work	3248	944	97	29	
in	3367	946	36	27	
the	3425	945	60	29	
religious	3505	945	167	40	
field	648	995	76	29	
of	746	995	37	29	
music	802	993	106	31	
wherever	929	993	173	30	
rendered.	1122	992	173	31	
August	730	1046	132	37	
16,	882	1045	48	38	
1911.	952	1045	90	30	
J.	3006	1046	33	31	
S.	3075	1048	33	29	
JAMES,	3143	1047	164	39	
Chairman,	3343	1048	198	40	
DR.	3008	1099	72	30	
S.	3106	1100	33	29	
W.	3167	1100	52	30	
EVERETT,	3247	1101	226	40	
S.	3008	1151	33	30	
M.	3068	1152	47	30	
DENSON,	3142	1151	199	41	
G.	3007	1203	38	31	
B.	3070	1203	39	31	
DANIEL,	3134	1204	192	40	
