content	x	y	w	h	
ROMA	13	81	42	54	
†	9	135	0	49	
Autore	34	143	50	63	
con	101	162	11	52	
cilmente	0	248	65	63	
i	78	265	0	49	
confiderans	23	311	86	68	
ma	4	374	30	51	
,	30	377	9	49	
quando	42	378	48	53	
el	95	383	12	49	
cele	0	422	27	53	
fino	42	430	23	51	
al	75	435	8	50	
Con	100	439	12	50	
ore	-5	487	30	52	
non	35	489	24	53	
ebbe	69	491	26	53	
,	99	493	12	52	
Hora	-3	537	33	58	
di	44	544	6	55	
millent	62	547	44	62	
,	10	604	4	48	
quello	24	604	45	49	
di	80	605	8	48	
San	94	605	20	48	
dificj	0	654	41	58	
di	51	659	9	55	
fto	70	661	17	57	
es	98	664	11	56	
motiuata	-6	716	77	49	
grah	81	728	26	42	
che	-5	769	24	59	
a	33	772	2	58	
quela	53	775	35	61	
veltiej	5	830	58	57	
,	53	830	17	57	
det	84	830	31	56	
del	-1	887	31	49	
Palatiul	41	888	63	50	
eflo	-8	948	38	47	
di	35	947	17	48	
S.	57	947	17	48	
Ma	80	947	23	47	
delle	6	997	35	63	
quali	55	1003	45	63	
lificio	0	1053	54	63	
pidu	69	1059	30	61	
ANTICA	528	119	154	49	
,	703	120	13	48	
E	743	120	19	48	
MODERNA	787	121	214	49	
.	1017	123	11	48	
361	1209	125	77	53	
ta	216	170	41	63	
Maria	276	170	136	63	
Liberatice	437	170	219	63	
fu	674	170	39	63	
quaſi	747	170	107	63	
nel	869	170	63	63	
mezzo	960	170	135	63	
della	1114	170	113	63	
lun	1246	170	66	63	
.	1315	170	21	63	
ghezza	216	226	147	65	
;	378	226	13	65	
del	420	226	63	65	
che	510	226	73	65	
è	613	226	18	65	
buon	644	226	109	65	
rincontro	784	226	213	65	
l'antico	1018	226	173	65	
nome	1210	226	121	65	
della	216	283	102	58	
medeſima	348	283	207	58	
Chieſa	587	283	145	58	
,	751	283	12	58	
chiamata	788	283	203	58	
prima	1027	283	130	58	
Sancti	1183	283	146	58	
Silveſtri	215	338	177	61	
in	400	338	38	61	
Lacu	468	338	96	61	
,	577	338	17	61	
intendendoſi	603	338	280	61	
non	901	338	80	61	
del	997	338	63	61	
Lago	1079	338	111	61	
di	1206	338	39	61	
Ju	1273	338	53	61	
turna	211	395	119	61	
,	346	395	12	61	
come	373	395	128	61	
al	516	395	34	61	
Fulvio	565	395	150	61	
piace	727	395	115	61	
,	862	395	11	61	
che	905	395	73	61	
era	986	395	75	61	
in	1102	395	24	61	
un	1145	395	56	61	
can	1227	395	76	61	
.	1308	395	15	61	
tone	211	449	94	62	
del	320	449	59	62	
Foro	398	449	104	62	
,	520	449	11	62	
ma	559	449	79	62	
del	661	449	70	62	
Curzio	758	449	141	62	
,	921	449	17	62	
il	966	449	25	62	
quale	1032	449	113	62	
reſtava	1171	449	161	62	
nel	215	503	62	61	
mezzo	295	503	124	61	
,	445	503	9	61	
come	481	502	115	61	
in	617	502	37	61	
breve	673	502	123	60	
fi	817	501	25	61	
dirà	865	501	87	61	
,	969	500	13	61	
e	1013	500	17	61	
come	1062	500	120	61	
ſi	1189	500	23	60	
leg	1241	499	67	61	
