content	x	y	w	h	
Marsh	460	523	215	124	
,	696	506	51	136	
J	809	498	51	136	
.	851	495	51	136	
B	1076	479	51	136	
.	1146	474	51	136	
T	1212	469	30	137	
el	1405	456	112	131	
THE	604	733	161	126	
STORY	828	733	277	126	
OF	747	1060	44	34	
THE	810	1060	64	34	
JUBILEE	302	1307	493	127	
SINGERS	873	1299	505	127	
;	1392	1292	41	133	
WITH	557	1740	144	64	
THEIR	759	1740	161	64	
SONGS	967	1740	181	64	
.	1141	1740	18	64	
SECOND	707	2186	130	38	
EDITION	857	2186	132	38	
.	997	2186	10	38	
London	745	2580	175	64	
:	946	2580	18	64	
HODDER	433	2673	262	63	
AND	728	2670	128	64	
STOUGHTON	896	2668	360	62	
,	1263	2665	19	65	
27	622	2764	38	39	
,	661	2763	12	40	
PATERNOSTER	694	2762	270	36	
ROW	1002	2757	70	39	
.	1084	2756	12	40	
MDCCCLXXV	745	2833	204	30	
.	947	2829	10	34	
[	702	3052	13	47	
All	713	3052	48	47	
rights	780	3052	81	47	
reserved	880	3052	112	47	
.	997	3052	13	47	
]	1009	3052	13	47	
