content	x	y	w	h	
SET	783	434	98	57	
STARS	905	435	164	57	
+	1365	544	5	47	
N47	2141	559	118	50	
P24	2465	826	46	99	
LDMK	2468	684	47	126	
TRACKIN	2472	506	48	212	
RALIGN	561	637	222	80	
Р	567	732	13	47	
Y	1935	731	12	46	
ALIGN	589	749	195	70	
TRIM	1984	764	94	51	
YALIGN	558	836	223	89	
GETI	2131	850	141	54	
P30	1155	210	102	115	
MANEUVER	1276	208	330	112	
TEN	1653	201	219	114	
-	1885	198	36	116	
37	1950	197	151	114	
les	1411	330	159	86	
5	1542	328	25	91	
GEP	1615	329	270	94	
PURPOSE	1954	332	245	92	
PROP	1951	440	147	78	
/	2105	442	20	75	
GUID	2129	443	140	76	
+	1358	532	24	87	
317BSO	1443	534	440	92	
WT	1947	540	95	88	
Holo101GOPTRIM	1344	630	741	95	
N48	2151	639	110	88	
ololo	1453	725	332	97	
010	1442	839	140	83	
US	1639	842	147	83	
HRS	1941	847	103	82	
000	1419	941	276	66	
IDIOMIN	1698	943	330	66	
01/2143	1444	1032	458	97	
SEC	1938	1036	91	93	
+	1345	1124	29	101	
2917970V	1440	1124	570	101	
,	2005	1124	29	101	
07415.	1435	1222	405	97	
Zovy	1827	1222	218	97	
O24.3.3V	1432	1332	615	83	
x	1347	1425	24	92	
x	1458	1428	24	92	
x	1559	1430	24	92	
ISOR	1635	1432	353	100	
xxxnoGP	1321	1516	665	112	
XXIX	1323	1627	248	70	
349Y	1580	1625	388	93	
+	1359	948	8	31	
N33	2145	956	126	50	
0	1460	1048	2	46	
ULLAGE	553	1158	242	55	
x	2024	1152	5	73	
N81	2142	1152	129	51	
2J	560	1220	199	91	
-	766	1220	26	91	
17	852	1220	51	91	
See	1001	1220	76	91	
Z	2018	1342	7	69	
P37	2474	1582	58	98	
BLOCK	2473	1436	58	162	
DATA	2473	1237	57	134	
R	1945	1452	3	48	
I	1916	1815	42	10	
IR	1917	1788	44	154	
+	1358	1748	8	31	
HA	1945	1730	34	113	
N44	2135	1750	119	53	
1916	587	1742	194	153	
-179.52	859	1716	350	139	
He	1923	1824	73	83	
+	1352	1940	9	35	
AVT	1921	1948	111	48	
xxx	1313	2030	277	59	
HORIZONWINDOW	546	2052	609	81	
.	1165	2058	20	75	
BT	1925	2042	67	51	
3/29/71	218	2257	69	235	
XXX	1374	2016	53	282	
+	1373	2352	52	14	
AVC	1929	2145	104	49	
EARTH	2458	2356	51	165	
ORBIT	2459	2152	51	169	
BLOCK	2508	2352	51	159	
DATA	2518	2151	50	127	
X	1343	2230	15	57	
X	1449	2232	15	57	
X	1547	2233	15	57	
X	1651	2234	15	57	
SXTS	1927	2247	123	51	
0	1837	2334	12	58	
SFT	1925	2340	86	62	
DATE	237	2497	62	122	
+	1350	2422	4	53	
010	1722	2429	133	60	
|	1901	2434	14	55	
TRN	1927	2435	87	57	
X	1339	2524	16	57	
X	1449	2523	16	57	
X	1547	2523	16	57	
BSS	1922	2540	90	53	
XIX	1318	2623	161	52	
SPA	1922	2643	91	50	
X	1340	2720	15	57	
X	1446	2721	15	57	
X	1538	2723	15	57	
SXP	1922	2732	97	56	
O	1429	2873	36	10	
OTHER	544	2852	198	55	
LAT	1914	2838	111	48	
N61	2141	2839	124	50	
LONG	1913	2930	173	55	
P27	2473	3140	52	89	
UPDATE	2474	3008	53	203	
+	1351	3026	5	49	
RTGO	1909	3038	162	58	
EMS	2158	3039	119	49	
Vio	1923	3134	92	50	
GET	1915	3233	119	49	
0.05G	2098	3236	158	52	
