content	x	y	w	h	
-	934	169	8	31	
3	1097	169	8	31	
der	516	265	124	128	
Barmhertigheid	681	268	568	136	
en	1296	279	68	127	
Onbarmhertigheid	1413	281	668	137	
.	2093	293	34	126	
29	2167	295	89	127	
r	0	446	9	85	
de	42	453	32	88	
recht	96	462	77	97	
(	10	531	6	85	
V	35	536	6	85	
.	67	543	6	85	
46	109	552	30	90	
.	150	560	6	85	
Hoe	584	522	149	134	
veel	789	525	170	134	
’	978	528	36	133	
er	1020	529	72	132	
zyn	1148	531	130	133	
,	1311	533	36	133	
de	1388	534	95	134	
Rechter	1529	536	321	136	
weet	1895	542	208	134	
,	2122	545	36	133	
Wat	567	676	195	139	
elk	793	678	97	138	
,	929	679	39	138	
en	1029	680	76	139	
loont	1159	681	215	140	
naar	1398	684	212	139	
dat	1648	686	138	139	
hy	1815	688	101	138	
deed	1954	689	179	140	
.	2152	691	39	138	
gý	20	768	36	98	
deed	75	776	70	103	
,	165	789	13	95	
ntfermen	8	857	139	89	
,	165	879	10	71	
n	-3	940	14	71	
kermen	41	945	105	79	
,	164	955	14	71	
aan	-14	1019	70	75	
zich	73	1023	63	75	
be	150	1026	46	74	
aalen	6	1171	83	90	
,	103	1181	15	83	
t	-3	1256	25	86	
van	37	1256	49	86	
Edene	103	1256	99	86	
Ens	-12	1417	54	93	
vreugde	63	1417	129	93	
Emels	-18	1574	111	90	
goude	104	1574	99	90	
23	1802	1584	18	115	
ans	-15	1731	70	84	
en	83	1731	31	84	
Ma	136	1731	62	84	
olyk	17	1885	74	88	
zingen	103	1889	97	88	
lokheid	1	2036	121	79	
,	124	2042	16	73	
Koning	20	2127	126	86	
11	-1	2219	27	64	
,	28	2218	21	63	
naar	59	2217	78	61	
van	146	2213	49	63	
uw	17	2353	39	101	
drank	104	2353	84	101	
,	186	2353	29	101	
oning	-23	2448	109	87	
,	94	2448	25	87	
zekt	-12	2532	74	72	
,	65	2532	20	72	
en	14	2607	13	78	
,	65	2626	4	72	
xwekt	-9	2774	117	53	
.	93	2759	30	65	
orde	-19	2844	101	77	
oogeny	94	2839	122	76	
en	-7	2929	43	66	
treurt	51	2925	101	62	
,	152	2918	25	67	
ІІ	563	3008	68	37	
ord	-17	3009	64	69	
gekeurd	55	3000	131	61	
,	182	2984	31	74	
gewoogen	15	3084	172	57	
!	183	3061	34	77	
rouwe	-8	3166	118	55	
vlyt	119	3150	69	61	
,	178	3144	28	66	
Deſchooren	-19	3244	205	46	
:	180	3221	28	67	
hooren	1	3323	126	49	
,	119	3303	31	65	
eis	46	3393	74	67	
tyd	98	3382	74	69	
;	170	3368	39	75	
Zalig	535	3152	179	94	
zyn	753	3152	95	94	
de	907	3152	69	94	
barmhertige	993	3152	405	94	
:	1408	3152	27	94	
want	1466	3152	186	94	
hen	1674	3152	96	94	
zal	1828	3152	95	94	
barmher	1966	3152	263	94	
.	2233	3152	27	94	
tigheid	450	3241	209	88	
geſchieden	705	3241	301	88	
.	1028	3241	25	88	
Matth	1070	3241	212	88	
:	1304	3241	25	88	
V	1375	3241	25	88	
.	1428	3241	25	88	
7	1490	3241	25	88	
.	1526	3241	25	88	
Eenonbarinhertig	544	3320	578	87	
oordeel	1140	3320	229	87	
[	1368	3320	25	87	
zal	1402	3320	99	87	
gaan	1516	3320	143	87	
over	1727	3320	131	87	
den	1886	3320	99	87	
geenen	2018	3320	196	87	
,	2240	3320	25	87	
die	457	3402	86	87	
geene	580	3402	173	87	
barmhertigheid	774	3402	495	87	
gedaan	1311	3402	216	87	
heeft	1566	3402	148	87	
:	1726	3402	25	87	
en	1777	3402	64	87	
de	1870	3402	80	87	
barmher	1958	3402	304	87	
tigheid	450	3485	218	87	
roemt	714	3485	190	87	
tegen	919	3485	162	87	
het	1123	3485	88	87	
oordeel	1239	3485	221	87	
.	1463	3485	25	87	
Jak	1509	3485	88	87	
;	1615	3485	25	87	
II	1688	3485	47	87	
.	1739	3485	25	87	
13	1808	3485	65	87	
.	1873	3485	25	87	
SLOT	1972	3537	283	100	
weezen	10	3484	132	54	
,	143	3468	28	66	
