content	x	y	w	h	
PREFACE	1566	788	374	71	
.	1952	785	22	74	
The	389	954	82	59	
composing	492	954	242	58	
and	757	953	74	58	
compiling	858	953	221	58	
of	1103	953	54	57	
sacred	1170	952	135	58	
tune	1335	952	105	58	
and	1457	952	82	57	
song	1565	952	98	57	
books	1687	951	135	58	
in	1846	951	31	58	
the	1916	951	67	58	
United	2012	951	145	58	
States	2191	950	137	58	
has	2348	950	82	58	
grown	2448	949	146	58	
to	2625	949	31	58	
great	2692	949	114	58	
proportions	2832	949	266	57	
,	3101	948	16	58	
but	3135	948	75	58	
the	3237	948	66	58	
credit	229	1043	135	58	
for	388	1043	66	58	
such	476	1043	96	58	
productions	606	1043	270	57	
in	897	1042	33	59	
the	968	1043	66	57	
published	1059	1043	217	57	
histories	1300	1042	190	58	
of	1521	1042	42	58	
both	1584	1042	97	57	
hymn	1713	1042	132	57	
and	1867	1042	83	57	
tune	1981	1042	98	57	
books	2109	1041	130	58	
has	2268	1041	74	58	
been	2368	1041	98	58	
decidedly	2498	1041	214	57	
sectional	2748	1041	202	58	
.	2950	1040	16	58	
While	3018	1040	130	58	
many	3172	1040	129	58	
valuable	228	1139	190	58	
hymns	440	1139	154	58	
and	605	1138	82	58	
sacred	715	1138	135	58	
music	872	1137	130	58	
books	1024	1137	135	58	
have	1178	1137	103	57	
been	1301	1137	98	57	
composed	1427	1136	214	58	
and	1669	1136	83	58	
published	1775	1135	208	58	
in	2013	1135	33	57	
the	2078	1135	66	58	
South	2169	1134	119	59	
and	2316	1134	82	58	
West	2421	1134	115	58	
by	2558	1133	54	58	
authors	2635	1134	174	57	
of	2824	1133	52	58	
undoubted	2896	1133	232	57	
ability	3154	1132	145	58	
as	224	1231	52	58	
musicians	289	1232	230	57	
,	517	1231	16	58	
if	552	1231	33	58	
mentioned	594	1231	249	58	
at	869	1230	42	58	
all	934	1231	58	57	
in	1012	1230	33	58	
these	1069	1231	120	57	
histories	1209	1231	190	57	
,	1407	1230	16	58	
it	1437	1230	33	58	
has	1492	1230	74	58	
been	1586	1230	98	57	
done	1718	1230	105	57	
in	1838	1230	33	58	
such	1903	1229	88	58	
condensed	2019	1230	226	57	
form	2275	1229	82	58	
as	2397	1229	42	57	
to	2465	1229	31	58	
give	2527	1229	91	58	
but	2631	1229	74	57	
little	2723	1228	110	58	
idea	2853	1228	88	59	
of	2963	1228	43	58	
the	3022	1228	74	58	
contents	3120	1228	179	58	
cf	227	1327	53	58	
the	295	1327	68	58	
works	384	1327	144	58	
mentioned	540	1327	238	57	
.	785	1326	16	58	
It	856	1325	33	58	
,	891	1326	16	58	
however	923	1326	190	58	
,	1121	1325	16	58	
is	1157	1325	32	58	
gratifying	1214	1325	227	57	
that	1467	1325	96	57	
the	1587	1324	68	57	
music	1673	1324	130	57	
writers	1828	1323	158	58	
of	2016	1323	43	58	
the	2075	1323	74	58	
South	2175	1322	120	59	
have	2321	1322	111	58	
kept	2451	1322	105	58	
before	2569	1321	145	58	
the	2736	1321	66	58	
singing	2832	1321	162	57	
public	3017	1321	137	57	
,	3157	1320	16	58	
more	3183	1320	124	58	
of	237	1415	33	58	
the	296	1415	68	58	
standard	383	1415	205	58	
living	618	1414	125	58	
hymns	764	1414	145	58	
and	930	1414	83	57	
melodies	1031	1413	203	58	
than	1256	1412	96	59	
in	1382	1412	33	58	
any	1443	1412	83	58	
other	1551	1412	119	58	
part	1691	1412	97	57	
of	1809	1411	52	58	
America	1882	1412	189	57	
,	2078	1411	16	58	
in	2117	1411	21	58	
proportion	2182	1410	232	58	
to	2450	1410	33	58	
the	2513	1410	75	57	
number	2611	1410	167	57	
published	2814	1409	207	58	
relating	3056	1409	175	57	
to	3256	1408	43	58	
sacred	225	1507	142	58	
music	389	1507	136	58	
,	527	1507	16	58	
or	559	1507	52	57	
that	635	1506	94	59	
class	753	1506	96	58	
which	875	1506	130	57	
reaches	1039	1505	166	58	
the	1228	1505	75	58	
mind	1315	1505	116	57	
,	1436	1504	16	58	
heart	1473	1505	122	57	
,	1595	1504	16	58	
conscience	1638	1503	228	59	
and	1888	1504	74	57	
religious	1989	1503	199	57	
feeling	2209	1502	152	58	
of	2378	1502	43	58	
the	2439	1502	66	58	
people	2524	1502	142	58	
.	2669	1502	16	58	
In	2740	1501	33	58	
this	2803	1501	82	58	
respect	2903	1501	159	58	
the	3080	1500	74	58	
South	3173	1500	119	58	
is	232	1603	31	58	
in	285	1603	31	58	
the	347	1603	75	58	
lead	443	1603	82	58	
.	537	1603	16	58	
Notwithstanding	601	1602	386	58	
this	1013	1601	82	59	
,	1098	1602	16	58	
to	1131	1601	43	58	
a	1204	1601	16	58	
considerable	1249	1600	277	58	
extent	1556	1600	146	58	
the	1723	1600	66	57	
sacred	1822	1599	136	58	
song	2001	1599	95	58	
books	2126	1599	135	58	
of	2286	1598	52	58	
this	2366	1598	80	58	
section	2476	1598	149	57	
and	2665	1598	74	57	
in	2779	1597	33	58	
many	2841	1597	128	57	
cases	3009	1597	106	57	
church	3149	1596	143	58	
music	217	1695	138	58	
is	387	1695	33	58	
