content	x	y	w	h	
4	408	278	35	48	
RUDIMENTS	1353	278	460	54	
OF	1884	280	97	54	
The	408	371	76	39	
Semi-breve	507	373	225	37	
is	754	375	31	34	
now	809	385	80	25	
the	913	375	61	34	
longest	996	374	144	48	
note	1162	378	85	32	
in	1269	378	39	31	
music	1332	376	113	34	
and	1471	377	72	34	
is	1568	379	28	33	
called	1622	378	117	34	
a	1764	390	21	21	
measure	1810	389	166	24	
note.	319	454	95	33	
There	460	450	117	35	
are	601	462	64	24	
certain	688	453	141	34	
modes	853	452	124	36	
of	1003	454	41	33	
time	1067	464	92	23	
that	1184	456	82	32	
takes	1291	454	103	35	
a	1420	467	22	21	
dotted	1466	456	129	34	
semi-breve	1621	456	215	35	
to	1861	460	39	31	
fill	1924	457	53	33	
a	319	552	20	22	
measure.	363	547	178	32	
LEADING	713	608	236	39	
NOTE	983	610	136	36	
AND	1152	613	110	33	
KEY	1297	613	106	34	
NOTE.	1436	613	148	36	
In	409	686	45	37	
each	474	688	88	34	
tune	580	690	88	34	
written	686	690	146	33	
on	853	700	46	22	
the	917	690	61	32	
staff	998	690	92	33	
there	1110	691	102	33	
is	1231	693	30	31	
a	1282	702	21	22	
leading	1323	690	147	46	
note	1489	694	85	33	
and	1595	693	72	33	
key	1686	693	70	45	
note.	1776	696	95	32	
The	407	766	76	37	
leading	509	767	148	46	
note	682	770	85	33	
is	792	769	30	32	
always	848	768	134	45	
on	1009	779	45	22	
some	1081	779	97	24	
one	1204	780	67	25	
line	1295	771	72	34	
or	1392	781	42	22	
space	1459	780	108	35	
of	1593	773	41	31	
the	1659	773	60	33	
music	1745	773	113	33	
staff	1884	772	93	35	
and	319	844	72	36	
so	412	856	40	25	
is	475	846	30	33	
the	527	845	60	34	
key	609	845	69	44	
note.	700	848	95	32	
When	818	845	116	36	
the	957	846	60	33	
leading	1039	847	148	44	
note	1207	850	84	31	
is	1314	849	29	32	
discovered,	1367	848	221	41	
then	1611	851	85	32	
the	1719	851	60	34	
key	1801	851	70	43	
note	1893	853	84	31	
is	318	936	30	33	
on	370	946	48	23	
the	439	936	61	34	
next	523	937	87	33	
line	632	936	72	35	
or	726	947	42	23	
space	791	945	110	37	
above	924	935	113	35	
or	1060	946	41	22	
below	1125	937	114	34	
it,	1263	938	40	39	
and	1327	937	71	34	
wherever	1423	937	180	35	
you	1626	950	72	33	
find	1722	940	76	32	
the	1823	941	60	32	
key	1907	939	69	45	
note	318	1028	84	32	
it	424	1026	31	34	
is	475	1026	30	33	
always	528	1025	134	46	
No.	687	1027	70	32	
1.	781	1028	30	32	
Two	409	1115	84	36	
kinds	514	1114	106	34	
of	639	1115	41	43	
music	696	1116	116	33	
are	828	1125	62	24	
in	909	1115	39	35	
use,	964	1125	76	31	
called	1059	1116	116	35	
Major,	1195	1118	140	44	
bright	1354	1118	124	44	
and	1497	1118	72	35	
joyous,	1587	1120	148	45	
and	1753	1120	71	33	
Minor,	1844	1120	133	40	
plaintiff	315	1204	169	49	
and	502	1205	74	32	
melancholy.	593	1203	236	47	
When	408	1284	118	34	
Major	551	1283	130	45	
music	705	1285	115	33	
is	845	1284	30	34	
written,	900	1285	159	39	
the	1083	1285	61	34	
key	1171	1287	69	43	
note	1267	1288	84	32	
is	1376	1287	31	32	
on	1434	1298	45	22	
the	1505	1287	60	34	
first	1591	1288	82	34	
line	1699	1288	72	35	
or	1798	1299	43	23	
space	1867	1297	108	35	
above	318	1374	114	35	
the	456	1373	61	36	
leading	543	1373	147	46	
note.	715	1378	95	31	
In	838	1375	43	33	
Minor	907	1375	124	33	
music	1055	1376	114	33	
the	1197	1377	59	33	
key	1280	1376	70	45	
note	1376	1379	85	31	
is	1486	1378	31	33	
on	1543	1389	46	22	
the	1615	1379	61	33	
line	1701	1378	72	33	
or	1800	1389	42	23	
space	1868	1387	107	36	
below	316	1453	116	35	
the	458	1452	63	35	
leading	548	1452	149	46	
note.	725	1456	95	31	
(Further	878	1453	180	44	
explanation	1087	1454	235	46	
made	1352	1455	106	34	
under	1489	1455	116	34	
head	1635	1457	92	32	
of	1755	1457	41	33	
“Major	1826	1456	150	45	
and	319	1542	74	35	
