content	x	y	w	h	
146	903	418	123	120	
JEZUS	1159	415	446	117	
EN	1669	410	112	120	
DE	1847	408	136	120	
ZIEL	2046	406	353	117	
.	2389	403	36	121	
De	1098	616	95	102	
Ziele	1234	616	169	102	
neemt	1435	616	199	102	
alles	1658	616	136	102	
in	1838	616	39	102	
gelaatenheid	1938	616	394	102	
van	2371	616	103	102	
de	1557	717	80	88	
band	1655	717	162	88	
Gods	1848	717	172	88	
.	2017	717	25	88	
In	1096	903	91	81	
wien	1216	904	152	81	
noch	1412	905	145	81	
zulk	1605	906	121	81	
een	1776	907	81	81	
prikkel	1907	908	232	81	
ſteekt	2164	910	175	81	
,	2343	911	23	80	
Door	979	987	192	85	
de	1200	987	62	85	
oude	1291	987	164	85	
Adams	1485	987	247	85	
booze	1741	987	183	85	
krachten	1956	987	262	85	
,	2242	987	24	85	
Dat	1080	1071	121	85	
hy	1220	1071	78	85	
zich	1327	1071	122	85	
aan	1478	1071	110	85	
zyn	1628	1071	96	85	
vyand	1774	1071	190	85	
wreekt	1992	1071	227	85	
,	2223	1071	24	85	
Met	976	1155	162	80	
werken	1158	1155	234	80	
,	1416	1155	23	80	
woorden	1475	1155	283	80	
of	1805	1155	74	80	
gedachten	1895	1155	309	80	
;	2228	1155	23	80	
Die	1071	1239	116	81	
doet	1226	1239	132	81	
gelyk	1390	1239	161	81	
een	1606	1239	80	81	
boozen	1734	1239	219	81	
hond	1988	1239	156	81	
,	2166	1239	23	81	
Die	986	1319	121	84	
misgedeeld	1130	1319	356	84	
van	1527	1319	108	84	
'	1678	1319	24	84	
t	1704	1319	24	84	
rechte	1745	1319	188	84	
weeten	1958	1319	216	84	
,	2202	1319	24	84	
Den	1072	1399	140	89	
ſteen	1249	1399	143	89	
beſtormd	1421	1399	305	89	
met	1738	1399	127	89	
zynen	1902	1399	174	89	
mond	2095	1399	200	89	
,	2309	1399	26	89	
Die	988	1483	127	89	
hem	1139	1483	102	89	
was	1303	1483	140	89	
na	1472	1483	82	89	
het	1575	1483	102	89	
lyf	1696	1483	89	89	
geſmeeten	1809	1483	305	89	
:	2144	1483	26	89	
Die	1080	1563	114	89	
diersheid	1231	1563	265	89	
doet	1533	1563	138	89	
geen	1699	1563	125	89	
God	1859	1563	140	89	
'	2007	1563	26	89	
lyk	2027	1563	89	89	
beeld	2145	1563	165	89	
,	2331	1563	26	89	
Wat	989	1655	163	77	
hem	1178	1655	99	77	
genaakt	1350	1655	250	77	
van	1623	1655	99	77	
kruis	1763	1655	159	77	
of	1950	1655	71	77	
lyden	2040	1655	155	77	
;	2228	1655	22	77	
Wat	1076	1730	161	76	
hem	1264	1731	97	76	
de	1434	1732	69	76	
boosheid	1523	1733	273	77	
mededeeld	1833	1735	336	78	
,	2185	1737	21	76	
Al	999	1811	102	81	
treft	1109	1812	135	81	
het	1267	1813	103	81	
leed	1385	1814	124	81	
van	1550	1815	101	81	
alle	1688	1816	105	81	
zyden	1824	1817	177	81	
,	2026	1819	22	80	
Hy	1088	1901	106	72	
ziet	1224	1902	111	72	
op	1360	1903	66	72	
God	1450	1903	154	73	
,	1620	1904	20	72	
in	1686	1905	40	72	
zoet	1769	1905	125	73	
en	1931	1906	54	72	
zuur	2032	1907	149	73	
,	2189	1908	20	72	
Hy	995	1979	118	80	
neemt	1124	1979	216	80	
het	1357	1979	93	80	
alles	1483	1979	139	80	
van	1652	1979	104	80	
Gods	1790	1979	179	80	
handen	1997	1979	218	80	
,	2238	1979	23	80	
En	1083	2060	88	81	
wreekt	1199	2060	239	83	
zich	1466	2062	105	82	
aan	1622	2063	92	82	
geen	1759	2064	135	82	
kreatuur	1931	2065	275	83	
;	2223	2067	22	81	
Hy	995	2143	118	80	
is	1134	2143	44	80	
vereerd	1213	2143	222	80	
met	1462	2143	137	80	
ſchade	1626	2143	210	80	
en	1863	2143	46	80	
ſchanden	1951	2143	270	80	
,	2256	2143	23	80	
En	1079	2223	92	85	
dankt	1214	2223	186	85	
zyn	1420	2223	98	85	
Schepper	1555	2223	290	85	
nacht	1873	2223	177	85	
en	2074	2223	62	85	
dag	2174	2223	108	85	
,	2316	2223	24	85	
Dat	999	2307	134	84	
hy	1152	2307	78	84	
zyn	1258	2307	110	84	
God	1392	2307	145	84	
in	1581	2307	46	84	
'	1665	2307	24	84	
t	1690	2307	24	84	
lydend	1744	2307	200	84	
leven	1985	2307	150	84	
,	2163	2307	24	84	
Een	1087	2388	114	80	
weinigje	1236	2389	273	82	
gelyken	1541	2392	234	81	
mag	1810	2394	137	81	
.	1956	2395	22	80	
Ach	1004	2467	127	89	
Heiland	1162	2467	260	89	
!	1436	2467	26	89	
wilt	1490	2467	128	89	
het	1646	2467	102	89	
haar	1763	2467	151	89	
vergeeven	1938	2467	309	89	
,	2273	2467	26	89	
Al	1094	2551	88	82	
is	1201	2552	45	81	
'	1270	2552	22	81	
t	1299	2553	22	81	
haar	1343	2553	136	82	
kwaad	1504	2554	215	82	
,	1742	2556	22	81	
het	1794	2556	103	81	
is	1927	2557	28	81	
my	1981	2557	117	82	
goed	2114	2558	144	82	
,	2283	2559	22	81	
Vergeef	1013	2639	246	81	
haar	1280	2639	132	81	
deeze	1452	2639	169	81	
onwyze	1660	2639	240	81	
daaden	1936	2639	207	81	
;	2178	2639	23	81	
Zo	1094	2723	92	72	
valt	1224	2723	118	71	
een	1379	2722	83	71	
Chriſten	1512	2721	242	70	
God	1796	2719	154	71	
te	1978	2718	53	71	
voet	2063	2717	136	71	
,	2214	2716	20	72	
En	1003	2792	87	94	
ſmeekt	1136	2792	219	94	
uit	1382	2792	81	94	
liefde	1491	2792	185	94	
voor	1698	2792	156	94	
de	1881	2792	69	94	
kwaaden	1973	2792	280	94	
.	2267	2792	27	94	
Goddelyk	1359	2973	412	108	
Antwoord	1830	2973	403	108	
.	2244	2973	31	108	
Ik	938	3160	77	102	
zegge	1057	3160	161	102	
u	1253	3160	29	102	
dat	1327	3160	104	102	
gy	1452	3160	57	102	
den	1546	3160	88	102	
boozen	1666	3160	197	102	
niet	1895	3160	134	102	
en	2055	3160	57	102	
wederſtaat	2126	3160	340	102	
:	2480	3160	29	102	
maar	2521	3160	163	102	
zo	916	3263	75	81	
wie	1017	3262	127	80	
u	1176	3261	24	81	
op	1239	3261	61	80	
de	1326	3260	75	81	
rechter	1421	3259	215	80	
wange	1665	3258	212	80	
Naat	1906	3256	148	80	
,	2086	3255	24	81	
keert	2159	3254	150	81	
hem	2343	3253	105	81	
ook	2505	3252	82	81	
de	2625	3251	61	81	
andere	921	3337	203	95	
toe	1158	3337	82	95	
.	1243	3337	27	95	
Matth	1293	3337	209	95	
.	1515	3337	27	95	
V	1563	3337	27	95	
:	1602	3337	27	95	
39	1658	3337	71	95	
.	1728	3337	27	95	
Wy	2579	3501	120	108	
