content	x	y	w	h	
1-68	1286	262	122	54	
BIT	374	378	96	58	
CODE	714	374	123	51	
SET	1220	366	94	51	
RESET	1721	354	165	57	
PGNS	105	891	61	126	
T	104	717	62	17	
/	104	679	62	17	
0	104	654	62	17	
,	104	610	62	17	
LR	104	591	61	68	
,	103	509	62	17	
RR	103	491	62	69	
TEST	103	390	61	129	
RCS	174	894	61	99	
INHIB	173	743	60	147	
,	171	578	62	18	
LPD	171	560	61	98	
BIAS	170	421	61	130	
1	427	515	7	51	
2	424	581	6	51	
.	444	581	3	51	
3	426	649	8	51	
2	830	578	3	47	
4	826	644	5	49	
.	850	644	1	49	
4	425	719	3	47	
or	404	831	47	43	
6	419	855	4	46	
7	426	919	5	49	
8	423	989	14	47	
E	1058	500	19	65	
=	1092	499	19	65	
1,3,5,7	1159	498	226	62	
E	1058	568	17	61	
=	1090	568	17	61	
2,3,6,7	1151	567	232	61	
E	1058	636	18	61	
=	1090	635	18	61	
4,5,6,7	1151	635	233	59	
D	1059	698	20	69	
=	1094	698	20	69	
1,3,5,7	1161	698	221	69	
D	1058	768	17	62	
=	1096	768	17	62	
2,3,6,7	1158	768	221	62	
D	1060	834	18	65	
=	1094	834	18	65	
4,5,6,7	1153	833	233	64	
C	1063	902	18	63	
=	1095	902	18	63	
1,3,5,7	1161	902	224	63	
C	1066	970	18	63	
=	1098	970	18	63	
2,3,6,7	1164	969	224	62	
C	1068	1038	18	63	
=	1100	1038	18	63	
4,5,6,7	1157	1037	233	63	
B	1064	1104	18	63	
=	1102	1104	18	63	
1,3,5,7	1168	1104	215	62	
B	1068	1172	18	63	
=	1100	1172	18	63	
2,3,6,7	1166	1171	224	62	
B	1064	1238	19	67	
=	1098	1238	19	67	
4,5,6,7	1158	1238	233	67	
A	1067	1306	20	69	
=	1102	1306	20	69	
1,3,5,7	1171	1306	219	69	
A	1066	1374	18	63	
=	1104	1374	18	63	
2,3,6,7	1161	1373	234	62	
A	1065	1440	18	65	
=	1105	1440	18	65	
4,5,6,7	1167	1440	224	65	
10	796	711	36	51	
20	788	776	47	53	
40	784	842	54	57	
100	757	910	87	56	
200	758	978	92	58	
400	764	1044	78	55	
1000	730	1110	117	58	
2000	727	1182	119	54	
4000	726	1248	127	57	
10000	695	1316	151	57	
