content	x	y	w	h	
84	1129	402	77	82	
JOAN	1317	399	340	78	
LUT	1710	393	283	79	
KENS	1994	388	341	78	
bigodini	1269	503	755	57	
,	2048	476	26	82	
na	2190	467	225	81	
Laboure	1510	661	282	74	
d	1830	651	26	82	
'	1862	650	26	82	
olivet	1893	649	183	77	
.	2076	643	26	82	
od	2128	641	77	81	
osnov	2262	637	209	77	
31500	1713	742	95	70	
s	2073	729	21	73	
ibili	2153	727	208	68	
ng	2351	719	81	72	
En	1253	817	90	95	
ander	1368	816	170	95	
zing	1562	815	130	95	
van	1699	814	111	95	
krijg	1835	813	145	95	
en	2018	812	54	95	
moort	2089	811	216	95	
,	2316	810	29	96	
Hoe	1245	906	152	75	
datmen	1401	905	229	74	
menſchen	1642	903	319	74	
fmoort	1996	901	227	74	
,	2229	899	23	76	
In	1153	983	46	84	
'	1227	984	24	83	
t	1252	984	24	83	
laauwebloed	1295	984	402	84	
door	1735	985	147	84	
'	1899	985	24	83	
t	1925	985	24	83	
ſwaart	1968	986	208	83	
geplengt	2191	986	272	84	
,	2462	987	24	83	
En	1147	1076	94	72	
roep	1255	1076	137	70	
hem	1416	1074	103	71	
uyt	1566	1072	104	71	
voor	1693	1070	158	71	
vroom	1861	1068	187	71	
,	2092	1065	21	72	
C	2450	1061	21	72	
Die	1145	1156	113	72	
'	1282	1155	21	72	
t	1304	1155	21	72	
ineefte	1342	1155	204	70	
volk	1570	1152	126	71	
om	1725	1149	93	72	
'	1852	1149	21	72	
t	1881	1148	21	72	
leven	1915	1147	167	70	
brengt	2103	1145	213	70	
P	2326	1143	21	72	
VV	2364	1141	107	72	
En	1157	1236	80	84	
verft	1263	1234	148	82	
,	1404	1231	26	85	
of	1441	1229	80	84	
velt	1531	1228	109	82	
,	1645	1225	26	85	
of	1673	1224	80	84	
ſtroom	1757	1222	194	81	
.	1980	1217	26	85	
davobiM	2014	1216	441	75	
Ik	1241	1308	50	88	
zing	1319	1307	133	88	
met	1461	1306	127	88	
aangenaam	1607	1305	323	86	
vermaak	1994	1303	264	86	
,	2284	1301	26	88	
0931	2359	1300	126	88	
Van	1158	1396	128	81	
Liefde	1317	1395	210	80	
,	1522	1394	24	81	
een	1561	1394	94	80	
ſchoonder	1687	1393	318	79	
zaak	2029	1391	138	80	
:	2187	1390	24	81	
100	2327	1389	94	80	
Daar	1167	1474	149	76	
ſtort	1341	1474	134	76	
men	1476	1474	140	76	
Bloed	1643	1474	166	76	
,	1817	1474	22	76	
maar	1834	1474	167	76	
niet	2009	1474	131	76	
langs	2157	1474	160	76	
'	2317	1474	22	76	
t	2340	1474	22	76	
velt	2382	1473	117	77	
Ten	1184	1552	109	84	
koſten	1313	1551	192	83	
van	1536	1550	111	83	
den	1674	1549	98	83	
man	1792	1548	146	83	
;	1963	1547	25	84	
dui	2061	1546	122	84	
eien	2190	1545	132	84	
Maar	1158	1644	181	71	
bloed	1355	1643	169	70	
waar	1532	1640	174	71	
uyt	1717	1638	113	71	
het	1825	1637	104	70	
leven	1941	1635	156	70	
fwelt	2128	1633	171	70	
,	2308	1631	21	72	
y	2425	1629	21	72	
Dat	1157	1723	140	80	
ſtaat	1305	1721	140	80	
my	1441	1717	133	81	
beter	1568	1716	164	79	
and	1741	1712	174	80	
sistebrood	1983	1709	416	73	
v2	2426	1701	60	80	
Is	1255	1803	47	79	
'	1312	1801	24	80	
t	1336	1801	24	80	
leven	1367	1801	156	78	
ſchoonder	1568	1798	318	76	
dan	1896	1791	105	80	
de	2027	1790	75	80	
dood	2117	1788	157	79	
,	2286	1787	24	80	
bo	2333	1785	104	80	
Die	1171	1887	114	72	
'	1298	1886	21	72	
t	1320	1886	21	72	
alles	1360	1884	144	71	
'	1517	1882	21	72	
t	1539	1882	21	72	
hart	1568	1881	133	70	
afſtoot	1717	1878	228	69	
:	1977	1874	21	72	
