content	x	y	w	h	
.	47	3511	58	15	
Р	-12	3634	57	17	
линии	2231	3680	183	28	
5	-5	3722	8	62	
ліпшити	3089	3755	190	24	
е	12	4354	10	79	
S	5	4500	18	61	
-	25	4883	9	74	
а	11	4989	14	100	
Huted	2596	4989	628	331	
pollor	3803	5017	625	330	
3	19	5181	15	54	
1	-2	5283	20	60	
2	25	5439	15	54	
11	3330	5471	13	33	
1AT	3371	5469	93	31	
}	3455	5467	9	34	
}	3490	5467	10	34	
e	19	5522	16	78	
,	51	5710	60	17	
t	16	5793	18	61	
e	7	5916	22	68	
т	-9	6094	61	20	
S.	9	6183	50	56	
CS	-16	6315	62	56	
S	16	6570	20	57	
S	19	6824	19	60	
frag	3087	7088	206	211	
mens	2985	7140	282	220	
Anti	2894	7202	241	223	
