content	x	y	w	h	
INNRNBROOR	2941	2063	115	20	
RRR	3334	2426	99	19	
ters	5239	2687	66	54	
RAGRIPP	1938	2848	137	8	
VE	2709	2865	83	56	
HCM	5746	3250	35	48	
SANIN	5767	3424	28	136	
58	2653	3391	46	24	
MA	3330	3448	235	145	
Vestigi	1486	3681	156	113	
del	1681	3682	80	114	
Panteon	1783	3683	210	114	
,	2002	3685	32	112	
di.MAgrippa	2049	3685	341	115	
,	2394	3688	31	112	
qual	2428	3689	145	112	
fu	2583	3690	40	113	
un	2659	3690	61	113	
Tempio	2766	3692	181	112	
che	2969	3693	81	113	
lui	3060	3693	96	114	
edifico	3170	3695	183	113	
a	3383	3696	31	112	
Gioue	3434	3697	188	113	
Vſtore	3645	3699	167	112	
,	3804	3700	31	113	
el	3825	3700	81	113	
chiamò	3925	3700	212	114	
Panteon	4163	3703	176	114	
,	4372	3704	32	113	
perche	4405	3704	206	114	
il	4618	3706	40	112	
dedicò	4681	3707	170	114	
dapoi	4884	3709	154	113	
di	5046	3710	61	112	
Gioue	5115	3710	174	114	
,	5282	3711	31	113	
à	5304	3711	31	113	
tuttii	5345	3711	142	114	
Dei	5513	3714	128	113	
,	5623	3714	31	113	
Questo	5665	3714	176	114	
edificio	1452	3770	194	104	
fu	1671	3773	37	101	
diforma	1746	3775	251	104	
circolare	2030	3777	225	104	
con	2283	3780	84	103	
un	2398	3782	91	102	
bellis	2513	3783	148	103	
.	2660	3786	27	101	
portico	2688	3786	187	102	
,	2875	3787	27	102	
ornato	2917	3789	174	102	
di	3132	3791	55	102	
gran	3216	3791	100	103	
gran	3215	3777	122	130	
colonne	3363	3779	220	129	
d'opera	3595	3782	201	129	
corinthia	3828	3783	239	131	
,	4079	3786	35	128	
et	4111	3786	48	128	
di	4170	3786	71	129	
molti	4238	3787	164	129	
adornamenti	4421	3789	339	130	
,	4762	3791	36	128	
et	4796	3791	45	130	
intagli	4861	3793	187	129	
,	5035	3794	35	128	
massimo	5064	3794	267	131	
nella	5345	3797	142	129	
parte	5513	3798	155	130	
di	5690	3800	93	128	
dentro	1461	3856	176	126	
,	1635	3857	36	125	
oggidi	1663	3857	194	125	
si	1856	3859	46	125	
ritroua	1932	3859	203	125	
questo	2168	3860	176	125	
e	2367	3860	36	125	
dificio	2412	3862	159	125	
solo	2597	3862	130	126	
intiero	2740	3863	198	125	
,	2923	3863	36	125	
di	2962	3864	68	125	
quanti	3056	3864	206	127	
Tempij	3296	3866	210	125	
antichi	3532	3867	201	125	
furono	3745	3867	220	127	
in	3991	3869	45	125	
Roma	4078	3870	201	125	
,	4261	3870	36	125	
e’si	4306	3870	97	126	
chiama	4416	3871	260	127	
volgar	4675	3873	224	126	
,	4918	3874	36	125	
S.	4976	3874	45	125	
Maria	5019	3874	204	127	
Rotondai	5251	3876	336	126	
33	5822	3932	118	74	
Marco	5088	3972	141	51	
Sedeler	5249	3970	143	50	
excu	5419	3968	60	52	
dit	5498	3967	51	52	
