content	x	y	w	h	
LIBERTY.	966	212	173	29	
C.	1176	213	32	26	
M.	1229	215	41	24	
137	1927	225	48	28	
“	857	251	9	6	
Deliver	872	250	67	16	
me	945	255	27	9	
from	979	252	43	13	
the	1029	252	29	13	
oppression	1064	251	99	19	
of	1170	251	18	15	
man.”—Ps.	1194	251	103	17	
119:	1305	252	33	15	
134.	1346	253	30	15	
Key	283	273	45	24	
of	337	272	23	20	
F	366	274	16	18	
Major.	391	272	70	25	
Stephen	1334	277	103	19	
Jenks,	1448	278	75	22	
1803.	1538	278	49	17	
Alto	1613	278	44	18	
by	1665	278	26	24	
S.	1700	279	19	18	
M.	1733	280	27	18	
Denson,	1775	281	93	23	
1911.	1879	281	50	20	
No	343	408	28	20	
more	396	413	50	14	
be	459	408	21	19	
-	489	419	6	3	
neath	505	408	56	19	
the	570	407	32	20	
oppress-ive	611	408	117	22	
hand	740	408	51	19	
Of	835	407	28	20	
tyr	909	410	31	22	
-	949	419	6	3	
an	964	415	24	12	
-	997	419	6	3	
ny	1012	415	26	17	
we	1069	415	29	13	
groan.	1137	414	64	18	
Be	1897	414	26	20	
-	1947	425	6	4	
No	345	652	28	20	
more	398	658	49	14	
be	460	653	23	19	
-	491	663	7	3	
neath	507	654	56	18	
the	573	653	32	19	
oppress-ive	613	653	117	23	
hand	742	654	51	18	
Of	837	653	28	20	
tyr	912	656	30	21	
-	950	665	7	2	
an	966	660	23	12	
-	999	664	6	3	
ny	1015	661	25	15	
we	1071	661	28	12	
groan.	1139	660	64	17	
Be	1456	656	27	19	
-	1499	667	7	2	
hold	1522	657	43	18	
the	1573	657	32	19	
smil-ing,	1614	656	90	25	
hap	1743	658	36	23	
-	1787	669	8	2	
py	1803	664	25	17	
land,	1836	659	49	23	
Be	1896	660	25	18	
-	1946	670	6	3	
Stephen	286	1384	82	25	
Jenks,	378	1384	70	22	
of	455	1384	20	18	
New	484	1383	47	19	
Canaan,	539	1381	90	25	
Conn.,	637	1383	69	23	
published	715	1385	99	22	
the	821	1385	34	19	
“	863	1384	13	9	
Delights	884	1384	88	24	
of	980	1386	20	17	
Harmony”	1009	1385	112	23	
in	1130	1386	18	17	
1805.	1159	1387	49	20	
Twenty-six	1234	1386	119	22	
of	1361	1385	20	19	
the	1392	1385	32	19	
tunes	1436	1387	55	17	
in	1500	1385	18	18	
this	1530	1385	39	19	
book	1581	1385	49	18	
were	1643	1391	48	12	
composed	1698	1386	99	22	
by	1805	1386	26	23	
him,	1839	1387	47	22	
and	1893	1387	37	20	
the	1942	1387	32	22	
work	242	1410	52	17	
was	303	1414	40	14	
published	352	1406	98	24	
by	463	1407	26	21	
subscription.	497	1404	132	23	
He	655	1407	28	17	
removed	692	1407	86	19	
to	791	1410	18	16	
Thompson	819	1407	110	24	
and	939	1408	37	18	
died	988	1409	42	17	
there	1043	1409	51	18	
in	1104	1409	18	17	
1856.	1133	1409	48	21	
He	1207	1408	28	19	
was	1244	1414	40	12	
a	1292	1415	11	12	
ready	1312	1408	56	23	
composer.	1380	1412	101	18	
He	1508	1408	27	18	
is	1545	1409	15	17	
supposed	1569	1407	92	24	
to	1673	1410	19	16	
have	1705	1408	49	18	
composed	1761	1407	98	26	
the	1872	1410	32	20	
words	1913	1409	62	23	
of	242	1431	19	18	
this	268	1432	39	18	
tune.	315	1433	51	17	
