content	x	y	w	h	
I	1101	460	22	76	
WANT	1146	460	161	75	
TO	1338	459	56	76	
BE	1430	458	56	76	
A	1532	458	22	76	
WORKER	1585	457	225	75	
.	1817	456	22	76	
“	1192	554	11	42	
The	1221	553	48	42	
laborers	1278	553	113	42	
are	1403	552	42	42	
few	1455	552	42	42	
.	1506	552	11	42	
”	1514	552	11	42	
-	1540	552	11	42	
Mart	1559	552	84	41	
.	1643	551	11	42	
ix	1665	551	23	42	
.	1691	551	11	42	
37	1716	551	30	42	
.	1747	550	11	42	
I	802	589	13	46	
.	816	589	13	46	
B	844	589	13	46	
.	867	589	13	46	
I	1924	583	12	40	
.	1936	583	12	40	
BALTZELL	1965	584	162	43	
.	2129	587	12	40	
1	909	811	11	42	
.	927	811	11	42	
I	961	811	11	42	
want	1006	811	96	41	
to	1126	810	22	42	
be	1190	810	39	42	
2	910	851	9	35	
.	928	851	9	35	
I	960	851	9	35	
want	1009	851	87	34	
to	1121	850	26	35	
be	1191	850	38	35	
3	912	885	10	36	
.	927	885	10	36	
I	960	885	10	36	
want	1011	885	91	35	
to	1122	884	27	36	
be	1188	884	47	36	
4	909	921	12	44	
.	927	921	12	44	
I	958	921	12	44	
want	1006	921	93	43	
to	1125	920	24	44	
be	1188	920	48	44	
a	1297	809	11	42	
work	1339	809	82	41	
-	1430	808	11	42	
er	1450	808	31	42	
for	1525	808	42	42	
the	1599	807	53	42	
Lord	1672	807	75	42	
,	1752	806	11	42	
I	1821	806	11	42	
want	1872	806	93	41	
to	1984	805	30	42	
love	2049	805	64	41	
and	2130	804	60	42	
a	1295	849	9	35	
work	1335	849	82	34	
-	1432	848	9	35	
er	1447	848	32	35	
ev	1530	848	32	35	
-	1583	847	9	35	
'	1601	847	9	35	
ry	1618	847	26	35	
day	1692	847	55	35	
,	1752	846	9	35	
I	1821	846	9	35	
want	1873	846	87	34	
to	1985	845	26	35	
lead	2050	845	63	34	
the	2132	844	57	35	
a	1296	885	10	36	
work	1334	885	86	35	
-	1429	884	10	36	
er	1451	884	26	36	
strong	1494	884	114	35	
and	1616	883	62	36	
brave	1693	883	93	35	
,	1788	882	10	36	
I	1822	882	10	36	
want	1870	882	91	35	
to	1987	881	27	36	
trust	2046	881	83	35	
in	2152	880	20	36	
a	1296	919	12	44	
work	1334	919	87	43	
-	1431	918	12	44	
er	1454	918	24	44	
;	1489	918	12	44	
help	1507	918	76	43	
me	1602	917	65	44	
,	1660	917	12	44	
Lord	1689	917	74	43	
,	1768	916	12	44	
To	1817	916	32	44	
lead	1890	916	62	43	
the	1983	915	57	44	
lost	2060	915	61	43	
and	2139	914	63	44	
trust	888	1331	79	35	
his	979	1331	49	35	
ho	1038	1331	46	34	
-	1087	1330	9	35	
ly	1095	1330	32	35	
word	1156	1330	81	34	
;	1252	1329	9	35	
I	1306	1329	9	35	
want	1368	1329	94	34	
to	1470	1328	26	35	
sing	1512	1328	71	35	
and	1594	1327	66	35	
pray	1674	1327	74	35	
,	1753	1326	9	35	
and	1763	1326	60	35	
be	1839	1326	38	35	
bus	1900	1326	60	34	
-	1965	1325	9	35	
y	1979	1325	9	35	
ev	2033	1325	39	35	
-	2077	1325	9	35	
'	2087	1325	9	35	
ry	2096	1324	32	35	
day	2141	1324	55	35	
err	915	1367	45	35	
-	963	1367	9	35	
ing	977	1367	51	35	
in	1046	1367	19	34	
the	1092	1367	55	35	
way	1168	1367	70	34	
That	1287	1366	81	35	
leads	1380	1366	85	35	
to	1477	1366	26	35	
heay	1521	1366	77	34	
'	1604	1365	9	35	
n	1618	1365	9	35	
above	1648	1365	102	36	
,	1751	1365	9	35	
where	1770	1365	104	35	
all	1888	1365	45	34	
is	1948	1364	26	35	
peace	1979	1364	97	36	
and	2082	1365	66	34	
love	2162	1364	66	35	
Jesus	910	1403	90	40	
'	998	1403	11	40	
pow	1015	1403	63	39	
'	1088	1402	11	40	
r	1104	1402	11	40	
to	1128	1402	29	40	
save	1173	1402	71	39	
;	1252	1401	11	40	
All	1308	1401	52	40	
who	1397	1400	75	40	
will	1486	1400	61	40	
truly	1562	1400	83	39	
come	1661	1399	95	40	
,	1748	1398	11	40	
shall	1771	1398	85	40	
find	1901	1398	63	39	
a	1982	1397	11	40	
happy	2019	1397	104	39	
home	2133	1396	100	40	
err	911	1442	44	34	
-	959	1442	9	34	
ing	972	1442	54	34	
to	1049	1441	25	34	
thy	1095	1441	53	34	
word	1163	1441	84	33	
That	1295	1440	78	34	
points	1390	1440	104	33	
to	1506	1439	31	34	
joy	1553	1439	49	33	
on	1617	1438	38	34	
high	1668	1438	72	34	
,	1750	1437	9	34	
where	1772	1437	105	34	
pleasures	1887	1437	161	33	
never	2053	1436	96	33	
die	2160	1435	48	34	
CHORUS	1501	1680	142	33	
.	1643	1679	9	34	
1	876	1866	10	38	
.	887	1866	10	38	
In	920	1866	29	38	
the	984	1865	54	38	
vine	1052	1864	76	38	
-	1129	1864	10	38	
yard	1142	1864	72	37	
of	1235	1862	36	38	
the	1304	1862	60	38	
Lord	1375	1862	73	36	
.	1457	1860	10	38	
2	788	1905	10	38	
,	804	1905	10	38	
3	827	1905	10	38	
,	843	1905	10	38	
4	870	1905	10	38	
.	886	1904	10	38	
In	919	1904	29	38	
the	981	1905	55	38	
king	1050	1904	76	38	
-	1132	1904	10	38	
dom	1142	1904	60	38	
of	1230	1903	35	38	
the	1301	1903	60	39	
Lord	1372	1904	75	37	
.	1455	1903	10	38	
I	1523	1860	10	38	
will	1568	1860	65	37	
work	1644	1858	85	38	
,	1738	1858	10	38	
I	1890	1856	12	40	
will	1933	1855	70	41	
pray	2019	1857	74	41	
,	2095	1858	12	40	
I	1525	1903	10	38	
will	1577	1902	55	38	
work	1653	1902	65	39	
and	1738	1903	49	37	
pray	1808	1902	60	38	
,	1869	1902	10	38	
I	1888	1902	10	38	
will	1948	1901	49	38	
work	2021	1901	65	39	
and	2105	1901	44	38	
pray	2163	1901	60	38	
,	2223	1901	10	38	
In	921	2308	33	46	
the	1007	2308	52	46	
vineyard	1085	2307	145	46	
,	1236	2306	13	46	
in	1261	2306	25	46	
the	1306	2306	59	46	
vineyard	1381	2306	146	45	
of	1550	2305	34	46	
the	1609	2304	52	46	
Lord	1689	2304	78	45	
;	1777	2303	13	46	
(	1800	2303	13	46	
of	1815	2303	26	46	
the	1886	2303	46	46	
Lord	1940	2302	58	46	
;	2012	2302	13	46	
)	2021	2302	13	46	
I	2068	2302	13	46	
will	2134	2301	66	46	
work	888	2744	76	46	
,	970	2744	13	46	
I	1017	2744	13	46	
will	1041	2744	66	45	
pray	1125	2743	73	46	
,	1196	2743	13	46	
I	1234	2742	13	46	
will	1263	2742	67	46	
la	1357	2742	26	46	
-	1393	2742	13	46	
bor	1421	2741	52	46	
ev	1491	2741	34	46	
'	1539	2741	13	46	
ry	1552	2741	34	46	
day	1597	2740	59	46	
In	1681	2740	25	46	
the	1733	2740	59	45	
vineyard	1801	2739	147	45	
of	1970	2738	34	46	
the	2029	2738	59	46	
Jord	2095	2738	76	45	
.	2178	2737	13	46	
By	795	2956	28	31	
persele	838	2957	76	30	
dea	927	2957	36	31	
of	976	2957	18	31	
3	1011	2957	8	31	
.	1027	2958	8	31	
&	1047	2958	8	31	
,	1063	2957	8	31	
Lertas	1080	2957	82	32	
