content	x	y	w	h	
59	670	1067	109	98	
:	788	1066	28	98	
XX	816	1066	115	88	
SPS	149	132	224	116	
BURN	454	134	303	116	
F	1815	160	25	87	
50	1894	160	94	87	
25	2053	160	80	87	
GMBL	2249	160	187	87	
TEST	2503	160	189	87	
OPTION	2749	160	275	87	
CONTINUED	151	258	750	129	
(	1820	264	30	99	
ACCEPT	1854	263	292	95	
)	2160	260	30	99	
PRO	2258	258	128	97	
7/1/71	373	418	289	85	
06	1908	363	73	99	
40	2054	363	91	99	
FDAI	2254	363	191	99	
SCALE	2504	363	245	99	
-	2810	363	29	99	
5/5	2894	363	141	99	
RATE	1800	473	189	75	
-	2068	471	27	90	
HIGH	2150	470	192	89	
,	2359	469	27	90	
IF	2467	468	67	90	
SCS	2608	468	130	89	
:	2760	467	27	90	
After	2851	466	233	89	
IGN	3158	464	129	90	
Update	1066	556	290	111	
DET	1419	556	141	111	
,	1567	556	32	111	
SPS	1667	556	125	111	
He	1850	556	102	111	
VLV	2018	556	126	111	
(	2217	556	32	111	
2	2261	556	32	111	
)	2305	556	32	111	
-	2407	556	32	111	
AUTO	2507	556	181	111	
V	2743	556	32	111	
,	2809	556	32	111	
Ck	2914	556	62	111	
N2A	3038	556	142	111	
&	3247	556	32	111	
N2B	3342	556	142	111	
58:00	673	660	244	111	
*	1025	660	32	111	
AV	1079	660	93	111	
THRUST	1225	660	287	111	
A	1563	660	32	111	
(	1619	660	32	111	
B	1665	660	32	111	
)	1709	660	32	111	
-	1821	660	32	111	
NORM	1905	660	188	111	
(	592	748	35	119	
-02	637	748	136	119	
:	784	748	35	119	
00	829	748	88	119	
)	934	748	35	119	
THC	1086	748	136	119	
&	1276	748	35	119	
RHC	1369	748	136	119	
(	1576	748	35	119	
2	1624	748	35	119	
)	1672	748	35	119	
-	1768	748	35	119	
ARMED	1861	748	232	119	
5PS	2237	752	154	110	
PILGT	2468	742	195	109	
VLV	2704	732	165	110	
(	2898	723	39	116	
B	2958	721	39	116	
)	3016	719	39	116	
-	3064	717	39	116	
CLOSED	3138	714	331	103	
59:30	679	872	233	76	
EMS	1072	872	136	78	
NORM	1363	876	185	73	
(	593	960	33	115	
-00	633	960	132	115	
:	789	960	33	115	
30	846	960	66	115	
)	935	960	33	115	
CM	1073	960	88	115	
PIPA	1221	960	201	115	
BIAS	1465	960	201	115	
<	1717	960	33	115	
2	1821	960	33	115	
fps	1926	960	115	115	
for	2126	960	115	115	
5	2309	960	33	115	
sec	2409	960	131	115	
(	600	1162	31	107	
-00	641	1162	121	107	
:	794	1162	31	107	
XX	834	1162	80	107	
)	935	1162	31	107	
*	1032	1162	31	107	
ULLAGE	1068	1162	292	107	
12	1612	1160	71	120	
sec	1821	1158	106	121	
F	593	1880	21	75	
99	694	1881	69	75	
40	829	1881	81	76	
(	1097	1872	25	87	
-00	1135	1872	125	87	
:	1291	1872	25	87	
05	1321	1872	80	87	
)	1427	1872	25	87	
ENG	1521	1872	124	87	
ON	1717	1872	80	87	
ENABLE	1865	1872	287	87	
REQUEST	2209	1872	339	87	
VOLONI	3179	2132	23	103	
KOLAMA	377	2474	30	207	
00:00	689	2028	231	87	
*	1037	2028	25	87	
IGN	1090	2028	122	87	
*	1283	2028	25	87	
If	1329	2028	80	87	
SCS	1481	2028	124	87	
:	1627	2028	25	87	
THRUST	1729	2028	275	87	
PB	2061	2028	80	87	
-	2225	2028	25	87	
PUSH	2322	2028	163	87	
00:03	681	2132	232	75	
AKTHRUST	1065	2126	444	101	
2	1628	2126	29	101	
)	1678	2126	29	101	
NORMAL	1855	2130	284	78	
00	680	2236	88	78	
:	800	2235	24	79	
XX	832	2234	88	79	
ECO	1071	2232	141	68	
F	599	2334	22	77	
16	697	2335	58	77	
40	830	2335	87	77	
AV	1078	2320	94	103	
THRUST	1242	2320	274	103	
(	1584	2320	30	103	
2	1626	2320	30	103	
)	1678	2320	30	103	
-	1782	2320	30	103	
OFF	1871	2320	133	103	
F	599	2434	22	77	
16	693	2435	73	77	
85	841	2435	73	78	
Null	1075	2434	197	85	
residuals	1324	2434	434	85	
Record	1076	2532	292	85	
AV	1420	2532	94	85	
counter	1578	2532	332	85	
&	1971	2532	24	85	
residuals	2068	2532	422	85	
GMBL	1067	2628	193	106	
MOT	1315	2627	152	106	
(	1538	2626	31	107	
4	1572	2626	31	107	
)	1626	2625	31	107	
-	1734	2625	31	107	
OFF	1827	2624	138	107	
TVC	1074	2732	134	83	
SERVO	1283	2732	217	83	
PWR	1573	2732	130	83	
1	1783	2732	24	83	
&	1875	2732	24	83	
2	1975	2732	24	83	
-	2075	2732	24	83	
OFF	2158	2732	145	83	
MN	1075	2830	95	103	
BUS	1236	2830	131	103	
TIE	1428	2830	131	103	
(	1631	2830	30	103	
2	1683	2830	30	103	
)	1725	2830	30	103	
-	1829	2830	30	103	
OFF	1917	2830	147	103	
EMS	1077	2928	143	91	
FUNC	1281	2928	187	91	
-	1534	2928	26	91	
OFF	1629	2928	128	91	
,	1782	2928	26	91	
MODE	1869	2928	184	91	
-	2130	2928	26	91	
STBY	2216	2928	190	91	
THC	1087	3024	136	107	
PWR	1283	3024	137	107	
-	1490	3024	31	107	
OFF	1570	3024	150	107	
,	1726	3024	31	107	
RHC	1821	3024	139	107	
PWR	2015	3024	137	107	
DIRECT	2218	3024	278	107	
(	2570	3024	31	107	
2	2614	3024	31	107	
)	2666	3024	31	107	
-	2764	3024	31	107	
OFF	2859	3024	137	107	
cb	1083	3116	81	112	
DIRECT	1239	3118	287	113	
ULLAGE	1571	3121	291	114	
(	1936	3125	31	111	
2	1981	3126	31	111	
)	2026	3126	31	111	
-	2127	3127	31	111	
open	2225	3128	171	112	
cb	1086	3236	79	88	
SPS	1234	3238	134	88	
PT	1423	3240	97	88	
&	1583	3242	24	87	
Yl	1682	3243	79	87	
-	1829	3245	24	87	
open	1922	3246	175	88	
BMAG	1078	3339	185	106	
MODE	1319	3333	205	105	
(	1584	3326	35	110	
3	1640	3324	35	110	
)	1674	3323	35	110	
-	1786	3320	35	110	
RATE	1870	3318	191	106	
¿	2122	3311	35	110	
CB	2239	3308	105	108	
EMS	2438	3302	194	107	
(	2663	3297	35	110	
2	2703	3295	35	110	
)	2749	3294	35	110	
-	2849	3291	35	110	
OPEN	2920	3290	190	105	
PCM	1077	3440	142	83	
BIT	1277	3440	140	83	
RATE	1481	3440	180	83	
-	1731	3440	24	83	
LOW	1825	3440	130	83	
CB	2191	3228	129	123	
SPS	2381	3215	156	121	
PET	2583	3202	104	123	
ULU	2704	3193	158	122	
(	2870	3182	47	128	
B	2910	3179	47	128	
)	2962	3176	47	128	
-	3015	3172	47	128	
OPEN	3115	3165	170	120	
THRUST	1087	3596	287	78	
FAIL	1428	3595	180	78	
ROUTINE	1676	3594	327	78	
EXIT	1080	3698	197	72	
9740	1725	3688	183	83	
E	2027	3688	24	83	
0640	2178	3688	173	83	
E	2030	3694	22	77	
0640	2174	3694	175	77	
9940	2467	3694	177	77	
9940	2467	3696	179	80	
E	2770	3694	23	81	
1685	2913	3694	176	80	
RECYCLE	1085	3798	335	75	
9740	1723	3796	186	82	
E	2028	3795	24	83	
0640	2179	3794	172	82	
9940	2474	3793	175	82	
9940	2468	3793	184	83	
P	2770	3793	24	83	
0640	2920	3793	177	83	
ERR	1090	3896	130	83	
NEEDLES	1279	3896	333	83	
9740	1739	3896	171	83	
9740	1733	3896	183	79	
P	2026	3896	23	79	
0640	2173	3896	180	79	
G	1083	4042	29	99	
&	1143	4042	29	99	
N	1183	4042	29	99	
Reignition	1287	4043	471	101	
F	1089	4146	20	75	
97	1187	4147	82	75	
40	1333	4148	80	76	
ENTR	1179	4250	188	76	
.	1374	4252	20	75	
F	1090	4352	22	78	
99	1195	4352	73	78	
