content	x	y	w	h	
160	2398	786	389	186	
3	6973	1042	98	165	
Sep	7038	1025	149	152	
in	7135	1218	80	87	
4	7004	1381	37	168	
lanu	7068	1378	138	161	
lami	6970	1607	248	49	
6	6985	1770	75	128	
Alta	7072	1748	124	113	
S	7150	1918	48	143	
Alta	7082	2658	126	133	
8	7017	3027	35	136	
Alta	7085	3023	128	135	
Alt	7085	3207	128	146	
10	7032	3769	62	120	
S	7154	3763	39	122	
Ad	2548	1118	185	188	
quatuor	2810	1112	511	181	
medij	3315	1102	380	184	
fornicis	3717	1093	469	182	
maximi	4214	1083	473	182	
,	4708	1072	36	191	
qui	4795	1070	203	187	
Altare	5023	1066	378	183	
maius	5452	1057	370	183	
,	5846	1049	33	191	
&	5926	1047	127	189	
ma	6078	1044	262	187	
VT	2410	1302	216	195	
gnam	2729	1296	377	191	
Templi	3133	1288	469	190	
partem	3632	1279	453	190	
tegit	4112	1269	317	193	
,	4408	1264	53	198	
angulos	4490	1262	502	189	
,	4981	1252	61	198	
Sanctorum	5044	1250	668	186	
Reliquias	5740	1237	586	187	
mira	2710	1472	303	197	
operis	3034	1467	393	197	
ftructura	3493	1459	516	195	
continentes	4044	1450	756	191	
,	4789	1438	63	202	
vnà	4886	1436	244	199	
cum	5159	1431	275	199	
effigiebus	5472	1427	609	193	
eo	6148	1416	176	201	
rundem	2723	1634	507	192	
in	3254	1630	122	195	
Statuam	3402	1628	513	191	
offormatis	3949	1622	652	190	
,	4600	1617	43	195	
hæ	4674	1617	174	192	
leguntur	4875	1615	539	189	
Inſcriptiones	5444	1609	822	188	
.	6266	1602	55	194	
Om	3353	1744	216	272	
Ad	3899	1911	176	139	
S.	4127	1907	108	140	
Andrez	4264	1903	481	133	
.	4772	1894	32	141	
pretoria	3503	2097	829	143	
S.	2406	2207	99	172	
ANDREX	2545	2205	647	162	
CAPVT	3277	2194	524	165	
,	3863	2184	31	172	
QVOD	3991	2182	486	165	
PIVS	4560	2175	327	167	
II	4954	2167	107	172	
.	5070	2167	24	172	
EX	5213	2163	190	171	
ACHAIA	5486	2159	570	164	
IN	6131	2150	181	169	
VATICANVM	2381	2385	991	147	
ADSPORTANDVM	3474	2372	1332	141	
CVRAVIT	4894	2355	721	149	
,	5715	2345	27	158	
VRBA	5880	2337	433	132	
NVS	2381	2571	320	153	
OCTAVUS	2769	2565	752	146	
NOVIS	3588	2552	502	149	
HIC	4157	2543	290	154	
ORNAMENTIS	4514	2537	1063	141	
DECORA	5617	2520	691	148	
TVM	2867	2750	373	162	
,	3281	2742	35	168	
SACRISQVE	3364	2740	844	152	
STATVÆ	4256	2723	637	155	
AC	4951	2708	202	165	
SACELLI	5201	2704	620	157	
HONORIBVS	3247	2920	951	143	
COLI	4254	2905	422	151	
VOLVIT	4708	2898	634	148	
.	5408	2888	31	157	
Ad	3816	3169	179	173	
S.	4044	3165	99	174	
Veronicæ	4176	3163	622	166	
.	4822	3152	35	176	
ir	5139	3148	101	174	
zoon	5203	3146	811	164	
SALVATORIS	2381	3467	957	153	
IMAGINEM	3406	3454	828	155	
,	4296	3442	31	165	
VERONICÆ	4400	3442	851	154	
SVDARIO	5304	3431	698	156	
EX	6078	3421	237	164	
CEPTAM	2381	3660	635	150	
,	3063	3651	30	157	
VT	3148	3651	228	154	
LOCI	3429	3645	387	153	
MAIESTAS	3865	3639	741	148	
DECENTER	4658	3628	832	147	
CVSTODI	5543	3615	746	147	
.	6277	3605	36	157	
RET	2389	3839	302	161	
,	2732	3835	39	164	
VRBANVS	2844	3833	722	153	
OCTAVUS	3649	3820	760	154	
PONT	4476	3808	441	158	
.	4926	3801	23	165	
MAX	5015	3799	357	160	
.	5381	3793	24	165	
CONDITO	5486	3793	830	153	
O	2465	4011	48	161	
RIVM	3144	4002	389	156	
EXTRVXIT	3664	3996	788	151	
ET	4539	3985	179	158	
ORNAVIT	4793	3981	733	151	
ZUIV	5721	3968	570	155	
30	2436	4195	167	142	
ATAT	2672	4194	425	135	
TANNO	3140	4186	700	135	
IVBILEI	3937	4176	539	137	
MDCXXV	4545	4169	688	134	
.	5260	4159	36	142	
O	5412	4157	41	142	
TOV	3133	4359	268	142	
Ad	3518	4440	177	192	
S.	3745	4440	102	192	
Helenæ	3874	4440	474	192	
Imperatricis	4375	4440	754	192	
:	5168	4440	34	192	
PARTEM	2374	4727	629	160	
CRVCIS	3087	4721	544	161	
,	3706	4717	41	165	
QVAM	3877	4715	477	163	
HELENA	4446	4712	614	160	
IMPERATRIX	5159	4706	956	158	
E	6207	4698	90	165	
CALVARIO	2381	4909	804	153	
IN	3231	4903	182	157	
