content	x	y	w	h	
'Atffffffaftjf,	5646	502	614	72	
Tddutu	2864	5990	330	90	
dei	3224	6014	150	72	
wee	3396	6046	164	48	
end'	3560	6026	236	74	
or	3816	6058	110	44	
dine	3928	6032	198	80	
di	4166	6040	82	74	
dine,	2832	6084	194	76	
JB	3068	6092	72	72	
mure	3180	6110	230	70	
mederne-	3452	6114	392	78	
C	3914	6122	64	72	
diardin^^SdJlflrcAewe	4000	6074	1160	166	
^	5874	6126	102	114	
P^o-Jvo.	6146	6088	434	170	
A.	6644	6116	100	142	
Porta	6762	6112	292	146	
antic	7096	6128	252	130	
a	7352	6170	62	88	
appanteiiente	7448	6162	632	96	
al	8108	6154	112	104	
tenz'cn	8244	6168	336	90	
-	8604	6202	34	56	
^	4494	6178	70	46	
Leva'	5188	6184	252	66	
n	5498	6186	98	66	
FdioricAe	5616	6188	480	80	
mederne	6120	6204	392	78	
J-opra.	6542	6238	270	78	
le	6838	6212	82	104	
re	6964	6250	102	66	
vine	7074	6226	208	90	
del	7318	6232	142	84	
iForo	7480	6234	278	82	
di	7814	6244	100	72	
Jdenira	7930	6248	362	78	
^iranest	7282	6322	394	60	
uircAltrtto	7690	6326	400	68	
(tie,	8136	6338	150	60	
inc	8338	6340	134	64	
■	8490	6384	12	20	
Colcmixa,	2792	12368	522	108	
T^ajaixti.	3356	12378	576	150	
_A	3998	12400	120	128	
Pi}t-a,vij/loUti	4160	12392	848	146	
cicil	5058	12414	238	124	
.Po7t.te/vce	5324	12404	690	140	
<Sis	6060	12418	228	126	
to	6308	12446	122	98	
TP	6484	12418	156	126	
til	6666	12424	140	120	
mo	6860	12462	194	82	
dei^rvo	7074	12432	412	112	
jpiano	7518	12432	412	138	
di	7992	12436	132	134	
Po	8142	12446	180	124	
z	8346	12500	36	70	
ma.,	2854	12548	214	58	
13	3110	12518	84	98	
Chieca.	3252	12520	424	104	
di	3730	12530	132	96	
<S\	3892	12534	126	92	
JWctyict	4052	12534	482	94	
cP	4602	12532	142	98	
_Z-	4764	12532	116	98	
o~oei~o.	4902	12566	384	76	
C	5384	12544	88	100	
Ch	5544	12550	158	94	
iecrci	5728	12552	276	94	
del	6062	12556	196	96	
Jirome	6288	12558	416	98	
diPPaviev■	6758	12562	632	102	
„	3008	12684	32	18	
JPl	7100	12672	106	64	
r	7218	12696	40	40	
anaeI	7268	12672	224	64	
sire	7502	12682	158	54	
AiteIt.	7674	12670	248	70	
tie,	7950	12686	140	54	
me	8122	12706	126	36	
•	8264	12720	14	22	
I	5750	14940	24	28	
