content	x	y	w	h	
24	2566	1638	152	156	
10.	2736	1868	166	76	
Muri	2996	1826	316	122	
parte	3396	1844	328	136	
di	3814	1820	126	160	
opera	3990	1858	352	122	
reticolata,	4428	1808	676	172	
e	5202	1850	60	130	
parte	5310	1836	336	144	
di	5696	1812	126	168	
mattoni,	5872	1830	574	150	
li	6540	1834	88	146	
quali	6676	1842	330	152	
chin-	7076	1854	308	140	
dono	2390	2034	310	112	
i	2784	2034	42	112	
vani	2916	2028	272	118	
delle	3284	2024	310	122	
grandi	3684	2014	424	162	
porte,	4194	2036	408	140	
che	4700	2012	204	164	
davano	4994	2008	474	168	
accesso'alle	5556	2022	780	154	
antiche	6468	2040	462	136	
came-	7022	2092	362	84	
re	2382	2276	124	70	
,	2558	2326	22	42	
e	2674	2278	60	90	
che	2824	2234	202	134	
probabilmente	3094	2220	942	164	
furono	4120	2210	424	174	
fatti	4634	2210	268	174	
nel	4990	2206	204	178	
primo	5276	2210	390	174	
abbandono	5752	2218	708	166	
della	6552	2238	310	146	
fabbri-	6946	2246	432	138	
ca	2386	2480	128	68	
,	2564	2524	24	44	
per	2682	2478	206	112	
impedire	2936	2432	578	158	
,	3564	2518	22	72	
che	3682	2426	202	164	
servisse	3974	2416	474	174	
di	4536	2414	126	176	
pubblico	4748	2408	564	182	
asilo	5408	2414	292	176	
,	5748	2508	22	82	
e	5870	2466	58	124	
rifugio.	6016	2422	500	168	
Deve	6636	2444	312	146	
osser-	7034	2498	352	92	
varsi	2372	2632	304	114	
su	2766	2676	130	70	
questo	2986	2654	410	130	
proposito,	3482	2620	656	164	
che	4234	2616	208	168	
le	4526	2610	114	174	
due	4734	2612	234	172	
porte	5054	2638	340	146	
ancora	5472	2658	434	126	
segnate	5982	2656	484	128	
con	6556	2678	218	106	
fasten-	6856	2644	508	140	
sco	2380	2872	186	72	
*	2620	2824	50	120	
furono	2714	2830	420	114	
trovate	3222	2848	452	96	
chiuse	3762	2818	392	126	
nello	4238	2810	324	134	
scavo	4654	2854	342	90	
con	5092	2858	226	86	
muri	5394	2818	314	126	
della	5794	2820	316	124	
medesima	6158	2830	642	118	
