content	x	y	w	h	
'IAhe	371	2691	89	37	
foregoing	477	2694	219	46	
photographs	713	2694	295	46	
contain	1023	2694	167	35	
the	1206	2694	71	34	
committee	1294	2693	239	35	
appointed	1550	2692	236	46	
by	1803	2693	57	45	
the	1875	2692	72	34	
United	1965	2692	156	35	
Sacred	2143	2691	157	35	
Harp	2317	2691	118	46	
Musical	2455	2691	176	35	
Association	2651	2690	266	36	
in	2939	2692	42	33	
September,	3002	2691	261	46	
1906,	297	2754	106	40	
who	426	2755	96	35	
have	544	2755	107	35	
just	672	2757	84	45	
completed	777	2755	242	46	
the	1040	2755	67	35	
revision	1128	2755	188	35	
and	1337	2755	85	34	
compilation	1443	2753	274	46	
and	1737	2755	86	33	
present	1845	2756	176	43	
the	2041	2753	71	35	
Sacred	2371	2753	158	34	
Harp"	2559	2753	137	46	
as	2718	2764	45	23	
revised	2784	2753	169	34	
by	2972	2754	57	45	
them.	3049	2753	125	35	
A	3228	2753	37	34	
perusal	296	2816	169	45	
of	485	2816	45	35	
its	550	2817	52	34	
pages	625	2823	128	40	
will	776	2817	83	34	
show	880	2817	119	34	
the	1021	2816	67	37	
work	1113	2816	116	36	
done.	1249	2816	123	35	
Further	1428	2815	182	35	
statements	1631	2817	250	33	
of	1903	2815	44	35	
the	1967	2816	71	34	
corrections	2060	2815	260	35	
in	2342	2815	42	34	
music,	2406	2815	140	37	
additions	2567	2815	215	34	
made,	2805	2816	132	38	
in	2959	2815	42	34	
this	3023	2815	83	35	
valua-	3127	2815	136	35	
ble	296	2877	68	35	
song	385	2885	106	40	
book	512	2879	113	35	
will	648	2879	84	33	
be	753	2879	52	34	
found	828	2878	134	35	
in	984	2879	42	33	
the	1048	2872	67	41	
Introductory,	1138	2879	309	44	
by	1471	2878	57	45	
the	1547	2878	71	33	
chairman	1640	2877	217	34	
of	1880	2877	44	34	
the	1951	2878	71	33	
committee,	2045	2877	250	38	
on	2318	2888	55	23	
following	2395	2876	217	47	
pages.	2636	2883	139	40	
