content	x	y	w	h	
596	688	181	90	47	
avear	1861	250	62	29	
1158	1863	289	57	51	
vente	1861	357	61	29	
lo	1858	461	20	43	
di	1888	460	20	43	
Erv	1873	685	40	46	
lif	1872	744	44	42	
Sono	1847	800	43	40	
DESCRIZIONE	966	172	284	53	
DI	1286	175	44	51	
ROMA	1356	176	116	52	
ta	637	230	40	53	
da	698	230	51	53	
Franceſco	781	230	219	53	
Volterra	1020	230	188	53	
,	1226	230	14	53	
l'Adorazione	1265	230	307	53	
de	1601	230	49	53	
May	1667	230	91	53	
gj	636	284	43	65	
nell'Altare	694	284	249	65	
è	958	284	29	65	
ſcoltura	1000	284	173	65	
di	1186	284	45	65	
Pictro	1250	284	139	65	
Paolo	1418	284	125	65	
Olivieri	1564	284	174	65	
,	1738	284	17	65	
terminata	636	340	222	57	
da	888	341	52	56	
Camillo	958	342	176	57	
Mariani	1156	343	173	57	
;	1350	344	11	56	
la	1390	345	38	56	
prima	1462	345	131	57	
Statua	1620	346	134	57	
alla	636	390	80	59	
deſtra	736	391	128	60	
è	882	392	20	59	
di	924	393	40	59	
un	984	393	52	60	
'	1042	394	8	59	
Allievo	1072	394	162	61	
del	1250	396	64	60	
Guidi	1332	397	130	61	
;	1471	399	14	59	
la	1512	399	36	59	
ſeguente	1565	400	189	61	
di	636	449	42	60	
Adamo	698	449	162	61	
Loreneſe	878	450	196	61	
;	1092	451	14	60	
quella	1139	451	134	61	
dirimpetto	1305	452	241	61	
di	1571	454	43	60	
Fran	1637	454	93	61	
.	1736	455	17	60	
ceſco	633	511	117	48	
Mari	777	511	114	48	
;	903	511	12	48	
l	942	511	12	48	
'	960	511	10	48	
ultima	995	511	140	48	
di	1157	511	50	48	
Carlo	1245	511	125	48	
Malaviſta	1400	511	210	48	
,	1639	530	11	37	
e	1679	515	19	42	
li	1724	515	23	42	
Angeli	638	566	149	59	
colli	819	566	94	58	
Moſaici	943	565	168	59	
nella	1144	564	105	59	
Volta	1278	564	123	58	
ſono	1426	563	99	59	
di	1555	563	39	59	
Paolo	1631	562	117	59	
Roffetti	634	618	174	55	
,	804	618	15	55	
fatti	838	618	92	55	
colli	948	618	93	55	
Cartoni	1060	618	173	55	
di	1262	618	39	55	
Federico	1322	618	195	55	
Zuccheri	1537	618	195	55	
.	1743	618	15	55	
E	635	671	27	58	
'	668	671	9	58	
da	695	671	50	58	
oſſervarſi	766	672	208	60	
ad	997	674	49	58	
un	1066	675	50	58	
lato	1135	675	84	59	
de	1240	676	49	59	
gradini	1308	677	159	59	
,	1488	679	12	58	
per	1525	679	71	58	
aſcen	1629	680	120	60	
dere	638	734	101	61	
all	768	734	51	61	
'	824	734	11	61	
Altare	852	734	143	61	
a	1016	734	21	61	
cornu	1056	734	127	61	
Evangelii	1204	734	219	61	
,	1424	734	17	61	
la	1464	734	37	61	
forma	1520	734	129	61	
dell	1666	734	78	61	
'	1738	734	11	61	
Oftia	638	787	112	63	
Sagramentata	770	787	310	63	
,	1083	787	15	63	
ivi	1112	787	62	63	
eſpreſſa	1195	787	167	63	
miracoloſamente	1382	787	366	63	
con	639	846	82	60	
alcuni	740	846	133	60	
ſegni	891	846	111	60	
di	1022	846	54	60	
Sangue	1086	846	162	60	
,	1258	846	13	60	
la	1294	846	37	60	
quale	1346	846	117	60	
dicono	1478	846	148	60	
,	1640	846	15	60	
che	1685	846	68	60	
cadeffe	638	900	155	57	
di	824	900	41	57	
mano	888	900	121	57	
ad	1028	900	51	57	
un	1102	900	51	57	
Sacerdote	1160	900	233	57	
,	1412	900	13	57	
che	1456	900	73	57	
dubitava	1560	900	189	57	
della	637	957	105	57	
realtà	761	957	129	57	
della	908	957	106	57	
Tranſuſtanziazione	1041	957	416	57	
.	1474	957	13	57	
Queſta	747	1012	152	62	
Chieſa	932	1012	146	63	
oltre	1103	1013	98	63	
il	1229	1014	28	62	
Titolo	1290	1014	137	63	
,	1439	1015	17	62	
che	1480	1015	77	63	
gode	1587	1016	102	62	
di	1714	1016	37	62	
Cardinal	646	1069	198	61	
Prete	874	1070	119	60	
,	997	1071	17	60	
è	1037	1071	21	60	
una	1087	1071	85	60	
di	1185	1072	45	60	
quelle	1240	1072	132	60	
,	1390	1073	11	60	
in	1429	1073	39	60	
cui	1489	1073	62	61	
à	1573	1074	33	60	
tenore	1621	1074	130	61	
deila	634	1126	109	65	
Coſtituzione	779	1126	274	65	
del	1069	1126	73	65	
Regnante	1150	1126	211	65	
Sommo	1382	1126	167	65	
Pontefi	1586	1126	154	65	
.	1739	1126	18	65	
ce	632	1182	50	63	
BENEDETTO	703	1182	248	63	
XIV	977	1182	81	63	
.	1071	1182	18	63	
fi	1106	1182	24	63	
celebra	1153	1182	154	63	
l'Ottavario	1325	1182	269	63	
de	1613	1182	46	63	
glo	1677	1182	71	63	
riofi	632	1239	97	58	
SS	765	1239	54	58	
.	822	1239	16	58	
Apoſtoli	862	1239	186	58	
Pietro	1084	1239	142	58	
,	1241	1239	16	58	
e	1276	1239	21	58	
Paolo	1333	1239	119	58	
tcnendovi	1545	1243	206	38	
Cappella	632	1294	203	65	
il	874	1294	36	65	
Collegio	921	1294	187	65	
de	1146	1294	49	65	
Monſignori	1216	1294	265	65	
Protonotarj	1501	1294	260	65	
Apoſtolici	634	1350	232	65	
;	889	1350	17	65	
e	926	1350	21	65	
fuol	965	1350	93	65	
eſſere	1069	1350	122	65	
il	1213	1350	28	65	
terzo	1271	1350	111	65	
giorno	1397	1350	151	65	
della	1570	1350	100	65	
me	1680	1350	80	65	
defima	634	1406	151	63	
Ottava	806	1406	157	63	
,	982	1406	13	63	
che	1024	1406	75	63	
ſempre	1120	1406	157	63	
cade	1303	1406	106	63	
nel	1421	1406	73	63	
dì	1504	1406	39	63	
primo	1563	1406	137	63	
di	1712	1406	49	63	
Luglio	628	1464	147	67	
.	788	1464	15	67	
Cala	1842	853	49	44	
i	1902	854	10	44	
Q	1840	1074	48	116	
Salvet	1838	1194	80	40	
Cardi	1838	1245	84	48	
conda	1848	1303	65	46	
con	1834	1369	49	37	
be	1886	1363	30	39	
ricchit	1836	1414	88	49	
Di	728	1576	63	61	
S.	806	1576	47	61	
Maria	870	1576	141	61	
della	1024	1576	103	61	
Sanità	1146	1576	142	61	
,	1301	1576	14	61	
e	1352	1576	17	61	
di	1383	1576	43	61	
S.	1432	1576	49	61	
Antonio	1500	1576	169	61	
di	1076	1636	41	49	
Padova	1136	1636	163	50	
.	1314	1637	11	49	
vede	1838	1468	49	55	
u	1903	1479	16	49	
un	1842	1539	19	33	
ame	1877	1543	43	37	
Statua	1844	1582	60	55	
etre	1832	1640	44	53	
que	1892	1652	23	49	
un	1844	1697	11	55	
Serpe	1871	1701	47	59	
molti	1832	1752	49	49	
A	1902	1761	6	44	
10	1831	1815	21	41	
,	1854	1819	2	38	
tutto	1867	1822	50	48	
in	1832	1868	22	44	
Cam	1869	1873	29	46	
b	1843	1922	3	42	
.	1861	1925	3	42	
Cont	1884	1930	34	49	
Q	632	1745	121	126	
Uefta	757	1746	125	54	
.	882	1746	15	54	
Chiefa	899	1746	140	54	
con	1056	1746	79	54	
le	1154	1746	37	54	
anneſſe	1221	1746	155	54	
Abitazioni	1399	1746	232	54	
cra	1662	1746	62	54	
Oſpizio	771	1808	166	59	
de	954	1802	49	62	
'	1008	1802	11	62	
Veſcovi	1037	1802	171	62	
Orientali	1231	1802	206	62	
,	1451	1802	13	62	
e	1492	1802	20	62	
fì	1530	1802	34	62	
vencil	1606	1802	133	62	
ta	639	1859	34	61	
per	690	1859	70	61	
queſt	782	1859	116	60	
'	889	1858	17	61	
effetto	926	1858	141	61	
alla	1086	1858	76	60	
Congregazione	1176	1857	342	60	
di	1533	1856	40	61	
