content	x	y	w	h	
L	1814	183	5	65	
1-3	1768	266	115	68	
BOOST	3092	773	71	207	
BOOST	3089	2043	74	202	
PREPARATION	3087	1781	72	455	
TWR	564	411	106	95	
JETT	731	413	154	96	
(	952	416	26	94	
2	990	416	26	94	
)	1037	417	26	94	
-	1123	418	26	94	
AUTO	1206	419	154	95	
(	1427	421	26	94	
down	1463	422	157	95	
)	1636	424	26	94	
(	1731	425	26	94	
guarded	1767	425	286	97	
)	2073	429	26	94	
LV	544	502	86	81	
GUID	672	504	171	83	
-	904	508	22	79	
IU	991	509	57	80	
LV	547	582	86	96	
STAGE	686	584	197	97	
-	947	587	26	95	
off	1027	588	121	96	
(	1168	590	26	95	
down	1205	590	158	97	
)	1379	592	26	95	
(	1427	593	26	95	
guarded	1462	593	295	98	
)	1763	597	26	95	
XLUNAR	552	680	247	76	
-	860	684	20	73	
INJECT	945	685	246	76	
MN	547	752	76	104	
REL	683	754	114	104	
-	861	757	29	103	
off	943	758	131	105	
(	1079	759	29	103	
down	1107	760	158	104	
)	1287	762	29	103	
(	1339	763	29	103	
guarded	1383	763	280	107	
)	1683	767	29	103	
MSN	543	846	116	92	
TMR	734	848	103	91	
HR	893	849	82	92	
,	991	850	25	91	
MIN	1054	851	129	91	
,	1212	852	25	91	
SEC	1291	853	116	91	
-	1469	854	25	91	
off	1546	855	129	91	
(	1727	856	25	91	
center	1758	856	243	93	
)	2030	859	25	91	
C	548	940	23	79	
/	596	940	23	79	
W	628	941	23	79	
NORM	719	941	150	80	
-	940	943	23	79	
BOOST	1023	943	212	80	
C	548	1029	21	75	
/	601	1029	21	75	
W	631	1029	21	75	
CSM	715	1030	117	75	
-	897	1031	21	75	
CSM	984	1031	107	75	
C	554	1114	22	77	
/	600	1114	22	77	
W	632	1114	22	77	
PWR	722	1114	121	77	
-	896	1114	22	77	
1	990	1114	22	77	
C	549	1192	25	89	
/	594	1193	25	89	
W	630	1193	25	89	
LAMP	714	1193	175	91	
TEST	943	1195	158	90	
-	1161	1197	25	89	
off	1236	1197	127	90	
(	1422	1199	25	89	
center	1452	1199	249	91	
)	1719	1201	25	89	
MSN	531	1284	134	73	
TMR	728	1287	112	73	
-	902	1289	19	71	
START	985	1290	196	73	
RCS	544	1370	120	78	
IND	727	1372	109	78	
sel	895	1374	120	78	
-	1072	1376	21	77	
SM	1153	1377	70	78	
D	1290	1379	21	77	
CAB	543	1452	117	85	
FANS	719	1455	159	85	
-	942	1458	23	83	
OFF	1021	1459	117	84	
CRYO	549	1544	150	77	
PRESS	761	1547	204	77	
IND	1027	1550	106	76	
-	1197	1552	20	75	
SRG	1285	1553	106	76	
/	1417	1554	20	75	
3	1463	1555	20	75	
CRYO	539	1628	160	81	
QTY	763	1631	112	80	
IND	943	1633	111	80	
-	1112	1635	22	79	
2	1200	1637	22	79	
H2	531	1716	93	83	
HTRS	671	1717	156	84	
(	904	1718	23	83	
2	944	1719	23	83	
)	978	1719	23	83	
-	1072	1719	23	83	
AUTO	1151	1720	156	84	
02	531	1808	93	72	
HTRS	664	1809	165	72	
1	902	1811	19	71	
&	938	1811	19	71	
2	982	1811	19	71	
-	1070	1812	19	71	
AUTO	1149	1813	152	72	
02	533	1892	90	82	
HTR	665	1893	126	82	
3	854	1895	22	81	
-	936	1895	22	81	
OFF	1024	1896	114	82	
H2	529	1979	100	77	
FANS	669	1980	167	78	
1	900	1981	22	77	
&	931	1981	22	77	
2	986	1982	22	77	
-	1072	1982	22	77	
OFF	1142	1982	120	78	
H2	529	2068	93	74	
FAN	674	2069	115	74	
3	857	2071	20	73	
-	939	2071	20	73	
ON	1013	2072	80	73	
ECS	543	2152	112	80	
IND	723	2154	111	79	
sel	887	2155	123	80	
-	1068	2157	22	79	
PRIM	1140	2157	160	81	
ECS	539	2240	124	80	
RAD	715	2241	113	80	
FLOW	891	2242	153	80	
AUTO	1099	2243	158	80	
CONT	1327	2244	160	80	
-	1544	2246	23	79	
AUTO	1631	2246	149	80	
ECS	539	2313	118	89	
RAD	711	2319	118	90	
tb	895	2327	60	87	
-	1026	2332	21	86	
gray	1107	2334	161	91	
ECS	537	2408	118	94	
RAD	707	2410	130	93	
FLOW	889	2411	152	94	
PWR	1105	2413	118	93	
CONT	1283	2414	156	94	
-	1501	2416	26	93	
