content	x	y	w	h	
Scraping	155	259	188	53	
a	354	259	22	53	
cemetery	387	259	188	53	
symbolically	585	259	262	53	
replicates	857	259	200	53	
the	1069	259	61	53	
act	1141	259	62	53	
of	156	318	47	53	
gardening	203	318	211	53	
at	424	318	43	53	
the	476	318	63	53	
heart	548	318	111	53	
of	669	318	40	53	
rural	719	318	109	53	
life	830	318	64	53	
.	892	318	12	53	
memory	153	567	145	43	
serves	307	566	108	43	
,	417	566	7	43	
he	433	566	39	43	
brought	481	565	137	43	
us	627	565	37	42	
there	673	564	91	43	
without	773	564	139	42	
saying	921	563	111	42	
in	1041	562	31	43	
advance	1083	562	141	42	
that	1233	561	69	42	
it	1313	560	23	43	
was	151	617	67	43	
a	230	617	17	43	
bare	256	617	76	43	
-	337	617	10	43	
earth	352	617	91	43	
cemetery	455	617	164	43	
-	621	617	27	43	
perhaps	653	617	140	43	
he	805	617	39	43	
hoped	856	617	106	43	
to	972	617	33	43	
surprise	1019	617	142	43	
us	1174	617	38	43	
.	1215	617	3	43	
When	1230	617	106	43	
we	151	666	48	44	
got	211	666	53	44	
there	273	666	92	44	
,	368	666	5	44	
his	385	666	51	44	
first	447	666	71	44	
words	528	666	107	44	
were	645	666	84	44	
an	742	666	41	44	
involuntary	794	666	202	44	
,	994	666	9	44	
“	1016	666	8	44	
Oh	1036	666	45	44	
no	1094	666	38	44	
!	1145	666	7	44	
Since	1174	666	95	44	
the	1280	666	55	44	
cemetery	154	716	161	46	
is	324	716	25	46	
slightly	359	716	128	46	
higher	494	716	112	46	
than	613	716	79	46	
an	701	716	40	46	
adjacent	750	716	147	46	
parking	905	716	135	46	
area	1048	716	73	46	
,	1123	716	5	46	
all	1138	716	39	46	
we	1185	716	48	46	
could	1243	716	93	46	
see	154	765	52	45	
from	214	765	83	45	
the	303	765	54	45	
car	367	765	51	45	
was	425	765	64	45	
a	499	765	17	45	
grassy	523	765	107	45	
area	639	765	72	45	
at	718	765	31	45	
the	755	765	54	45	
front	818	765	88	45	
.	903	765	8	45	
He	920	765	47	45	
must	976	765	85	45	
have	1069	765	77	45	
feared	1155	765	106	45	
that	1268	765	69	45	
the	152	817	55	43	
cemetery	218	817	164	43	
had	390	817	62	43	
been	462	817	83	43	
reworked	556	817	164	43	
with	729	817	80	43	
grass	819	817	89	43	
since	919	817	89	43	
he	1018	817	39	43	
last	1068	817	62	43	
visited	1139	817	118	43	
.	1261	817	3	43	
But	1276	817	61	43	
as	153	866	34	45	
we	197	866	48	45	
got	257	866	53	45	
out	321	866	55	45	
of	388	866	35	45	
the	429	866	55	45	
car	496	866	55	45	
,	551	866	6	45	
the	565	866	55	45	
big	631	866	53	45	
picture	693	866	125	45	
opened	831	866	125	45	
into	968	866	66	45	
view	1048	866	70	45	
.	1132	866	12	45	
Other	1146	866	101	45	
than	1256	866	80	45	
this	152	915	66	45	
grassy	229	915	111	45	
area	350	915	73	45	
at	434	915	31	45	
the	475	915	54	45	
front	541	915	87	45	
edge	639	915	77	45	
and	729	915	61	45	
another	802	915	136	45	
at	950	915	31	45	
the	990	915	55	45	
side	1057	915	68	45	
margin	1138	915	124	45	
,	1264	915	5	45	
the	1280	915	55	45	
cemetery	154	964	160	47	
was	321	964	66	47	
entirely	397	964	134	47	
bare	538	964	76	47	
-	623	964	8	47	
earth	633	964	86	47	
.	723	964	8	47	
One	740	964	68	47	
enclosed	818	964	150	47	
family	977	964	110	47	
