content	x	y	w	h	
Tempus	744	234	295	98	
Matutinum	1046	233	393	97	
.	1464	231	29	99	
Non	693	321	98	78	
,	817	323	21	77	
Sole	861	324	99	78	
pudet	990	326	126	79	
Surgente	1135	329	198	80	
,	1347	333	21	77	
jacere	1399	334	123	79	
?	1535	336	21	77	
mit	1463	642	17	89	
IL	1508	1077	9	13	
OPU	2311	1370	55	99	
KLAN	1032	1541	81	25	
XLIII	999	1722	155	43	
.	1151	1722	12	43	
PAnde	454	1762	163	77	
fores	642	1765	111	76	
,	755	1766	20	75	
valvas	791	1767	144	76	
reſera	957	1768	113	77	
.	1067	1770	20	75	
Sol	1145	1771	73	75	
advenit	1236	1772	159	77	
hofpes	1415	1774	149	77	
,	1569	1776	20	75	
Te	607	1833	66	74	
pudeat	691	1834	157	75	
plumis	862	1836	150	75	
,	1019	1838	20	73	
Sole	1054	1839	94	74	
vidente	1175	1840	158	75	
,	1337	1842	20	73	
tegi	1386	1843	81	73	
.	1463	1843	20	73	
Ille	513	1898	61	79	
quiete	602	1898	143	79	
caret	769	1898	104	79	
,	876	1898	23	79	
totoque	909	1898	191	79	
laborat	1121	1898	160	79	
in	1297	1898	29	79	
orbe	1354	1898	106	79	
:	1468	1898	23	79	
Segnitiem	610	1971	202	71	
exemplo	860	1967	185	72	
dedocet	1067	1965	180	71	
ergo	1272	1988	93	56	
fuo	1391	1976	64	53	
.	1463	1978	12	51	
Jungito	515	2031	174	79	
,	701	2033	21	77	
Mopſe	729	2034	163	78	
,	896	2035	21	77	
boves	934	2036	127	78	
,	1076	2037	21	77	
pecus	1105	2037	133	78	
educ	1264	2039	99	78	
,	1372	2040	21	77	
Tityre	1417	2040	138	79	
,	1563	2042	21	77	
caulis	1600	2042	116	78	
,	1723	2044	21	77	
Incudem	612	2094	176	73	
ftrepitu	846	2097	150	72	
tunde	1031	2098	126	73	
fonante	1175	2100	167	72	
,	1353	2102	19	71	
faber	1391	2102	109	72	
.	1504	2103	19	71	
Vos	508	2158	94	68	
etiam	632	2160	90	68	
docti	769	2162	120	69	
jam	913	2165	47	67	
cudite	1019	2166	132	69	
carmina	1176	2169	167	69	
vates	1370	2172	106	68	
:	1487	2174	18	67	
Ingeniis	608	2229	176	73	
Phoebi	800	2230	165	72	
lumina	973	2230	160	73	
prima	1156	2231	129	72	
favent	1302	2232	145	72	
,	1447	2232	20	72	
Clarius	513	2288	155	61	
illuſtrat	688	2291	163	61	
mentem	859	2293	172	61	
lux	1075	2296	67	60	
illa	1174	2297	53	60	
Senatus	1253	2298	171	61	
.	1424	2301	16	59	
Omnibus	612	2346	221	79	
eſt	851	2356	57	72	
felix	929	2359	80	72	
,	1032	2363	17	70	
quæ	1072	2364	76	72	
bene	1176	2364	110	54	
coepta	1310	2380	135	58	
,	1457	2381	16	57	
dies	1492	2368	80	56	
.	1573	2369	14	55	
196019BACAXXOL	959	2768	484	28	
**	1553	2768	28	28	
