content	x	y	w	h	
LESSON	799	416	213	71	
M	1058	418	20	69	
.	1107	418	20	69	
LESSON	1864	421	211	78	
IV	2127	422	44	78	
28	510	504	34	62	
.	553	504	17	62	
What	601	504	121	63	
represents	752	505	208	63	
the	997	507	53	62	
relative	1080	507	151	63	
Length	1275	508	124	63	
of	1440	509	45	62	
33	1566	510	45	62	
.	1618	510	17	62	
What	1653	511	120	62	
are	1786	511	70	63	
pulsations	1868	512	218	63	
of	2097	513	35	62	
the	2148	514	61	62	
mind	2215	514	111	62	
,	2330	515	17	62	
produce	2353	515	163	63	
mes	465	573	77	39	
by	1508	566	43	58	
music	1566	566	123	59	
,	1692	567	16	58	
called	1727	567	111	59	
?	1857	568	16	58	
Characters	501	624	221	59	
called	742	625	118	59	
Notes	881	626	126	59	
.	1007	627	16	58	
Beats	1564	622	110	60	
.	1676	623	17	59	
29	504	704	43	58	
.	546	704	16	58	
How	599	704	76	59	
many	706	705	120	58	
kinds	846	706	114	58	
of	988	707	43	58	
notes	1051	707	101	58	
in	1173	708	33	58	
general	1236	708	149	59	
use	1398	709	67	58	
,	1467	709	16	58	
34	1567	686	43	59	
.	1616	687	17	58	
What	1654	688	121	59	
is	1794	690	32	58	
a	1846	691	17	58	
strong	1896	692	117	60	
beat	2033	694	90	59	
called	2133	696	112	60	
?	2265	698	17	58	
and	458	759	58	59	
what	541	760	99	58	
are	662	761	66	58	
their	741	761	88	59	
names	855	762	125	58	
?	994	763	16	58	
Accented	1560	751	184	49	
beat	1769	752	89	49	
.	1858	753	13	48	
Six	503	820	57	58	
.	563	820	16	58	
The	643	820	74	59	
whole	734	821	127	59	
note	879	822	84	58	
,	970	822	16	58	
the	995	823	66	58	
half	1068	823	88	58	
note	1176	824	82	58	
,	1259	824	16	58	
the	1282	824	66	59	
quar	1365	825	106	58	
35	1566	814	43	59	
.	1615	815	17	58	
What	1651	816	123	59	
is	1793	818	32	58	
a	1845	819	17	58	
weak	1888	820	102	59	
beat	2000	822	93	59	
called	2108	823	115	60	
!	2240	826	17	58	
er	464	880	36	51	
note	516	881	84	50	
,	607	881	14	50	
the	637	881	64	51	
eighth	724	882	123	51	
note	875	883	84	50	
,	959	883	14	50	
the	989	884	64	50	
sixteenth	1070	884	185	51	
note	1283	885	84	51	
,	1367	886	14	50	
and	1400	886	71	50	
Unaccented	1560	879	240	47	
beat	1822	881	91	46	
.	1911	881	13	46	
be	459	932	49	54	
thirty	529	933	112	53	
-	652	934	15	53	
second	667	934	135	53	
note	821	935	82	53	
.	911	935	15	53	
36	1562	951	43	47	
.	1611	952	14	46	
What	1645	953	123	47	
is	1791	955	26	46	
a	1841	956	14	46	
measure	1875	957	175	49	
•	827	1024	14	51	
NOTES	880	1024	147	52	
.	1030	1025	14	51	
A	1565	1002	17	62	
measure	1615	1002	176	63	
is	1806	1003	34	63	
a	1855	1004	17	62	
group	1897	1004	124	63	
of	2045	1005	34	62	
two	2108	1005	80	63	
or	2200	1006	45	62	
more	2258	1006	105	63	
beats	2389	1007	100	62	
Whole	478	1092	143	58	
Half	674	1093	108	58	
Quarter	837	1094	165	59	
8th	1060	1095	58	58	
.	1126	1095	16	58	
16th	1203	1096	79	58	
.	1291	1096	16	58	
32d	1367	1097	66	58	
.	1438	1097	16	58	
37	1560	1081	46	50	
.	1609	1081	14	50	
What	1648	1082	126	50	
represents	1785	1082	205	51	
a	2012	1084	14	50	
measure	2050	1084	171	51	
note	496	1154	87	51	
,	583	1154	14	51	
note	683	1155	80	51	
note	865	1156	87	51	
,	952	1156	14	51	
note	1047	1157	87	51	
.	1134	1157	14	51	
note	1198	1158	85	51	
,	1285	1158	14	51	
note	1354	1159	80	51	
.	1441	1159	14	51	
The	1565	1134	79	55	
space	1664	1135	106	55	
between	1783	1135	167	56	
two	1976	1136	78	56	
perpendicular	2077	1137	289	57	
lines	2389	1139	84	55	
,	2476	1139	15	55	
38	1563	1202	43	58	
.	1611	1202	16	58	
What	1648	1203	123	58	
are	1788	1203	66	59	
the	1872	1204	58	58	
perpendicular	1953	1204	284	60	
lines	2262	1206	91	59	
called	2374	1207	103	58	
!	2497	1208	16	58	
Bars	1558	1263	95	46	
,	1653	1264	13	46	
30	501	1348	40	54	
.	546	1348	15	54	
What	583	1348	123	55	
characters	750	1349	209	55	
are	1001	1351	62	54	
used	1104	1351	86	55	
to	1242	1352	20	54	
indicate	1317	1353	156	54	
39	1564	1330	43	58	
.	1613	1330	16	58	
What	1652	1331	120	58	
does	1787	1331	83	59	
a	1896	1332	16	58	
broad	1936	1332	121	59	
bar	2078	1333	66	58	
usually	2163	1334	150	58	
denote	2337	1335	120	58	
?	2474	1335	16	58	
The	1564	1382	79	62	
end	1664	1383	61	62	
of	1758	1383	35	62	
a	1820	1384	17	62	
musical	1855	1384	173	63	
phrase	2039	1385	138	63	
,	2180	1386	17	62	
or	2209	1386	46	62	
the	2275	1386	61	63	
end	2357	1387	71	62	
of	2448	1387	46	62	
Rests	495	1412	110	58	
.	607	1412	16	58	
31	497	1487	53	70	
.	549	1487	20	70	
Horo	602	1487	84	71	
many	697	1488	132	70	
rests	838	1489	98	70	
in	958	1489	26	70	
general	1009	1490	155	71	
use	1179	1491	61	70	
!	1252	1491	20	70	
40	1556	1506	54	58	
.	1609	1507	17	58	
What	1651	1508	121	59	
does	1786	1509	84	60	
the	1890	1511	59	58	
double	1971	1512	130	60	
bar	2118	1514	67	59	
usually	2205	1516	147	60	
denote	2370	1518	124	60	
?	2509	1520	17	58	
Six	493	1558	60	47	
.	565	1558	13	47	
The	1568	1567	73	50	
end	1656	1569	72	50	
of	1753	1570	39	50	
a	1821	1572	15	50	
composition	1860	1573	238	54	
.	2106	1577	15	50	
32	501	1636	42	58	
.	549	1636	16	58	
As	599	1636	52	58	
to	671	1637	20	58	
duration	717	1637	172	59	
,	903	1638	16	58	
rests	931	1638	94	59	
correspond	1045	1639	220	59	
to	1287	1640	33	58	
what	1341	1641	105	58	
?	1451	1641	16	58	
|	1481	1642	16	58	
Broad	2142	1639	76	52	
Double	2440	1641	95	52	
To	509	1700	42	58	
notes	579	1700	100	59	
of	697	1701	43	58	
the	764	1701	66	58	
same	845	1702	105	58	
denomination	967	1702	271	60	
.	1247	1704	16	58	
Measure	1613	1682	125	63	
.	1735	1683	17	62	
Bar	1830	1684	45	62	
.	1880	1684	17	62	
Measure	1945	1684	124	63	
.	2069	1685	17	62	
Bar	2158	1686	44	62	
.	2207	1686	17	62	
Measure	2275	1686	125	63	
.	2396	1687	17	62	
Bar	2473	1687	53	63	
RESTS	886	1798	127	50	
.	1018	1799	14	49	
Whole	473	1861	143	65	
Half	671	1863	99	64	
Quarter	827	1864	166	65	
8th	1056	1865	54	64	
.	1119	1865	18	64	
16th	1199	1866	80	64	
.	1282	1866	18	64	
32d	1358	1867	64	64	
.	1431	1867	18	64	
rest	504	1929	71	46	
.	575	1929	13	46	
rest	675	1930	72	46	
.	754	1930	13	46	
rest	1045	1933	72	40	
rest	1196	1934	73	40	
.	1273	1934	11	40	
rest	1352	1935	73	40	
.	1429	1935	11	40	
41	1555	1921	51	47	
.	1607	1922	14	46	
What	1641	1923	129	47	
is	1790	1924	34	47	
the	1848	1925	59	46	
name	1926	1926	121	47	
of	2069	1927	44	47	
a	2143	1929	14	46	
measure	2186	1929	176	48	
having	2394	1931	132	48	
two	1505	1976	63	49	
beats	1586	1976	101	50	
?	1704	1977	14	49	
Double	1562	2039	147	51	
measure	1725	2040	173	51	
(	1297	1412	20	59	
silence	1323	1414	123	65	
?	1456	1422	20	59	
line	1503	1425	79	62	
of	1604	1431	35	60	
words	1670	1435	125	65	
.	1791	1442	20	59	
rest	677	1928	73	27	
rest	867	1936	68	27	
.	940	1938	7	24	
