content	x	y	w	h	
BUS	121	1420	118	69	
LOSS	289	1420	160	69	
DURING	503	1420	233	69	
BURN	797	1420	147	69	
5/10/71	1210	1418	295	79	
G	338	1633	16	64	
&	388	1634	16	64	
N	427	1635	16	64	
SCS	1301	1634	118	62	
MNA	120	1754	121	77	
:	261	1754	22	77	
GMBL	334	1754	157	77	
DR	555	1754	57	77	
-	682	1754	22	77	
2	768	1754	22	77	
ANY	1215	1758	118	69	
BUS	1383	1759	118	69	
:	1523	1759	20	69	
MNB	119	1884	122	71	
:	264	1884	20	71	
GO	339	1884	65	71	
SHUTDOWN	1215	1880	317	67	
AC1	134	2008	119	77	
:	262	2008	22	77	
TVC	344	2008	110	77	
SERVO	519	2008	185	77	
-	769	2008	22	77	
AC2	843	2008	119	77	
RECONFIGURE	1219	2008	446	62	
AC2	125	2138	121	70	
:	268	2138	20	70	
GO	338	2138	78	70	
IGNITE	1229	2138	232	65	
