content	x	y	w	h	
.COM	-5	163	30	40	
)	27	160	14	41	
2141	-7	969	37	28	
Hunti	-6	114	45	42	
DI	411	99	142	47	
ROMA	577	103	314	51	
.	895	111	11	43	
43	1176	123	45	44	
S.Euſtachio	126	134	202	53	
.	346	139	13	49	
Queſta	392	140	118	51	
Chieſa	536	143	116	51	
fu	676	146	26	49	
confecrata	735	147	187	53	
da	938	151	44	50	
Celeſtino	1008	153	158	52	
ul	1187	157	71	50	
.	1256	158	13	49	
&	79	183	13	51	
è	126	185	13	51	
tit.di	158	185	99	53	
Card	268	188	86	53	
.	360	190	13	51	
Vi	379	191	36	51	
e	433	192	13	51	
del	468	193	57	52	
Sangue	535	194	133	54	
,	667	197	13	51	
Veſtimenti	700	198	193	55	
,	890	203	13	51	
Corona	923	203	135	54	
di	1071	207	37	51	
ſpine	1120	208	87	53	
,	1213	210	13	51	
e	1244	211	13	51	
boli	1	250	31	45	
legno	76	230	97	55	
della	184	233	93	54	
Croce	298	235	111	55	
di	425	238	38	53	
Chriſto	476	239	130	55	
e	631	242	14	53	
della	654	243	84	54	
Croce	757	245	111	55	
di	884	247	38	54	
s	928	248	14	53	
.	944	249	14	53	
Andrea	965	249	122	55	
,	1095	252	14	53	
de	1110	252	38	54	
icar	1164	253	96	56	
boni	71	277	85	53	
ſopra	174	279	92	53	
i	287	282	13	51	
quali	317	282	91	53	
fu	428	285	27	51	
arroſtito	473	286	157	53	
s.Lorenzo	647	289	172	54	
,	833	293	13	51	
delle	858	293	89	53	
reliquie	959	295	137	54	
di	1118	299	37	51	
s	1166	300	13	51	
Eu	1196	300	61	53	
Cempi	-3	306	35	46	
re	3	352	14	37	
,	12	351	11	38	
&	20	351	11	38	
ſtachio	70	325	122	57	
,	212	328	14	54	
di	249	329	39	54	
Teopiſta	296	330	149	57	
ſua	466	333	53	55	
moglie	523	335	137	56	
,	663	337	14	54	
e	690	338	14	54	
Teopiſto	727	339	147	56	
,	888	342	14	54	
&	921	343	14	54	
Agapito	967	344	138	56	
ſuoi	1126	347	75	55	
fi	1221	349	33	54	
gliuoli	71	372	120	55	
,	196	375	14	53	
e	217	375	14	53	
di	249	376	38	53	
molti	296	377	108	54	
altri	418	379	77	54	
Santi	510	380	88	55	
,	606	382	14	53	
&	639	383	14	53	
è	693	384	14	53	
Collegiata	727	384	184	57	
&	936	388	14	53	
e	984	389	14	53	
tit.di	1012	390	96	54	
Card	1119	392	83	54	
.	1211	393	14	53	
Fone	-6	444	34	35	
S.Luigi	112	421	131	50	
nel	257	424	60	48	
Rione	327	425	116	49	
di	459	427	34	48	
s	509	428	12	48	
.	524	428	12	48	
Euſtachio	555	428	166	51	
.	745	431	12	48	
Quella	784	432	120	50	
Chieſa	922	434	113	50	
fu	1053	436	26	48	
edificata	1098	437	152	50	
dalla	69	461	82	54	
Nation	165	464	127	54	
Franceſe	313	467	152	54	
co	483	470	37	53	
belliſs	536	471	114	54	
fabrica	665	474	122	54	
,	797	477	13	52	
vi	827	477	38	53	
ſono	877	478	74	54	
molti	958	480	111	54	
priuilegi	1082	483	159	55	
,	1242	486	13	52	
&	69	510	14	53	
indulg	121	511	106	54	
.	235	512	14	53	
plenaria	272	513	142	55	
ogni	434	515	83	54	
giorno	542	516	121	55	
nella	676	518	91	54	
Cappella	793	520	158	55	
del	967	522	59	54	
Saluatore	1046	523	171	55	
à	1235	525	14	53	
lei	63	554	48	56	
contigua	130	555	157	57	
,	293	558	14	55	
che	320	558	61	56	
e	399	559	14	55	
di	432	560	39	55	
grandiſsima	482	560	217	58	
deuotione	718	564	187	57	
;	909	567	14	55	
queſta	942	567	108	57	
Chieſa	1067	569	118	57	
del	1199	571	53	55	
moli	1	584	35	40	
Saluatore	64	601	163	55	
fu	246	605	28	52	
cóſecrata	297	606	167	55	
da	483	609	37	53	
s	537	610	13	52	
.	553	611	13	52	
Gregorio	563	611	172	55	
,	744	614	13	52	
è	760	615	13	52	
vi	790	615	38	53	
poſe	838	616	78	53	
ſotto	930	618	81	53	
l'Altar	1038	620	111	54	
mol	1160	623	90	53	
te	58	650	39	54	
reliquie	108	651	134	55	
,	253	653	14	53	
cioè	276	653	77	54	
del	366	654	59	54	
Legno	433	655	114	55	
della	566	657	76	54	
Croce	672	659	111	54	
Velo	801	660	75	54	
della	900	662	79	54	
Madonna	994	663	167	55	
,	1161	665	14	53	
reli	1178	666	72	53	
quie	63	695	73	53	
de	159	697	37	52	
ss	214	698	27	52	
.	245	699	13	52	
Pietro	265	699	100	53	
e	388	701	13	52	
