content	x	y	w	h	
216	569	214	105	102	
21	787	211	171	103	
VPOESISHT	942	209	862	95	
DCC	1256	387	89	17	
G20	1250	407	66	23	
CO	1257	431	41	22	
819	1309	431	32	22	
CO	542	803	31	15	
cram	437	838	66	35	
cun	538	840	71	33	
m	541	896	39	19	
Toutes	715	542	175	74	
ces	905	539	77	76	
ſtructures	1009	538	247	74	
enormes	1280	535	218	74	
,	1504	533	23	76	
Sont	635	631	116	71	
de	759	628	55	73	
ma	831	626	94	72	
feule	944	623	123	70	
inuention	1090	618	239	67	
;	1345	611	22	73	
l	644	704	22	72	
'	666	704	22	72	
en	689	704	41	72	
ay	763	701	68	72	
dirigé	853	699	151	70	
l	1023	696	22	72	
'	1038	696	22	72	
action	1057	694	148	70	
;	1220	692	22	72	
Cum	439	776	78	75	
co	542	774	44	75	
l	641	772	24	76	
'	663	771	24	76	
en	684	770	58	77	
ay	766	768	71	77	
fait	849	767	99	75	
les	964	765	68	75	
plans	1054	762	142	74	
es	1229	760	30	75	
les	1303	758	67	74	
formes	1399	756	165	72	
.	1564	752	24	76	
saxofonis	1613	749	281	73	
cta	443	860	43	71	
com	499	859	52	71	
-	571	857	21	72	
L	644	856	21	72	
'	673	856	21	72	
Ouurier	694	854	211	71	
m	929	851	21	72	
'	972	851	21	72	
auoit	992	850	132	70	
auprés	1145	848	179	69	
de	1342	845	55	71	
foy	1433	843	73	71	
,	1513	842	21	72	
st13	1825	837	142	70	
ponens	434	923	134	83	
.	561	921	25	85	
Il	641	920	48	85	
fe	701	920	48	84	
conſeilloit	770	919	263	82	
auec	1054	916	108	84	
moy	1173	914	109	84	
,	1292	913	25	85	
36	1466	911	48	85	
h	1585	910	25	85	
Et	648	1002	62	82	
me	716	1002	91	80	
refignoit	815	1000	228	77	
fa	1069	996	48	80	
puiſſance	1143	994	228	76	
.	1372	989	25	81	
up	1435	986	62	82	
2	1528	986	25	81	
slo	1709	982	157	79	
Il	633	1072	50	88	
prenoit	696	1072	182	86	
de	909	1069	66	88	
ma	973	1068	99	88	
main	1090	1066	130	88	
la	1254	1066	50	87	
regle	1335	1065	119	86	
65	1492	1063	34	88	
le	1573	1062	34	88	
niueau	1629	1061	183	87	
;	1829	1059	26	88	
02	1911	1058	50	88	
Et	627	1150	65	86	
dans	715	1149	135	85	
le	871	1147	34	87	
Ciel	935	1146	102	86	
encor	1062	1145	125	85	
ſe	1223	1143	34	87	
garde	1278	1142	153	86	
là	1448	1140	50	87	
Balance	1529	1139	215	85	
,	1755	1137	26	87	
Dont	632	1232	148	83	
alors	794	1231	141	82	
ie	956	1229	32	84	
peſay	1009	1228	151	83	
la	1177	1226	47	84	
terre	1245	1226	126	82	
auecque	1400	1224	207	82	
l	1622	1221	25	84	
'	1648	1221	25	84	
eau	1663	1221	86	83	
.	1759	1220	25	84	
ponens	434	936	133	36	
.	562	934	10	38	
Doro	1291	1371	77	25	
Costa	1284	1393	85	26	
Coco	1283	1424	79	23	
orbe	436	1617	82	43	
ter	532	1616	64	43	
rarum	437	1665	111	41	
.	546	1663	11	42	
Ludens	446	1543	134	83	
in	578	1541	32	85	
Ces	688	1540	98	84	
Ouurages	809	1539	252	82	
hauts	1078	1536	147	83	
65	1254	1534	48	84	
ſuperbes	1332	1533	220	82	
sot	1566	1530	98	84	
si	1681	1529	63	84	
mo2	1801	1527	86	85	
*	562	1623	22	76	
.	585	1623	22	76	
A	655	1623	22	76	
mes	698	1623	108	75	
mains	821	1622	172	75	
ne	1015	1621	55	76	
furent	1095	1620	161	76	
qu	1280	1619	43	76	
'	1332	1619	22	76	
un	1361	1619	56	76	
jeu	1460	1618	65	76	
d	1583	1618	12	76	
usch	1732	1617	118	75	
24	1883	1617	98	75	
Prox	441	1695	82	88	
.	520	1694	27	89	
8	547	1693	27	89	
.	574	1693	27	89	
Le	644	1692	67	89	
Ciel	743	1691	108	88	
m	862	1690	27	89	
'	907	1689	27	89	
a	934	1689	27	89	
laßée	981	1689	149	87	
aufli	1152	1687	127	87	
peu	1301	1685	90	88	
,	1411	1684	27	89	
slzen	1485	1683	145	88	
sms	1701	1681	140	88	
Que	649	1768	104	82	
la	768	1768	44	82	
pointe	837	1768	164	81	
des	1026	1768	81	80	
moindres	1109	1768	253	81	
herbes	1379	1767	163	81	
.	1545	1766	23	81	
stun	1670	1766	155	82	
19	1884	1766	74	81	
Ie	638	1849	39	73	
ne	707	1850	53	72	
fis	807	1850	52	72	
pas	880	1850	92	72	
plus	992	1851	104	72	
aiſément	1123	1850	236	73	
tron	1418	1851	112	72	
g	1624	1850	11	72	
antrou	1733	1850	137	73	
L	643	1921	20	72	
'	672	1921	20	72	
argille	700	1922	149	72	
que	882	1923	93	72	
le	1012	1923	27	72	
Firmament	1086	1924	298	73	
;	1395	1926	20	72	
na	1480	1926	54	73	
90	1591	1928	80	71	
zigos	1662	1927	209	74	
2544	1890	1929	91	73	
Ny	636	1999	99	90	
le	749	1999	34	89	
bas	805	1999	90	88	
que	917	1997	90	89	
le	1028	1996	34	89	
haut	1093	1995	130	88	
Eſtage	1255	1994	171	87	
.	1419	1992	27	89	
itou	1471	1991	117	88	
918101	1628	1989	131	88	
o	1815	1987	27	89	
IE	1885	1987	67	88	
Mon	631	2080	128	80	
eſſence	786	2079	162	79	
épancha	983	2077	204	79	
les	1213	2074	71	80	
Corps	1305	2073	154	80	
les	1557	2070	70	81	
Esprits	1669	2069	181	79	
;	1859	2067	24	81	
la	1893	2066	55	81	
Comme	635	2153	196	87	
d	844	2150	27	89	
'	880	2150	27	89	
un	896	2150	67	88	
flux	1002	2148	96	89	
égal	1134	2147	104	88	
la	1260	2146	50	88	
Mer	1341	2144	127	88	
pouſſe	1490	2143	162	87	
au	1683	2141	50	88	
riuage	1764	2140	176	87	
,	1951	2138	27	89	
La	629	2227	92	99	
nacre	734	2225	147	99	
e	908	2223	30	100	
le	979	2223	58	99	
grauier	1050	2222	185	98	
l	1272	2219	30	100	
'	1292	2219	30	100	
efcume	1314	2219	196	98	
e	1514	2217	30	100	
l	1585	2216	30	100	
'	1595	2216	30	100	
ambre	1627	2215	154	99	
gris	1809	2213	103	99	
.	1908	2212	30	100	
Le	1954	2305	86	74	
