content	x	y	w	h	
30	777	606	68	42	
WATTS,	983	694	143	38	
1707.	1148	693	88	32	
ROCHESTER.	1977	585	425	54	
C.	2468	586	55	46	
M.	2561	587	75	45	
'And	1551	660	73	24	
they	1635	660	72	31	
sing	1717	659	69	31	
the	1796	660	52	24	
song	1859	666	70	24	
of	1939	657	33	26	
Moses	1984	660	97	23	
the	2092	659	52	24	
servant	2155	659	120	22	
of	2286	656	32	25	
God,	2329	657	74	30	
and	2416	657	60	24	
the	2488	658	51	23	
song	2550	664	77	24	
of	2637	656	32	25	
the	2680	658	52	23	
Lamb	2743	656	95	29	
15	2997	657	32	25	
:	3039	665	7	17	
3.	3061	658	24	24	
Key	1282	694	76	38	
of	1380	691	38	31	
A	1437	694	29	28	
Major.	1488	691	124	41	
join	1255	900	68	41	
our	1338	910	58	23	
cheerful	1437	900	142	33	
songs	1629	911	103	29	
1.	926	912	26	23	
2.	925	1139	29	25	
3.	926	1361	26	30	
Come,let	977	901	165	40	
us	1182	911	40	23	
the	1160	1131	57	33	
Lamb	1232	1130	104	33	
that	1347	1130	74	34	
died,"	1430	1130	111	41	
they	1552	1130	82	41	
cry,	1648	1141	68	29	
The	978	1350	70	33	
whole	1063	1350	106	33	
cre-a	1183	1359	86	24	
-	1290	1367	13	6	
tion	1316	1351	68	32	
joins	1418	1350	88	40	
in	1526	1351	32	32	
one	1613	1360	62	23	
4.	914	1578	30	30	
Let	970	1569	60	34	
all	1069	1567	42	35	
that	1145	1568	75	34	
dwell	1234	1567	94	35	
a	1343	1579	20	23	
-	1384	1586	12	7	
bove	1418	1567	84	36	
the	1518	1570	57	33	
sky,	1603	1569	79	43	
With	1818	900	93	35	
an	1929	910	42	22	
-	1987	917	13	6	
gels	2014	901	71	38	
round	2100	899	106	33	
the	2221	900	58	33	
throne;	2293	900	129	39	
Ten	2439	899	72	34	
thousand	2523	900	171	34	
thousand	2704	900	172	33	
are	2891	910	55	22	
their	2961	900	88	33	
tongues,	3073	901	160	39	
But	3272	899	68	36	
all	3354	901	43	33	
their	3425	901	88	34	
joys	3526	902	80	41	
are	3621	913	56	24	
one.	3729	914	74	25	
'Wor-thy	1788	1128	173	42	
the	1989	1131	56	33	
Lamb,"	2075	1130	145	41	
our	2233	1140	59	23	
lips	2322	1131	62	40	
re	2429	1141	33	23	
-	2478	1148	11	8	
ply,	2504	1132	70	40	
Heav'n	2587	1131	135	34	
and	2738	1132	67	33	
earth	2835	1133	93	32	
shall	2942	1132	86	33	
pass	3039	1142	81	31	
a-way:	3130	1143	127	30	
He	3378	1134	51	33	
was	3440	1144	74	24	
slain	3530	1135	87	34	
for	3632	1137	53	33	
us."	3742	1138	82	34	
To	1832	1350	49	34	
bless	1898	1351	88	33	
the	2001	1352	58	33	
sa	2108	1362	39	23	
-	2162	1368	13	6	
cred	2189	1353	74	33	
name	2320	1363	97	23	
Of	2445	1353	51	34	
Him	2507	1354	78	33	
who	2595	1354	78	33	
sits	2690	1355	63	33	
.up	2764	1365	49	29	
-	2835	1372	14	5	
on	2870	1364	43	23	
the	2956	1355	59	34	
throne,	3057	1355	134	41	
And	3249	1356	78	33	
to	3356	1359	36	32	
a	3456	1368	21	24	
-	3498	1375	14	7	
dore	3527	1358	78	35	
the	3619	1360	60	34	
Lamb.	3708	1360	120	37	
And	1807	1572	75	33	
air	1897	1573	47	32	
and	1978	1573	67	33	
earth	2073	1574	92	34	
and	2182	1575	67	33	
seas,	2292	1585	89	29	
Conspire	2398	1575	169	41	
to	2582	1579	35	31	
lift	2660	1576	52	34	
Thy	2750	1576	79	42	
glor-ies	2886	1577	135	41	
high.	3055	1578	96	40	
And	3241	1579	76	33	
speak	3328	1581	107	39	
Thy	3447	1580	80	43	
end-less	3539	1583	148	34	
praise.	3703	1585	122	40	
The	839	1617	69	35	
words	924	1618	107	34	
of	1046	1621	34	31	
this	1094	1617	67	36	
hymn	1176	1621	103	39	
were	1296	1631	85	22	
first	1395	1618	73	35	
published	1482	1621	174	40	
in	1672	1623	32	32	
the	1719	1623	58	33	
author's	1792	1623	151	34	
Hymn	1996	1624	113	40	
Book	2127	1624	97	34	
and	2241	1626	65	33	
Spiritual	2323	1624	157	43	
Songs,"	2496	1627	153	41	
1707,	2666	1638	90	30	
the	2772	1629	58	34	
original	2846	1629	140	40	
title	3002	1630	72	33	
being	3090	1630	101	40	
Chr$t	3244	1630	124	50	
Jesus,	3384	1632	117	42	
the	3517	1635	59	33	
Lamb	3592	1634	109	35	
of	3716	1637	36	33	
God,	3768	1636	93	44	
Worshiped	759	1657	197	43	
by	972	1660	44	40	
all	1030	1661	42	32	
Creation."	1087	1660	198	34	
Changes	1329	1661	164	40	
in	1510	1662	32	32	
some	1558	1672	91	24	
of	1665	1664	34	32	
the	1713	1664	58	33	
verses	1785	1674	115	24	
have	1916	1666	87	33	
been	2027	1666	80	32	
made.	2126	1667	105	33	
See	2279	1667	62	34	
remarks	2358	1670	151	32	
in	2526	1669	32	32	
reference	2575	1670	169	33	
to	2758	1673	35	31	
Dr.	2812	1669	60	34	
Watts	2892	1670	118	35	
on	3026	1680	43	24	
first	3085	1671	76	33	
page	3175	1682	87	30	
of	3277	1674	36	31	
this	3327	1674	71	33	
publication.	3413	1675	217	40	
This	3677	1677	86	35	
tune	3779	1682	83	32	
appears	756	1710	135	29	
in	913	1701	32	32	
many	962	1711	101	29	
of	1078	1702	34	32	
the	1132	1702	57	33	
earliear	1205	1702	133	32	
publications	1358	1702	219	39	
of	1592	1704	35	32	
American	1650	1704	172	34	
composers.	1837	1715	199	30	
See	2082	1707	62	33	
William	2163	1708	147	34	
Billings,	2336	1710	151	40	
Andrew	2512	1710	147	33	
Law,	2674	1710	96	41	
Lowell	2788	1710	125	34	
Mason,	2931	1711	137	41	
Missouri	3123	1712	161	34	
Harmony,"	3309	1714	219	43	
1837,	3548	1719	91	40	
and	3656	1720	67	33	
earlier	3746	1721	116	34	
editions;	755	1741	158	41	
Southern	973	1741	163	34	
Harmony,"	1153	1742	209	41	
1835	1383	1744	73	39	
and	1474	1743	65	33	
1849	1557	1745	76	40	
;	1643	1755	8	30	
Christian	1713	1744	175	35	
Harmony,"	1907	1747	211	41	
1866,	2140	1750	89	39	
and	2247	1751	66	32	
later	2329	1750	83	34	
books.	2428	1751	120	33	
ISAAC	831	1875	108	30	
WATTS,	961	1875	140	37	
1707.	1127	1875	88	32	
Key	1256	1876	80	39	
of	1355	1875	42	31	
C	1413	1875	28	33	
Major.	1461	1875	125	42	
PROSPECT.	1982	1818	370	52	
L.	2423	1823	56	47	
M.	2515	1824	76	45	
Blessed	1841	1888	119	26	
is	1971	1889	26	25	
the	2007	1891	52	24	
dead	2068	1890	76	26	
who	2154	1892	69	24	
die	2233	1892	50	25	
in	2297	1892	34	25	
the	2341	1894	54	24	
14	2641	1896	31	24	
:	2683	1905	6	16	
13.	2705	1897	41	24	
1.	915	2122	26	22	
Why	967	2111	94	40	
should	1075	2112	118	33	
we	1207	2122	51	23	
start	1273	2115	83	32	
and	1364	2113	65	33	
fear	1444	2114	69	32	
to	1534	2117	34	31	
die?	1583	2115	65	33	
What	1664	2115	108	36	
tim'rous	1782	2118	150	34	
worms	1947	2130	123	24	
we	2080	2132	52	23	
mortals	2148	2124	136	33	
are!	2299	2127	67	31	
Death	2386	2125	112	34	
is	2516	2127	28	32	
the	2559	2127	59	33	
gate	2641	2131	78	37	
to	2733	2131	35	32	
end-less	2812	2130	148	34	
joy,	2980	2131	74	41	
And	3072	2132	78	34	
yet	3165	2136	59	38	
we	3260	2144	53	23	
dread	3356	2135	102	34	
to	3472	2138	36	32	
en	3551	2147	42	23	
-	3610	2155	15	7	
ter	3640	2140	51	32	
there.	3719	2139	107	35	
—ø-	2109	2259	108	27	
9	2247	2260	30	28	
9—ø—	2447	2262	169	29	
2.	905	2340	29	23	
The	960	2330	71	33	
pains,	1065	2331	107	39	
the	1181	2331	57	34	
groans,	1250	2341	134	32	
the	1393	2334	58	33	
dying	1461	2335	102	40	
strife,	1574	2336	104	40	
Eight	1692	2336	118	42	
our	1821	2348	60	24	
approaching	1895	2342	223	41	
souls	2130	2345	92	33	
away;	2234	2356	109	32	
And	2357	2346	77	34	
we	2444	2359	51	23	
shrink	2511	2350	121	33	
backa	2642	2351	117	34	
-	2775	2371	14	6	
gain	2805	2354	79	39	
to	2900	2356	34	32	
life,	2993	2354	70	42	
Fond	3082	2356	89	34	
of	3186	2358	36	32	
our	3268	2368	61	24	
pris-on	3370	2360	132	40	
and	3531	2362	68	33	
our	3628	2371	61	24	
clay.	3710	2363	86	42	
3.	903	2577	27	30	
O	955	2566	35	34	
if	1094	2568	24	32	
my	1154	2577	56	30	
Lord	1226	2567	85	35	
would	1320	2570	110	34	
come	1438	2581	90	24	
and	1539	2574	65	33	
meet,	1616	2578	97	37	
My	1728	2575	60	41	
soul	1799	2577	73	33	
would	1885	2580	109	33	
stretch	2007	2583	122	32	
her	2141	2583	60	34	
vvings	2212	2585	111	42	
in	2337	2586	33	33	
haste,	2382	2587	111	42	
Fly	2506	2588	63	42	
fearless	2579	2591	143	34	
through	2733	2593	149	41	
death's	2897	2595	132	34	
iron	3042	2597	71	33	
gate,	3125	2601	91	38	
Nor	3230	2599	70	35	
feel	3310	2601	64	33	
the	3387	2601	59	34	
terrors	3456	2605	124	32	
as	3593	2614	39	23	
she	3643	2604	61	34	
påssed.	3715	2603	133	43	
sus	1067	2789	59	24	
can	1147	2791	60	23	
make	1225	2783	97	33	
a	1336	2794	21	22	
dy-ing	1418	2784	116	42	
bed	1572	2786	61	34	
Feel	1650	2787	73	35	
soft	1743	2791	68	34	
as	1831	2802	39	23	
down-y	1892	2793	138	42	
pil-lows:are,	2085	2796	222	43	
While	2321	2800	113	36	
on	2449	2812	43	23	
His	2517	2803	63	33	
breast	2596	2803	114	35	
I	2733	2805	11	33	
lean	2810	2806	74	34	
my	2902	2818	58	31	
head,	2974	2809	102	42	
And	3090	2811	77	34	
breathe	3179	2812	138	36	
my	3329	2825	59	31	
life	3400	2816	57	33	
out	3470	2819	60	33	
sweetly	3544	2819	143	41	
there.	3701	2820	105	33	
The	816	2828	71	34	
original	903	2831	137	39	
title	1055	2832	73	33	
to	1144	2835	34	31	
this	1192	2834	69	33	
hymn	1283	2834	104	40	
was	1403	2846	72	23	
Christ's	1527	2836	152	37	
Presence	1704	2840	160	36	
Makes	1881	2844	120	35	
Death	2025	2846	112	35	
Easy."	2162	2848	132	41	
Full	2340	2851	72	35	
sketch	2429	2854	118	34	
of	2565	2856	35	32	
Dr.	2616	2855	61	34	
Watts	2698	2856	118	36	
is	2832	2859	29	33	
given	2878	2860	101	39	
in	2997	2861	33	33	
other	3047	2863	97	34	
parts	3158	2867	94	37	
of	3269	2867	36	32	
this	3326	2867	71	33	
book.	3413	2868	103	35	
He	3565	2869	51	34	
was	3628	2880	73	24	
born	3717	2871	82	34	
in	3815	2871	32	33	
1674	739	2869	76	39	
and	836	2871	65	32	
died	926	2871	73	33	
in	1022	2872	32	32	
1748.	1080	2875	87	37	
He	1214	2874	50	33	
was	1279	2885	71	23	
one	1366	2886	61	24	
of	1443	2879	35	32	
the	1498	2879	58	33	
greatest	1580	2884	145	35	
ministers	1748	2884	167	34	
in	1938	2886	33	33	
the	1993	2887	58	34	
world.	2066	2890	115	32	
Prospect	2265	2892	156	41	
is	2472	2896	29	32	
one	2525	2905	63	24	
of	2603	2898	36	31	
the	2660	2898	58	33	
older	2741	2899	90	33	
melodies.	2847	2901	170	35	
It	3066	2904	28	34	
appears	3115	2915	143	31	
in	3282	2907	33	33	
Southern	3369	2908	171	35	
Harmony,"	3564	2911	216	42	
by	3803	2912	45	41	
Walker,	736	2907	150	44	
page	903	2921	85	34	
92,	1003	2922	52	34	
in	1072	2913	32	35	
1835	1120	2920	76	35	
;	1208	2925	8	30	
also	1242	2915	70	34	
Christian	1363	2916	175	36	
Harmony,"	1555	2919	213	44	
and	1784	2925	66	33	
many	1866	2935	103	32	
other	1984	2929	95	33	
books,	2093	2930	122	42	
but	2231	2931	61	36	
none	2307	2943	86	24	
give	2408	2936	79	39	
the	2501	2936	59	34	
author	2575	2938	122	34	
of	2712	2940	35	32	
the	2760	2940	59	34	
music.	2837	2943	117	33	
Copyright,	3041	2955	180	32	
1909,	3234	2957	70	30	
by	3317	2957	42	33	
J.	3369	2960	26	30	
S.	3407	2961	30	23	
James.	3448	2961	114	30	
