content	x	y	w	h	
5-2	1329	90	133	64	
ALARM	483	226	165	42	
CODES	698	228	182	42	
P	229	281	9	37	
-	263	282	9	37	
PROCEDURAL	295	282	236	41	
PH	589	282	39	41	
-	652	282	11	41	
PROCEDURAL	683	282	241	41	
/	926	282	11	41	
HARDWARE	940	282	199	41	
|	228	323	11	39	
-	264	323	11	39	
INPUT	295	323	114	40	
DATA	419	324	95	40	
PI	593	324	29	39	
-	654	324	11	39	
PROCEDURAL	683	324	238	39	
INPUT	939	324	119	39	
DATA	1068	324	95	39	
H-	223	365	56	38	
HARDWARE	289	365	205	39	
REDO	867	447	87	40	
MK	978	448	65	39	
SEQUENCE	1061	448	197	40	
CONT	874	509	115	35	
00111	186	445	98	35	
P	318	446	9	35	
NO	371	446	58	35	
COMPLETE	458	446	185	36	
MK	659	447	58	35	
SET	737	447	55	36	
00112	187	501	99	44	
P	316	503	12	43	
MK	371	503	55	44	
,	434	504	12	43	
MK	454	504	56	44	
REJ	528	505	62	43	
,	588	506	12	43	
ROD	607	506	75	43	
(	703	507	12	43	
BKUP	713	507	92	44	
)	808	508	12	43	
NOT	369	546	95	37	
LEGAL	473	547	121	37	
AT	610	547	44	37	
PRSNT	672	548	115	37	
T	803	548	10	37	
00113	184	605	96	37	
PH	303	606	32	36	
UNEXPECTED	373	607	229	37	
MK	625	609	60	36	
RUPT	700	609	88	37	
(	377	646	10	37	
NO	384	646	54	37	
CHNL	471	647	105	37	
16	593	648	19	37	
INBITS	643	648	115	38	
)	759	649	10	37	
IF	871	604	29	39	
P52	918	605	61	39	
ROD	988	606	78	39	
BKUP	1086	607	89	40	
MK	1189	608	57	39	
,	1252	609	11	39	
RESEL	869	646	99	38	
P52	987	647	53	37	
W	1059	647	10	37	
/	1093	648	10	37	
CRSR	1133	648	70	37	
,	1214	648	10	37	
SPRL	868	687	77	43	
MK	958	687	56	43	
OPTN	1033	687	96	43	
;	1141	687	12	43	
CHNL	1165	687	104	43	
FAIL	867	728	73	40	
IF	960	728	29	40	
RECURRING	1007	728	201	40	
ALM	865	769	65	41	
-	962	769	11	41	
NOTIFY	993	769	144	41	
MSFN	1148	769	97	41	
CONT	873	833	115	33	
00115	183	826	96	36	
P	315	827	9	35	
ILLEGAL	375	828	147	36	
MK	537	830	57	35	
REJ	613	830	65	36	
(	373	868	10	37	
NO	380	868	61	38	
SUCH	465	869	95	38	
MKS	574	870	84	38	
PRSNT	674	871	117	38	
)	788	872	10	37	
00206	184	927	88	36	
P	316	928	9	35	
DON'T	371	928	125	36	
ZERO	510	929	88	36	
ICDU'S	626	930	121	36	
IF	767	931	32	35	
GMBL	365	969	109	36	
LOK	493	970	75	35	
+	587	970	9	35	
CRS	623	971	60	35	
ALN	702	971	64	35	
00207	185	1027	95	39	
PH	300	1028	36	39	
ISS	375	1028	45	39	
TURN	440	1028	85	40	
-	542	1029	11	39	
ON	559	1029	57	39	
REQST	640	1029	112	40	
NOT	367	1070	93	37	
PRSNT	472	1071	117	37	
90	604	1072	26	36	
SEC	654	1072	62	37	
00210	180	1252	96	36	
PH	298	1252	32	36	
IMU	369	1252	67	36	
NOT	455	1252	92	36	
ON	555	1252	60	36	
(	374	1292	11	39	
TERM	383	1292	76	39	
VIA	491	1292	56	39	
F	574	1292	11	39	
V37	606	1292	56	39	
)	670	1292	11	39	
CRS	877	928	56	41	
ALN	953	929	62	41	
TO	1045	931	35	40	
0,0,0	1109	932	98	41	
THEN	874	972	82	41	
V40N	984	971	82	41	
20E	1088	971	53	41	
PNL	870	1030	70	38	
11	958	1031	36	37	
CB	1017	1032	32	37	
(	1075	1032	10	37	
IMU	1081	1032	69	38	
OPR	1169	1033	70	38	
)	1243	1034	24	37	
OPEN	863	1072	94	37	
;	976	1072	10	37	
WT	998	1072	61	37	
3	1074	1072	10	37	
MIN	1103	1072	64	37	
,	1184	1072	10	37	
THEN	868	1112	86	38	
RECLOSE	982	1113	158	38	
;	1141	1114	10	37	
IF	1171	1114	27	37	
ALM	871	1152	61	36	
RECURS	960	1152	131	36	
BUT	1108	1152	67	36	
NO	862	1192	61	41	
ISS	950	1192	47	41	
WARN	1008	1192	110	41	
,	1132	1192	11	41	
CONT	1153	1192	115	41	
PNL	866	1249	78	43	
11	959	1250	30	42	
CB	1012	1250	39	42	
(	1072	1251	11	42	
IMU	1085	1251	66	42	
OPR	1168	1251	72	43	
)	1244	1252	24	42	
OPEN	865	1294	94	37	
;	976	1294	10	37	
WT	994	1294	61	37	
3	1070	1294	10	37	
MIN	1097	1294	65	37	
,	1184	1294	10	37	
THEN	865	1334	92	45	
RECLOSE	980	1334	161	45	
;	1139	1334	12	45	
V36E	1173	1334	85	45	
NOTIFY	859	1374	149	38	
MSFN	1026	1375	91	38	
,	1135	1376	10	37	
CONT	1159	1376	112	38	
IF	861	1432	39	41	
P51,41	914	1432	116	40	
20	1055	1431	21	41	
,	1088	1430	11	41	
REDUCE	1105	1430	140	40	
S	866	1472	11	41	
/	888	1472	11	41	
C	913	1473	11	41	
DRIFT	945	1473	97	42	
&	1064	1474	11	41	
CONT	1099	1475	110	41	
;	1207	1476	11	41	
IF	867	1514	29	39	
P52	913	1514	56	39	
,	972	1514	11	39	
P57	993	1514	56	39	
,	1056	1514	11	39	
CONT	1076	1514	116	39	
(	868	1552	11	39	
RECRD	876	1552	105	39	
N93	1005	1552	72	39	
)	1080	1552	11	39	
