content	x	y	w	h	
MISSION	2656	554	487	125	
RULES	3239	561	316	122	
NO	3635	564	131	122	
-	3805	566	34	120	
GO'S	3842	566	270	124	
EPS	673	1530	186	110	
ED	667	2503	124	99	
PDI	4544	1132	207	120	
+	4830	1132	35	120	
6	4878	1132	35	120	
+	4963	1132	35	120	
10	5029	1132	109	120	
TO	4743	1277	129	117	
HI	4594	1419	148	113	
GATE	4807	1419	273	113	
ABORT	4679	1558	328	111	
ABORT	4669	1698	341	121	
ABORT	4683	1837	331	122	
ABORT	4663	1977	339	120	
ABORT	4679	2116	339	120	
ABORT	4679	2259	336	109	
ABORT	4672	2396	333	115	
ABORT	4667	2536	344	119	
GO	4655	2680	136	108	
ABORT	4666	2815	336	108	
GO	4667	2955	116	106	
ABORT	4667	3095	344	112	
ABORT	4664	3230	335	112	
ABORT	4666	3369	332	115	
ABORT	4664	3513	343	111	
ABORT	4655	3646	346	115	
ABORT	4653	3784	345	117	
ABORT	4659	3923	335	114	
ABORT	4652	4063	344	119	
ABORT	4648	4209	353	111	
ABORT	4653	4344	350	118	
ABORT	4649	4483	346	117	
ABORT	4652	4622	345	115	
PDI	3705	1130	213	119	
PRE	1910	1257	195	127	
PDI	2188	1260	212	127	
TO	3917	1277	127	113	
PDI	3716	1416	202	116	
+	4007	1416	34	116	
6	4044	1416	33	116	
+	4137	1416	34	116	
10	4206	1416	86	116	
ONE	1092	1532	191	115	
DC	1362	1536	122	113	
BUS	1572	1537	191	115	
ABORT	3838	1556	344	110	
ONE	1099	1665	195	127	
DESCENT	1376	1667	474	129	
FEEDER	1927	1672	380	127	
SHORTED	2408	1676	454	128	
ABORT	3855	1698	317	110	
ONE	1075	1804	196	127	
ASCENT	1373	1807	395	127	
FEEDER	1852	1811	398	127	
SHORTED	2334	1814	471	129	
ABORT	3841	1835	340	111	
4	1103	1948	32	118	
DESCENT	1224	1949	472	122	
BATS	1787	1955	237	119	
ABORT	3843	1972	346	124	
ONE	1091	2086	194	117	
ASCENT	1366	2090	407	118	
BAT	1840	2095	210	116	
ABORT	3842	2114	327	116	
BOTH	1092	2226	245	124	
INVERTERS	1452	2230	576	127	
ABORT	3842	2254	343	110	
AC	1084	2367	121	113	
BUS	1286	2370	189	115	
A	1581	2375	29	111	
AND	1719	2377	171	113	
B	1996	2382	29	111	
ABORT	3834	2397	345	108	
ONE	1092	2500	179	118	
PYRO	1359	2503	265	119	
SYSTEM	1716	2507	374	120	
ARMED	2183	2512	342	120	
ABORT	3843	2531	349	113	
ONE	1089	2645	179	118	
PYRO	1371	2649	250	118	
SYSTEM	1709	2650	378	120	
DEARMED	2195	2656	465	120	
ABORT	3832	2676	346	108	
ONE	1092	2784	179	118	
STAGING	1359	2787	451	120	
RELAY	1913	2792	324	119	
CLOSED	2328	2796	389	120	
ABORT	3835	2815	338	107	
ONE	1072	2922	196	118	
PYRO	1356	2924	265	118	
SYSTEM	1712	2927	375	119	
BATTERY	2190	2931	470	120	
ABORT	3838	2950	330	114	
CABIN	1089	3052	310	126	
PRESS	1501	3061	311	127	
<	1920	3071	32	120	
4.4	1961	3073	204	124	
4.0	2277	3080	165	122	
ABORT	3836	3088	352	113	
SUIT	1094	3192	243	127	
LEAK	1425	3196	248	125	
ABORT	3835	3223	345	117	
BOTH	1087	3338	236	120	
SUIT	1428	3343	265	118	
FANS	1781	3346	259	121	
ABORT	3828	3365	346	111	
BOTH	1082	3474	248	127	
DEMAND	1430	3480	391	127	
REGS	1916	3485	255	127	
ABORT	3840	3509	333	111	
BOTH	1077	3608	256	130	
H20	1418	3613	177	129	
SEPS	1703	3616	262	131	
ABORT	3840	3644	326	110	
BOTH	1080	3751	248	126	
DESCENT	1428	3755	466	129	
02	1972	3762	135	123	
TANKS	2190	3764	328	125	
ABORT	3842	3784	326	112	
BOTH	1077	3885	257	128	
ASC	1423	3888	196	129	
02	1684	3890	140	129	
TANKS	1908	3892	328	130	
ABORT	3828	3921	348	113	
PRI	1080	4030	191	125	
OR	1354	4034	111	123	
SEC	1567	4035	173	126	
COOLANT	1840	4039	472	129	
LOOP	2389	4044	248	127	
ABORT	3831	4058	338	120	
PRI	1079	4170	190	124	
OR	1350	4174	108	123	
SEC	1558	4177	187	122	
H20	1823	4179	191	124	
FEED	2112	4183	262	125	
ABORT	3825	4196	339	120	
BOTH	1063	4312	259	122	
DESCENT	1420	4316	464	123	
H20	1960	4321	186	122	
TANKS	2256	4325	319	121	
ABORT	3821	4344	344	109	
BOTH	1075	4449	243	122	
ASC	1414	4453	188	121	
