content	x	y	w	h	
193	2011	341	139	123	
GEZANGE	759	339	801	123	
N	1591	341	35	122	
.	1664	341	35	122	
XVI	1136	522	224	103	
.	1334	520	32	104	
Op	837	700	117	125	
dat	1012	697	110	125	
hy	1159	695	95	125	
ons	1304	693	128	124	
hielp	1464	690	174	124	
.	1658	687	38	126	
yde	5	655	73	100	
,	81	659	32	96	
toon	12	1053	68	87	
!	87	1052	26	87	
den	-6	1144	69	91	
!	61	1150	32	87	
bhoon	-2	1253	108	97	
,	99	1281	41	79	
den	7	1370	47	63	
.	58	1369	19	64	
heen	5	1565	72	76	
,	78	1563	23	77	
aarde	25	1661	97	84	
,	124	1660	25	85	
nen	4	1754	74	83	
heen	78	1755	80	83	
,	161	1758	26	82	
zoet	29	2055	76	84	
,	97	2058	28	81	
Te	-12	2246	43	91	
bloed	33	2241	91	86	
,	121	2231	36	94	
heet	-3	2549	98	93	
,	83	2563	37	83	
bloemen	21	2644	140	83	
dige	-10	2749	99	85	
lwens	86	2733	93	83	
ce	-8	2856	59	79	
roemen	51	2845	120	63	
aradys	9	3035	120	104	
,	115	3048	37	95	
cen	-1	3158	78	70	
,	66	3145	36	79	
de	23	3230	49	102	
prys	79	3226	77	97	
!	142	3218	40	105	
En	464	3122	81	89	
,	577	3122	26	88	
in	613	3121	50	88	
zwaaren	686	3119	279	85	
ſtryd	1017	3114	139	87	
zynde	1188	3112	181	85	
,	1386	3109	26	88	
bad	1419	3108	102	87	
hyie	1553	3106	133	86	
ernſtiger	1713	3103	275	84	
.	2000	3099	26	88	
En	2078	3097	66	88	
zyn	375	3213	101	87	
zweet	522	3209	191	87	
wierd	733	3206	188	87	
gelyk	971	3203	146	86	
groote	1149	3200	187	86	
droppelen	1372	3197	284	84	
bloeds	1701	3192	182	85	
,	1890	3188	26	88	
die	1959	3187	89	87	
op	2093	3185	66	88	
.	2148	3184	26	88	
de	365	3292	85	92	
aarde	467	3290	193	91	
afliepen	690	3287	236	89	
.	947	3284	27	92	
Lukas	1007	3282	221	90	
XXII	1272	3277	175	91	
:	1450	3276	27	92	
44	1494	3275	68	91	
.	1571	3274	27	92	
24	1865	3339	90	118	
.	1963	3337	36	119	
Het	2040	3336	136	117	
XVL	1	3416	99	99	
OP	110	3405	49	102	
