content	x	y	w	h	
.	1122	514	12	40	
.	1139	513	12	40	
.	1163	513	12	40	
.	1184	512	12	40	
.	1204	512	12	40	
358	1228	511	59	40	
.	1121	558	12	38	
.	1140	557	12	38	
.	1164	556	12	38	
.	1183	555	12	38	
.	1206	554	12	38	
430	1222	552	62	38	
Murillo	298	501	144	41	
'	458	505	11	38	
s	473	506	11	38	
Lesson	518	507	126	40	
.	688	511	11	38	
Mutual	300	543	153	43	
Love	473	548	94	41	
.	600	550	12	40	
.	620	550	12	40	
.	641	552	12	40	
.	661	552	12	40	
.	686	553	12	40	
.	706	553	12	40	
My	301	587	67	41	
Home	401	588	118	42	
.	552	591	12	40	
.	576	591	12	40	
.	597	591	12	40	
.	617	591	12	40	
.	642	592	12	40	
.	662	593	12	40	
.	683	593	12	40	
.	707	593	12	40	
My	301	630	65	36	
Last	392	631	86	37	
Moments	499	633	177	37	
.	707	636	9	35	
.	729	636	9	35	
.	750	636	9	35	
.	771	636	9	35	
My	300	672	71	43	
Soul	390	672	84	44	
Is	497	673	32	43	
Full	551	673	77	43	
of	650	674	39	43	
Glory	708	674	103	43	
.	1139	647	8	26	
.	1162	645	8	26	
.	1183	644	8	26	
4	1225	640	8	26	
.	1128	690	10	30	
.	1149	688	10	30	
.	1170	686	10	30	
A2	1186	684	59	29	
.	1239	681	10	30	
Narrow	302	768	136	43	
Space	491	769	104	43	
.	639	770	12	43	
.	661	770	12	43	
.	683	770	12	43	
Nashville	299	805	184	45	
.	512	811	12	40	
.	544	811	12	40	
.	577	812	12	40	
.	618	813	12	40	
.	639	814	12	40	
.	659	814	12	40	
.	684	815	12	40	
Never	303	850	114	42	
Part	455	851	82	42	
.	576	851	11	42	
.	594	851	11	42	
.	617	851	11	42	
.	641	852	11	42	
.	662	852	11	42	
Never	303	892	114	42	
Turn	449	893	82	42	
Pack	556	893	95	42	
.	684	894	11	42	
.	705	894	11	42	
New	302	933	75	41	
Bethany	413	935	164	43	
.	600	939	12	40	
.	633	939	12	40	
.	665	941	12	40	
New	300	975	80	41	
Britain	416	976	132	43	
.	572	979	12	40	
.	597	979	12	40	
.	625	979	12	40	
.	658	981	12	40	
.	679	981	12	40	
New	301	1017	75	41	
Harmony	411	1019	179	44	
.	615	1023	12	40	
.	652	1025	12	40	
New	298	1059	76	41	
Hope	414	1060	95	42	
.	535	1063	12	40	
.	568	1063	12	40	
.	597	1063	12	40	
.	638	1065	12	40	
.	657	1065	12	40	
New	298	1106	76	32	
Hosanna	414	1107	162	34	
.	604	1110	8	31	
.	636	1112	8	31	
.	665	1112	8	31	
New	296	1146	77	38	
Hundred	411	1146	165	39	
New	297	1190	76	32	
Jerusalem	413	1191	173	34	
.	629	1195	8	31	
.	658	1196	8	31	
New	299	1228	74	40	
Jordan	417	1228	125	41	
.	572	1229	11	40	
.	605	1229	11	40	
.	638	1230	11	40	
.	683	1230	11	40	
.	703	1230	11	40	
New	299	1270	74	40	
Jordan	417	1270	125	41	
.	564	1271	11	40	
.	597	1271	11	40	
.	625	1271	11	40	
.	658	1272	11	40	
.	683	1272	11	40	
New	301	1312	73	42	
Lebanon	409	1312	163	43	
.	600	1313	11	42	
.	635	1314	11	42	
.	669	1314	11	42	
.	703	1314	11	42	
New	301	1354	73	42	
Prospects	415	1354	180	43	
.	622	1355	11	42	
.	655	1356	11	42	
New	296	1395	82	41	
Topia	414	1396	97	42	
.	541	1399	12	40	
.	570	1399	12	40	
.	599	1399	12	40	
.	636	1401	12	40	
.	660	1401	12	40	
.	681	1401	12	40	
Newburg	299	1438	176	39	
.	497	1442	10	35	
.	526	1443	10	35	
Newry	295	1484	131	35	
.	458	1487	10	34	
.	493	1487	10	34	
.	528	1487	10	34	
.	570	1488	10	34	
.	595	1488	10	34	
.	616	1488	10	34	
.	637	1489	10	34	
.	658	1490	10	34	
.	679	1490	10	34	
.	703	1490	10	34	
Ninety	303	1524	125	39	
-	439	1523	11	40	
third	450	1523	93	40	
Psalm	578	1522	94	40	
Ninety	298	1562	133	42	
-	438	1563	11	42	
fifth	451	1563	79	42	
Psalm	558	1563	99	43	
.	705	1564	11	42	
North	297	1604	109	40	
Salem	442	1605	100	40	
.	591	1605	11	40	
.	615	1605	11	40	
.	636	1606	11	40	
.	656	1606	11	40	
.	681	1606	11	40	
Northfield	296	1646	196	41	
.	517	1647	11	40	
.	545	1647	11	40	
.	578	1647	11	40	
.	615	1647	11	40	
.	636	1648	11	40	
Northport	301	1687	196	49	
.	516	1688	13	48	
.	546	1688	13	48	
.	580	1688	13	48	
.	614	1688	13	48	
Norwich	296	1729	159	44	
.	487	1734	12	40	
.	520	1734	12	40	
.	553	1735	12	40	
.	594	1736	12	40	
.	614	1736	12	40	
O	303	1824	12	43	
Come	352	1824	110	44	
Away	486	1825	111	43	
.	638	1826	12	43	
O	305	1866	11	40	
Sing	349	1866	86	40	
With	464	1867	91	40	
Me	587	1867	66	40	
.	682	1868	11	40	
.	698	1868	11	40	
Oak	299	1907	69	41	
Bower	408	1908	122	42	
.	570	1911	12	40	
.	595	1911	12	40	
.	615	1911	12	40	
.	636	1912	12	40	
.	656	1913	12	40	
.	681	1913	12	40	
.	701	1913	12	40	
Ocean	298	1954	113	35	
.	434	1957	10	34	
.	465	1957	10	34	
.	493	1957	10	34	
.	528	1957	10	34	
.	549	1958	10	34	
.	570	1958	10	34	
.	595	1958	10	34	
.	616	1958	10	34	
.	637	1960	10	34	
.	658	1960	10	34	
.	679	1960	10	34	
Ode	302	1990	72	42	
of	398	1990	39	42	
Life	461	1991	77	42	
'	552	1991	11	42	
s	565	1991	11	42	
Journey	609	1991	146	43	
Ode	297	2034	73	42	
on	396	2034	39	42	
Pious	467	2035	101	42	
Life	591	2035	78	43	
.	700	2036	11	42	
.	721	2036	11	42	
.	747	2036	11	42	
Ode	298	2076	73	39	
on	397	2076	36	39	
Science	464	2077	141	39	
Ogletree	300	2120	162	41	
.	490	2121	11	40	
.	523	2121	11	40	
.	556	2121	11	40	
.	593	2121	11	40	
.	617	2121	11	40	
.	638	2122	11	40	
.	658	2122	11	40	
.	679	2122	11	40	
.	703	2122	11	40	
Old	296	2162	66	38	
Fashion	396	2162	142	39	
Bible	575	2163	93	39	
Old	297	2202	61	39	
Hundred	388	2203	166	41	
.	592	2207	11	38	
.	615	2207	11	38	
Old	295	2244	61	42	
Ship	394	2244	74	43	
of	502	2245	38	42	
Zion	564	2245	78	42	
.	681	2246	11	42	
.	698	2246	11	42	
Olney	298	2286	107	43	
.	431	2290	12	40	
.	459	2291	12	40	
.	492	2292	12	40	
.	529	2293	12	40	
.	550	2294	12	40	
.	574	2294	12	40	
.	595	2295	12	40	
.	615	2295	12	40	
.	636	2297	12	40	
Ortonville	297	2327	196	42	
.	518	2334	11	36	
.	547	2334	11	36	
.	581	2335	11	36	
.	614	2336	11	36	
.	636	2338	11	36	
.	658	2338	11	36	
.	681	2339	11	36	
.	699	2339	11	36	
Oxford	297	2367	136	42	
.	464	2371	12	40	
.	496	2372	12	40	
.	533	2372	12	40	
.	570	2373	12	40	
.	595	2373	12	40	
.	615	2374	12	40	
.	636	2375	12	40	
Panting	301	2450	152	47	
for	490	2451	52	46	
Heaven	567	2451	144	47	
.	747	2452	13	46	
.	766	2452	13	46	
.	789	2452	13	46	
Paradise	303	2496	163	43	
Plains	507	2497	118	42	
.	660	2498	11	42	
.	682	2498	11	42	
.	698	2498	11	42	
Paris	298	2542	101	34	
.	427	2546	9	31	
Parting	306	2579	140	44	
Friends	485	2577	145	44	
.	661	2575	13	46	
.	680	2575	13	46	
.	698	2575	13	46	
Parting	307	2618	139	45	
Friends	483	2619	143	44	
.	661	2620	12	44	
.	683	2620	12	44	
.	696	2620	12	44	
Parting	301	2666	149	39	
Hand	478	2667	99	38	
Passing	302	2705	149	44	
Away	476	2706	105	43	
,	588	2706	12	43	
I	628	2706	12	43	
am	665	2707	39	43	
Passing	299	2750	149	41	
Away	474	2751	109	40	
.	617	2751	11	40	
.	638	2752	11	40	
.	662	2752	11	40	
.	683	2752	11	40	
Peaceful	306	2788	170	43	
Rest	512	2789	82	42	
.	638	2790	11	42	
.	659	2790	11	42	
.	681	2790	11	42	
Pennick	300	2831	147	41	
.	478	2834	11	38	
.	509	2835	11	38	
.	536	2835	11	38	
.	572	2835	11	38	
.	591	2835	11	38	
.	614	2836	11	38	
.	634	2837	11	38	
Petersborough	300	2873	277	42	
.	605	2874	11	41	
.	635	2875	11	41	
.	668	2875	11	41	
