content	x	y	w	h	
146	567	215	132	59	
GIORNATA	1109	208	797	74	
14014	2213	1195	84	17	
BioRA	604	1295	1406	412	
celebri	573	1858	219	92	
,	805	1859	26	91	
e	879	1859	26	91	
ben	928	1859	104	92	
intele	1073	1860	179	91	
Cappelle	1287	1861	269	92	
,	1587	1862	26	91	
che	1643	1862	105	91	
liano	1776	1862	142	92	
in	1960	1863	35	91	
Roma	2038	1863	206	92	
.	2250	1864	26	91	
Mirafi	2301	1864	221	92	
nel	571	1928	116	92	
ſuo	711	1929	90	92	
Altare	829	1930	194	93	
il	1057	1932	48	92	
detto	1127	1933	154	92	
Beato	1319	1935	164	92	
ſcolpito	1556	1937	231	93	
da	1825	1939	66	91	
Monsì	1920	1940	197	92	
le	2151	1942	50	91	
Gros	2224	1943	165	92	
.	2399	1944	25	91	
Il	2473	1945	48	91	
Bafforilievo	579	2012	386	78	
della	1000	2015	139	76	
Santiſſima	1185	2017	322	77	
Annunziata	1521	2019	364	78	
nell'altro	1909	2022	311	77	
è	2274	2025	20	75	
lavoro	2311	2025	198	76	
di	569	2090	83	91	
Filippo	673	2090	228	91	
Valle	937	2090	159	91	
,	1117	2090	26	91	
e	1200	2090	26	91	
gli	1253	2090	78	91	
Angeli	1355	2090	229	91	
ſono	1607	2090	127	91	
opere	1769	2119	176	68	
di	1977	2098	60	66	
Pietro	2055	2099	186	67	
Bracci	2279	2102	194	67	
.	2498	2105	17	65	
Vicino	586	2162	207	91	
alla	823	2165	114	90	
ſudetta	961	2166	220	91	
Cappella	1219	2169	258	91	
vedrete	1512	2172	249	91	
l	1788	2175	25	89	
'	1806	2175	25	89	
altra	1858	2175	145	91	
per	2038	2177	101	90	
nuova	2152	2178	193	91	
,	2355	2180	25	89	
e	2409	2181	25	89	
di	2461	2182	64	89	
fini	581	2244	109	95	
marmi	721	2244	229	95	
,	970	2244	27	95	
eretta	1017	2244	178	95	
a	1238	2244	27	95	
San	1293	2244	109	95	
Giuſeppe	1421	2244	302	95	
dal	1743	2244	96	95	
Signor	1873	2244	201	95	
Cardinal	2101	2244	266	95	
Giu	2369	2244	146	95	
teppe	577	2324	177	91	
Sacripante	805	2324	322	91	
.	1158	2324	26	91	
In	1224	2324	51	91	
effa	1313	2324	110	91	
il	1444	2324	51	91	
Quadro	1533	2324	210	91	
dell'Altare	1801	2324	369	91	
e	2198	2324	26	91	
uno	2264	2324	101	91	
de	2413	2324	84	91	
'	2492	2324	26	91	
laterali	577	2404	221	87	
fono	833	2404	132	87	
opere	1006	2404	168	87	
di	1205	2404	65	87	
Franefco	1293	2404	269	87	
Treviſani	1607	2404	310	87	
,	1931	2404	25	87	
e	1999	2404	25	87	
l'altro	2053	2404	188	87	
di	2301	2404	80	87	
Giu	2378	2404	133	87	
teppe	573	2480	177	91	
Chiari	781	2480	209	91	
;	998	2480	26	91	
La	1077	2480	69	91	
Cuppola	1177	2480	256	91	
della	1474	2480	143	91	
fudetta	1652	2480	217	91	
Cappella	1913	2480	265	91	
tu	2213	2480	48	91	
dipinta	2302	2480	211	91	
da	577	2562	75	83	
Luigi	685	2563	162	84	
Garzi	880	2564	185	84	
.	1086	2566	23	83	
Offervate	1151	2566	292	85	
ancora	1470	2568	199	84	
il	1708	2570	45	83	
nuovo	1785	2570	189	84	
,	2010	2572	23	83	
e	2085	2572	23	83	
ricco	2135	2573	152	84	
Depo	2327	2574	183	84	
fito	583	2642	92	87	
alzato	711	2642	196	87	
a	943	2642	25	87	
Gregorio	994	2642	288	87	
Xy	1320	2642	96	87	
.	1427	2642	25	87	
,	1471	2642	25	87	
unito	1539	2642	148	87	
a	1726	2642	25	87	
quello	1785	2642	185	87	
del	2001	2642	101	87	
Cardinal	2133	2642	270	87	
Lu	2415	2642	80	87	
.	2509	2642	25	87	
dovico	582	2721	214	86	
Ludoviſi	843	2721	268	86	
;	1135	2721	25	86	
le	1207	2721	48	86	
cui	1294	2721	85	86	
Statue	1420	2721	195	86	
,	1648	2721	25	86	
e	1718	2721	25	86	
şcolture	1760	2721	254	86	
