content	x	y	w	h	
 	244	96	890	29	
 	0	0	1716	361	
No.	478	309	70	34	
82.	569	311	67	33	
@Hap	779	304	112	49	
ober	910	304	93	40	
Jordan.	1020	304	173	47	
NON	631	374	95	32	
 	725	386	792	27	
 	545	393	69	6	
 	921	405	596	21	
 	771	377	3	83	
 	679	432	838	28	
 	708	376	3	87	
 	538	457	75	5	
 	525	546	989	27	
 	664	580	774	23	
 	714	611	800	23	
 	590	702	614	15	
 	663	722	73	4	
 	1400	729	99	23	
 	670	732	745	21	
 	538	745	940	24	
 	1436	757	63	27	
 	489	851	1022	25	
 	536	868	964	24	
 	788	889	722	19	
 	817	905	644	18	
 	471	919	504	12	
Sioa	492	381	170	32	
N	851	393	18	22	
Ta	1044	401	55	14	
]	1510	401	8	14	
(=	496	398	340	64	
SS	837	401	680	53	
pS	505	431	158	37	
SS	679	425	838	77	
Oh,	602	501	49	30	
way	676	510	57	24	
o	757	511	15	16	
-	792	518	8	4	
ver	819	511	46	16	
Jor-dan,	883	503	121	29	
View	1041	503	74	26	
the	1142	503	45	25	
land,	1200	503	72	30	
view	1286	503	54	25	
the	1339	503	73	26	
land,	1424	504	73	34	
Se	490	553	46	34	
—	607	535	31	19	
Tae	663	536	54	53	
=	750	536	31	35	
-<	830	536	32	44	
f	894	537	31	32	
t=	981	560	146	31	
eae	1156	561	79	21	
Be	1300	561	95	23	
2	1399	576	41	2	
Oe	489	572	408	49	
ee	900	584	438	46	
ee	1339	563	176	69	
v	613	620	16	22	
Vir	693	623	66	22	
Visa:	836	623	72	22	
|	978	624	3	22	
y	1074	633	16	30	
4	1154	624	19	47	
£	1218	624	16	39	
0	1299	627	17	21	
Yoel	1379	626	66	23	
pint	535	682	62	31	
steent)	658	685	3	22	
%	752	701	11	7	
N	1007	687	17	24	
NN	1110	688	154	31	
\	1335	698	16	23	
FINE,	1353	690	138	37	
iz	482	703	24	56	
=i	534	715	46	38	
—a	583	708	77	47	
ee	739	709	317	50	
Se	1061	689	337	71	
(ee	1412	737	78	24	
;	493	767	3	1	
SF	534	741	537	57	
Se	1072	761	364	31	
Way	538	793	69	34	
o	643	804	14	16	
-	688	810	9	4	
ver	726	805	45	17	
Jor	794	798	50	25	
-	863	813	8	4	
dan,	891	799	59	30	
Oh,	977	800	50	30	
view	1072	801	69	26	
the	1159	801	44	25	
heav’nly	1223	801	126	34	
land.	1375	803	72	26	
ao	557	837	31	22	
-p	635	839	32	22	
-0-	731	840	31	22	
 -o-	809	841	32	20	
-0--8-	905	842	111	15	
ee	1088	843	24	15	
Pg	1168	844	87	30	
e	1320	838	23	16	
-s-,	1391	846	60	22	
oz	487	860	45	31	
IE	564	860	15	16	
=	643	863	15	15	
|	817	865	2	11	
i	913	858	2	6	
fa	1095	867	15	15	
aaa	1175	860	79	23	
“A	1483	870	28	31	
aie	490	891	70	17	
Py	563	884	94	33	
ee	659	893	76	19	
ee	737	887	95	26	
|	1094	891	16	23	
res	1112	892	66	29	
em	1238	908	2	6	
eT	1398	893	94	36	
i	562	923	77	24	
earagned	641	919	177	31	
i	1234	940	2	13	
a	1414	902	97	33	
 	589	999	920	23	
 	910	861	502	231	
v	1411	1104	17	23	
I	550	1120	15	25	
want	575	1129	57	17	
to	635	1123	46	23	
go	689	1130	31	25	
to	731	1124	26	24	
heaven	766	1123	104	25	
when	878	1124	67	25	
I	945	1133	10	16	
die!	965	1125	74	25	
View	1046	1125	74	26	
theland,	1126	1125	120	32	
viewthe	1252	1127	117	26	
land;	1379	1128	74	30	
To	1461	1131	38	36	
 	602	1172	83	5	
 	505	1181	950	23	
 	493	1198	1002	22	
 	495	1215	772	17	
 	467	1228	1038	25	
 	696	1352	647	18	
 	464	1349	879	22	
 	503	1321	3	78	
 	513	1380	725	21	
 	462	1469	1018	26	
 	478	1485	1013	26	
 	1108	1466	5	76	
 	483	1502	1017	25	
 	489	1519	1012	23	
 	459	395	33	1150	
 	461	1536	712	17	
Niamey	482	1171	111	18	
Ses	689	1173	186	4	
ee	0	0	1725	2400	
a	880	1176	186	18	
On	1068	1177	48	17	
en	1119	1178	92	16	
ae	1216	1179	58	3	
sa	1276	1179	88	18	
er	1365	1181	46	3	
Se	1412	1182	87	20	
oat	482	1189	110	16	
=	807	1193	16	7	
i	1038	1195	12	30	
aleeona	1053	1204	74	22	
meas	1132	1196	66	24	
pe	1276	1197	2	14	
ao	1312	1205	38	18	
one	0	0	1725	2400	
ee	1411	1199	72	16	
|	1499	1184	8	63	
|	566	1206	21	14	
sues	806	1222	84	3	
f	1132	1212	2	14	
ppp	1275	1213	222	38	
t	584	1221	5	15	
1g	1037	1226	72	16	
i	1131	1235	15	7	
9	1194	1236	15	6	
f	1274	1237	2	6	
ne	1315	1239	32	7	
are	1365	1244	44	3	
a	1410	1239	16	11	
Peay	1067	1243	79	31	
ane	1194	1244	15	8	
Raa	1273	1245	17	23	
ay	1346	1248	16	21	
ca	1410	1248	16	22	
VY	1065	1260	82	32	
|	1193	1255	3	19	
Ge	1454	1295	38	24	
ee	505	1310	114	32	
ge	624	1325	234	34	
a	876	1328	44	2	
ay	988	1307	189	55	
Ss	1178	1308	309	33	
——-	527	1340	92	3	
—	749	1343	28	2	
RAS	813	1344	45	16	
NN	920	1322	81	46	
a	1005	1345	26	2	
ee	1053	1340	147	23	
ee	1208	1337	275	31	
6	480	1341	251	56	
SS	733	1362	234	21	
eS	969	1339	224	56	
SS	1195	1343	291	54	
Oy	482	1393	22	15	
eg	565	1398	24	14	
ce	590	1404	8	2	
ee	653	1391	15	7	
‘	1032	1395	15	7	
Tr	1113	1396	13	7	
eee	1177	1396	14	7	
ene	1240	1391	104	23	
Dre	1346	1391	140	15	
shout	546	1414	79	26	
sal-	638	1415	56	25	
va	705	1424	34	17	
tion	756	1417	56	24	
as	833	1425	29	17	
I	905	1417	16	25	
fly,	948	1418	43	33	
Oh,	1013	1418	50	31	
view	1076	1419	68	25	
the	1157	1420	45	25	
heay’n-ly	1215	1421	136	32	
Jand.	1376	1422	73	26	
oe	1021	1460	112	24	
eg	1147	1457	196	30	
ew,	1345	1465	112	20	
ry	478	1479	41	26	
a	967	1503	15	9	
if	1029	1485	2	14	
{	1082	1486	5	30	
px	1174	1487	15	14	
+	1246	1487	2	30	
{	1326	1489	2	13	
1	1406	1489	15	14	
f]	1486	1488	15	32	
ec	477	1496	30	14	
=.	666	1504	16	8	
=	839	1503	16	23	
i	980	1521	2	6	
2	1030	1508	15	30	
|	1082	1517	5	30	
ee	1108	1523	43	25	
e	1173	1509	15	46	
fa	1325	1513	16	22	
p=	1406	1512	51	24	
H	1485	1521	16	33	
iS	1028	1540	16	7	
f	1109	1549	1	6	
2	1190	1543	70	15	
—	1262	1549	59	3	
p-—-—-	1324	1544	159	20	
v	1029	1550	16	22	
|	0	0	1725	2400	
Me	1107	1550	81	23	
y	1244	1569	16	22	
Vv	1324	1562	18	30	
2.	710	1613	22	23	
sear	1141	1617	64	24	
Old	461	1654	52	26	
Satan’s	527	1655	104	26	
mad,	643	1657	69	30	
and	726	1658	52	25	
I	791	1658	15	25	
am	819	1667	42	17	
glad,	875	1659	70	33	
You	981	1660	60	25	
sayyou’re	1051	1662	141	31	
aiming	1202	1662	82	26	
for	1287	1663	65	33	
the	1364	1664	45	26	
skies,	1421	1664	77	28	
View	493	1690	75	25	
the	581	1691	44	24	
land,	638	1691	71	30	
view	723	1692	68	26	
the	804	1694	45	24	
land;	860	1694	79	28	
-	1000	1712	3	2	
View	1014	1695	76	25	
the	1104	1696	45	25	
land,	1161	1696	71	30	
view	1246	1698	67	25	
the	1326	1699	45	25	
land	1383	1699	45	24	
;	1432	1700	32	28	
He	459	1723	45	25	
miss’d	517	1724	92	25	
that	619	1725	57	25	
soulhe	687	1727	100	25	
thought	798	1728	114	32	
he	923	1728	33	25	
Why	979	1729	74	33	
don’t	1067	1731	73	24	
you	1158	1739	53	24	
stop	1233	1734	59	30	
your	1311	1741	67	24	
telling	1397	1734	95	33	
O	494	1758	22	25	
view	530	1759	61	24	
the	590	1760	64	24	
heay’nly	668	1760	123	33	
land.	803	1762	72	26	
[had,	891	1762	72	34	
O	1014	1764	22	25	
view	1051	1765	66	24	
the	1130	1765	46	25	
heav’nly	1190	1766	124	34	
land.	1327	1768	64	25	
[lies	1395	1768	74	34	
?	1481	1769	12	25	
Oh,	461	1791	48	31	
way	523	1800	57	26	
over	595	1801	62	18	
Jordan,	669	1795	110	30	
&e.	793	1796	43	26	
Oh,	979	1797	50	30	
way	1043	1807	59	25	
over	1116	1807	64	18	
Jordan,	1192	1800	114	35	
&c.	1320	1802	43	26	
You	697	1872	59	25	
say	770	1881	48	25	
your	830	1882	67	23	
Lord	908	1874	73	25	
has	994	1875	49	25	
set	1057	1878	41	23	
you	1111	1885	32	25	
free,	1146	1877	93	31	
View	730	1907	74	25	
the	817	1908	44	25	
land,	874	1909	70	29	
view	958	1910	68	24	
the	1039	1910	45	25	
land	1096	1911	46	25	
;	1144	1912	32	29	
Why	695	1941	71	33	
don’t	779	1942	72	25	
you	863	1951	33	24	
let	899	1944	66	24	
your	977	1952	68	24	
neighbours	1057	1946	164	32	
be	1235	1947	32	26	
?	1276	1948	12	25	
O	732	1975	22	26	
view	768	1976	66	26	
the	847	1977	45	25	
heav’nly	905	1978	124	33	
