content	x	y	w	h	
1	1896	670	32	38	
\	2122	8008	48	74	
.	2622	10530	2	2	
Li	7924	3958	44	38	
-	7996	3976	16	20	
.	10124	3918	4	4	
*	10150	3886	14	36	
..	10184	3912	18	10	
.	10082	4036	6	4	
^rVJv	10106	3992	110	52	
'	10162	4050	6	6	
<N	10202	4054	42	34	
.	11580	4162	4	6	
:■	11720	4092	46	76	
■	11862	4144	6	24	
»	11626	4278	8	22	
•-,	11672	4280	34	30	
/.	11840	4278	24	32	
j	11824	4316	40	46	
,'*i	11748	4672	94	60	
l	11728	4784	10	24	
•'	11788	4782	12	26	
>	11832	4790	10	22	
'	11788	4834	8	16	
t	11830	4830	22	52	
v	11706	6340	38	60	
w	11808	6364	82	86	
.	11704	6462	10	6	
I	11806	6448	10	26	
'	11712	6574	12	16	
I	11804	6550	22	160	
|	11802	6734	22	118	
A	11850	6732	56	120	
f	11810	6826	24	48	
V*	11870	6834	82	56	
r	11806	6886	40	62	
M	11760	6954	98	154	
.■/	9170	7362	30	20	
3	9250	7368	14	18	
*	9042	7412	4	6	
'	9074	7394	6	24	
^	9118	7398	14	42	
•'	9164	7402	12	38	
I..	9236	7404	44	44	
\	11812	7404	8	34	
V	9286	7550	20	18	
•	9516	7844	6	4	
f	9594	7838	22	28	
■	9634	7834	4	32	
*	9698	7842	22	24	
j	9192	8084	48	60	
■	11720	8614	6	4	
j	11782	8558	20	78	
v_	7452	8926	54	56	
Vv	7568	8922	86	60	
<	7722	8952	16	30	
	7392	9034	20	18	
■	7478	9076	8	14	
'	7596	9052	18	38	
-	12384	2630	10	12	
i	7598	10068	62	100	
HI	7824	10058	178	118	
,	8072	10138	24	38	
r	11748	9928	20	54	
1	11678	9996	8	32	
•«	11716	10018	54	26	
■	11708	10062	4	6	
j	11744	10058	16	60	
1t	11714	10120	48	34	
'I	11702	10162	60	128	
'	3140	10818	12	14	
~y;J	2988	10934	80	38	
.	2302	11282	6	6	
'	7306	11142	4	6	
£	7322	11124	26	44	
-V	7462	11134	26	36	
	7508	11122	6	48	
-	7328	11216	2	2	
A	7372	11202	28	18	
V.	7288	11220	78	64	
r:	7648	11484	24	22	
*	7712	11462	12	44	
i	11710	11526	74	140	
-i.	4820	12714	86	22	
•«	4944	12716	48	22	
y.>.u	5024	12706	118	40	
'-A.,	5180	12696	126	60	
.	5352	12740	4	16	
»*	5402	12720	60	36	
»•	5560	12730	46	26	
&	6442	12746	34	34	
■	6512	12766	10	14	
'	6532	12760	16	20	
•	6582	12760	18	20	
'	6628	12762	10	18	
v-	6660	12758	24	22	
-	7706	12796	16	6	
V	7740	12790	22	20	
•••:„;sir-	8176	12790	122	40	
38K:«f	748	15478	414	120	
15	1182	15500	136	64	
-C-	1620	15544	98	60	
>C>--	1378	15694	156	54	
SO-	1380	15748	134	48	
■	1524	15782	8	14	
'•J?*	2038	15540	124	36	
~'	2224	15546	46	30	
*	1906	15572	24	18	
^	1990	15572	32	22	
-*	2084	15574	28	20	
/•;	2170	15574	56	28	
■-*'	2270	15566	44	36	
*.	1946	15604	26	14	
A-	2034	15602	36	24	
~	2132	15606	26	20	
*	2224	15606	24	20	
*	5586	15558	32	24	
-	5630	15576	6	6	
A*;	5648	15554	66	34	
•*■	5758	15564	30	24	
-■•	5834	15560	50	28	
-•	5948	15566	28	22	
.«	6128	15564	34	24	
»	6228	15564	28	24	
-•	6316	15564	32	24	
yrJgQC-v-«	5586	15650	530	94	
-Q"-".	6136	15656	242	88	
K-	6800	15488	42	38	
JWL.P^/	6852	15490	220	42	
»	6734	15526	50	14	
—	6820	15528	54	14	
<P~	6912	15468	142	84	
L.{mftft	7096	15470	490	90	
«	6790	15564	24	16	
yfi	6864	15556	52	36	
»	6976	15564	24	28	
'*.	7060	15560	38	32	
*-	7156	15566	30	26	
«	7254	15568	22	24	
^	7300	15594	26	12	
.-»	7336	15566	38	40	
^	7400	15596	16	10	
^	7580	15594	22	14	
■«*	7620	15566	32	42	
W(»	6778	15612	50	36	
V	6862	15604	52	44	
<#»	6972	15618	36	30	
-A	7062	15624	36	24	
»	7158	15624	28	24	
».	7252	15626	32	22	
•-	7344	15626	32	22	
-»	7440	15624	22	24	
^	7486	15656	24	12	
*	7534	15626	26	42	
^	7580	15652	18	16	
^	7670	15654	20	14	
