content	x	y	w	h	
DPS	3095	126	117	65	
TEMP	2838	212	155	69	
/	3020	211	20	70	
PRESS	3054	211	196	69	
MON	3300	210	109	69	
>	2935	290	20	69	
30	2973	290	63	69	
PSI	3099	290	119	69	
@	3271	290	20	69	
PDI	3351	290	119	69	
HELIUM	2831	372	248	68	
NOM	3125	370	109	69	
>	2848	450	21	73	
1000	2891	450	149	73	
<	3047	450	21	73	
1150	3091	450	155	73	
PSI	2923	543	124	66	
PRE	3093	542	115	67	
PDI	3263	541	115	67	
APS	3850	125	118	64	
RCS	4573	126	116	68	
TEMP	3607	211	151	65	
PRESS	3810	211	196	65	
MON	4048	211	121	65	
He	4314	208	76	69	
>	4447	208	20	69	
1400	4493	208	149	69	
PSI	4699	208	118	69	
>	3686	292	19	66	
78	3729	292	61	66	
PSI	3854	292	122	66	
OX	4021	292	72	66	
PRPLNT	4319	292	244	68	
>	3688	372	19	67	
114	3724	372	118	67	
PSI	3902	372	113	67	
FU	4069	372	65	67	
PRESS	4397	374	199	71	
>	4657	374	20	71	
100	4693	374	112	71	
PSI	4869	374	121	71	
40	3684	454	67	73	
-	3814	454	21	73	
90	3901	454	55	73	
°	3985	454	21	73	
F	4029	454	21	73	
TEMP	4399	460	157	71	
40	4611	460	65	71	
-	4745	460	20	71	
100	4827	460	111	71	
°	4961	460	20	71	
F	4997	460	20	71	
AT	3675	544	93	73	
<	3774	544	21	73	
10	3817	544	54	73	
°	3900	544	21	73	
F	3944	544	21	73	
NOM	4018	544	104	73	
FUEL	4325	544	150	78	
/	4494	543	24	79	
OXID	4529	542	151	79	
MANF	4726	541	176	78	
HELIUM	3595	624	244	70	
NOM	3885	625	119	70	
PRESS	4400	630	202	69	
>	4659	630	20	69	
100	4706	630	99	69	
PSI	4862	630	128	69	
PRESS	3682	708	202	70	
3125	3941	710	153	70	
PSI	4153	711	119	70	
AP	4395	712	78	71	
(	4531	712	20	71	
80	4571	712	65	71	
PSI	4700	712	122	71	
QUAD	4315	799	161	74	
TEMP	4533	799	153	74	
>	4740	799	21	74	
119	4788	799	105	74	
°	4912	799	21	74	
F	4950	799	21	74	
(	4327	876	23	85	
25	4358	876	63	86	
MIN	4473	877	120	86	
TO	4660	878	61	86	
FIRING	4785	879	233	87	
)	5040	881	23	85	
5/10/71	3235	974	155	34	
