content	x	y	w	h	
E	1335	184	13	51	
1-1	1293	250	101	56	
LUNAR	357	360	166	61	
RETURN	566	360	190	61	
VEHICLE	808	360	232	61	
PREPARATION	1080	360	358	61	
INITIAL	884	566	215	58	
STOWAGE	1147	570	231	57	
COMPLETED	1417	573	303	59	
VEHICLE	2406	909	63	237	
PREPARATION	2410	631	64	360	
2	372	710	3	48	
.	396	711	1	48	
CMC	873	698	96	71	
&	1017	701	19	69	
IMU	1085	702	88	70	
POWER	1218	704	157	71	
UP	1419	707	62	70	
pg	1514	709	75	71	
G	1626	711	19	69	
/	1661	711	19	69	
2-1	1691	712	98	70	
&	1829	714	19	69	
2	1899	715	19	69	
3	376	847	2	46	
SCS	875	837	94	67	
POWER	1018	839	155	69	
UP	1212	843	59	66	
pg	1318	845	59	66	
G	1422	847	17	65	
/	1462	848	17	65	
2-4	1481	848	91	67	
4	372	982	5	49	
P51	880	970	94	68	
-	1017	972	18	67	
IMU	1093	973	85	68	
ORIENTATION	1217	975	357	71	
Pg	1615	980	73	68	
G	1724	982	18	67	
/	1765	982	18	67	
6-1	1785	983	104	68	
07	353	1170	41	57	
LOAD	871	1113	135	54	
DAP	1051	1115	90	54	
V43E	939	1176	129	69	
11102	1126	1179	153	69	
,	1291	1182	18	67	
01111	1354	1183	163	69	
,	1529	1186	18	67	
PRO	1585	1187	95	68	
,	1699	1189	18	67	
PRO	1755	1190	95	68	
,	1869	1191	18	67	
PRO	1923	1192	94	69	
6	365	1320	16	55	
-06	467	1318	80	55	
:	578	1317	16	55	
00h	603	1316	86	55	
LAST	869	1318	135	56	
MCC	1039	1319	102	56	
DECISION	1179	1321	263	56	
LUNAR	2406	1609	59	164	
ENTRY	2408	1400	59	162	
PAD	2410	1201	58	98	
7	366	1455	18	62	
-05	472	1454	89	61	
:	574	1453	18	62	
35h	601	1452	90	62	
NO	873	1452	60	58	
COMM	979	1453	122	59	
-	1151	1455	15	57	
P52	1217	1456	95	58	
&	1359	1458	15	57	
NAV	1416	1458	97	58	
SIGHTINGS	1557	1460	292	60	
8	370	1596	6	49	
DON	875	1588	87	58	
MAE	1002	1590	97	58	
WESTS	1145	1592	164	59	
&	1359	1595	15	57	
FOOT	1425	1596	125	58	
RESTRAINTS	1593	1598	325	61	
9	376	1732	3	49	
ACTIVATE	871	1724	260	59	
VHF	1185	1727	88	58	
FOR	1328	1728	89	58	
COMM	1459	1730	117	57	
CHECKS	1627	1731	193	59	
10	367	1866	51	55	
VERIFY	873	1864	202	58	
DSE	1117	1866	81	57	
POWERED	1251	1866	230	59	
cb	873	1926	54	73	
S	979	1927	20	73	
BD	1040	1928	66	73	
FM	1158	1929	41	73	
XMTR	1251	1930	129	73	
/	1393	1931	20	73	
DSE	1419	1931	92	74	
(	1563	1932	20	73	
2	1600	1933	20	73	
)	1630	1933	20	73	
-	1697	1933	20	73	
close	1769	1934	158	74	
(	1970	1936	20	73	
verify	1994	1936	198	75	
)	2207	1938	20	73	
11	369	2066	51	55	
PERFORM	870	2062	227	75	
UV	1144	2064	66	73	
PHOTOGRAPHY	1251	2065	367	75	
(	1667	2068	20	73	
Flight	1693	2068	208	74	
Plan	1928	2070	131	73	
)	2073	2070	20	73	
TZ71179	224	2081	68	228	
SUPERCIRCULAR	2407	2526	64	432	
ENTRY	2414	2046	60	160	
12	367	2208	51	55	
-04	467	2209	87	55	
:	573	2209	15	55	
30h	603	2209	85	56	
P27	866	2207	94	73	
(	1019	2207	21	73	
SV	1044	2207	67	73	
,	1115	2207	21	73	
RE	1150	2207	54	73	
FSMMAT	1217	2207	197	73	
)	1418	2207	21	73	
,	1463	2207	21	73	
MNVR	1520	2207	128	73	
&	945	2272	19	67	
ENTRY	1012	2272	160	67	
PAD	1213	2272	95	67	
UPDATES	1349	2272	231	67	
DATE	169	2533	54	124	
13	360	2412	65	57	
-04	461	2412	89	57	
:	576	2412	16	57	
15h	600	2412	90	57	
Li_	456	2480	202	76	
P52	863	2416	100	56	
IMU	1083	2410	86	68	
REALIGN	1219	2412	222	70	
Pg	1481	2416	71	67	
G	1589	2417	18	67	
/	1629	2417	18	67	
6-2	1651	2418	102	68	
(	950	2480	22	77	
OPTION	967	2480	201	77	
3	1222	2480	22	77	
,	1254	2480	22	77	
then	1323	2480	119	77	
OPTION	1484	2480	198	77	
1	1737	2480	22	77	
)	1760	2480	22	77	
14	359	2618	58	51	
P37	864	2618	98	70	
(	1018	2619	20	69	
NO	1035	2619	63	69	
COMM	1149	2620	123	70	
ONLY	1317	2621	134	70	
)	1452	2622	20	69	
15	358	2754	57	52	
ECS	869	2756	94	58	
CKS	1009	2758	88	57	
