content	x	y	w	h	
EDMONDS	1269	451	341	80	
.	1612	454	21	77	
7	1698	455	21	77	
,	1729	455	21	77	
8	1776	456	21	77	
.	1807	456	21	77	
(	1893	457	21	77	
Original	1919	457	246	79	
.	2166	459	21	77	
)	2189	459	21	77	
115	3187	478	74	58	
But	994	548	56	44	
from	1058	548	62	44	
the	1148	548	57	44	
beginning	1208	548	171	44	
of	1394	548	32	44	
the	1436	548	51	44	
creation	1498	548	126	44	
God	1643	548	62	44	
made	1717	548	94	44	
them	1817	548	66	44	
male	1911	548	80	44	
and	2006	548	57	44	
female	2074	548	106	44	
.	2187	548	12	44	
”	2196	548	12	44	
—	2228	548	12	44	
MARK	2248	548	98	44	
10	2368	548	24	44	
:	2403	548	12	44	
6	2426	548	12	44	
.	2444	548	12	44	
ELD	2165	603	70	50	
.	2243	604	14	49	
E	2278	604	14	49	
.	2303	604	14	49	
DUMAS	2333	605	137	49	
,	2468	606	14	49	
1869	2497	606	78	49	
.	2578	606	14	49	
Alto	2635	607	71	49	
by	2730	608	45	49	
S	2793	608	14	49	
.	2818	608	14	49	
M	2848	608	14	49	
.	2883	609	14	49	
DENSON	2906	609	161	50	
,	3068	610	14	49	
1911	3102	610	76	50	
.	3178	611	14	49	
Key	234	605	81	48	
of	331	605	43	48	
F	392	605	13	48	
Sharp	429	605	111	48	
Minor	557	605	120	48	
.	677	605	13	48	
1	448	857	12	43	
.	461	857	12	43	
When	485	857	112	43	
2	1883	854	13	46	
.	1897	854	13	46	
Ten	1937	854	59	47	
thousand	2013	855	175	47	
times	2199	856	93	47	
ten	2310	857	45	46	
thousand	2382	857	165	47	
,	2555	859	13	46	
Of	2572	859	59	46	
creatures	2641	859	165	47	
swarmed	2817	860	156	47	
around	2991	861	126	47	
,	3119	862	13	46	
Be	3177	863	53	46	
As	489	904	52	35	
Adam	661	857	90	43	
was	785	857	74	43	
cre	880	857	43	43	
-	927	857	12	43	
at	945	857	31	43	
-	1011	857	12	43	
ed	1063	857	31	43	
,	1103	857	12	43	
He	1131	857	63	43	
dwelt	1202	857	102	43	
in	1320	857	23	43	
Eden	1372	857	83	43	
'	1469	857	12	43	
s	1482	857	12	43	
shade	1512	857	104	43	
;	1618	857	12	43	
Moses	659	899	120	46	
has	794	899	65	46	
re	877	899	33	46	
-	911	899	13	46	
lat	931	899	46	46	
-	1010	899	13	46	
ed	1060	899	34	46	
,	1099	899	13	46	
Be	1127	899	51	46	
-	1179	899	13	46	
fore	1194	899	65	46	
a	1287	899	13	46	
bride	1328	899	85	46	
was	1433	899	72	46	
made	1622	903	106	40	
.	1729	903	11	40	
2	1668	943	7	27	
3	460	1379	13	46	
.	479	1379	13	46	
He	515	1379	58	46	
Till	510	1421	65	48	
,	572	1421	13	48	
had	649	1379	66	46	
no	734	1379	42	46	
conso	793	1379	99	46	
-	916	1379	13	46	
la	945	1379	25	46	
