content	x	y	w	h	
44	279	86	39	35	
MARAVI	509	72	404	43	
GLI	919	72	160	43	
E	1111	72	12	43	
titolo	234	117	99	50	
di	360	118	36	50	
Card	407	118	86	50	
.	499	118	14	50	
&	519	118	14	50	
vi	562	118	45	50	
è	616	119	14	50	
ftatione	655	119	136	50	
il	800	119	28	50	
Giouedì	835	119	158	51	
dopo	1006	120	96	50	
la	1122	120	27	51	
quarta	1171	121	107	50	
Dome	1296	121	107	50	
.	1396	122	14	50	
nica	228	166	76	52	
di	329	166	28	52	
Quareſima	382	166	195	52	
,	571	166	14	52	
e	587	166	14	52	
vi	615	166	49	52	
ſono	663	166	79	52	
i	762	166	14	52	
Corpi	790	166	109	52	
di	909	166	38	52	
s.Euſtratio	964	166	183	52	
,	1154	166	14	52	
Mardario	1168	166	162	52	
,	1340	166	14	52	
Eu	1354	166	54	52	
genio	234	210	97	57	
,	334	210	16	57	
Orefte	351	210	120	57	
,	473	210	16	57	
&	508	210	16	57	
Aufentio	551	210	157	57	
,	717	210	16	57	
vi	739	210	42	57	
ſtà	789	210	41	57	
il	845	210	32	57	
Collegio	887	210	159	57	
Germanico	1059	210	209	57	
,	1268	210	16	57	
&	1297	210	16	57	
è	1349	210	16	57	
da	1371	210	42	57	
loro	234	258	75	57	
officiata	325	258	144	57	
,	471	258	16	57	
la	491	258	22	57	
quale	534	258	95	57	
Gregorio	645	258	172	57	
xul	835	258	98	57	
.	918	258	16	57	
la	950	258	21	57	
diede	992	258	102	57	
al	1104	258	32	57	
detto	1149	258	92	57	
Collegio	1262	258	146	57	
con	231	306	59	51	
l'entrate	319	306	140	51	
del	475	306	59	51	
Capitolo	539	306	165	51	
de'Canonici	718	306	230	51	
,	950	306	14	51	
che	964	306	66	51	
vi	1042	306	38	51	
erano	1089	306	102	51	
,	1195	306	14	51	
e	1216	306	14	51	
la	1243	306	27	51	
rinouò	1289	306	108	51	
.	1398	306	14	51	
S.	282	352	29	53	
Giacomo	313	352	173	53	
de	497	352	51	53	
i	556	352	15	53	
Spagnuoli	581	352	188	53	
.	777	352	15	53	
Queſta	818	352	113	53	
Chieſa	957	352	115	53	
fù	1086	352	29	53	
edificata	1137	352	151	53	
da	1305	352	39	53	
Al	1359	352	48	53	
fonſo	232	396	88	53	
Paradina	344	397	152	53	
Spagnuolo	512	397	187	54	
,	706	398	15	53	
Veſcouo	725	398	149	54	
Ciuenſe	891	399	140	54	
,	1035	400	15	53	
e	1057	400	15	53	
vi	1088	400	40	53	
è	1138	400	15	53	
la	1166	401	29	53	
plenaria	1214	401	138	53	
re	1366	402	41	53	
miflione	227	442	157	55	
de'peccati	399	442	190	55	
alli	603	442	56	55	
25.	675	442	54	55	
di	741	442	40	55	
Luglio	797	442	110	55	
.	928	442	15	55	
Vi	955	442	41	55	
è	1007	442	15	55	
vn'Hoſpitale	1041	442	227	55	
per	1279	442	55	55	
la	1351	442	20	55	
Natione	231	493	161	53	
Spagnuola	404	493	188	53	
,	594	493	15	53	
la	617	493	29	53	
qual	669	493	82	53	
dà	760	493	39	53	
la	822	493	29	53	
dote	874	493	75	53	
alle	968	493	62	53	
Zit	1039	493	53	53	
.	1097	493	15	53	
alli	1122	493	57	53	
15.d’Agoſto	1200	493	189	53	
.	1399	493	15	53	
Quiui	240	541	117	51	
è	366	541	14	51	
ſtata	400	541	72	51	
fatta	491	541	75	51	
nuouamente	585	541	231	51	
vna	849	541	59	51	
belliſima	918	541	181	51	
Cap	1121	541	66	51	
.	1192	541	14	51	
dall'Erera	1217	541	171	51	
,	1395	541	14	51	
S.Andrea	284	583	166	50	
della	462	584	86	49	
Valle	567	584	91	50	
.	660	585	14	49	
Chieſa	690	585	118	49	
nuouamente	817	585	231	50	
fatta	1066	586	72	50	
,	1145	587	14	49	
alla	1169	587	64	49	
quale	1249	587	89	50	
tut	1351	588	53	49	
tauia	235	633	92	51	
fi	348	633	18	51	
và	377	633	47	51	
dando	429	633	115	51	
fine	561	633	66	51	
alle	641	633	60	51	
ſpeſe	719	633	86	51	
del	819	633	66	51	
Cardinal	897	633	165	51	
Mont'Alto	1065	633	187	51	
.	1260	633	14	51	
Vi	1289	633	38	51	
ſono	1338	633	67	51	
alcune	232	679	128	53	
belliffime	365	679	188	53	
,	546	679	15	53	
e	562	679	15	53	
ricchiſſime	595	679	204	53	
Cappelle	818	679	163	53	
.	994	679	15	53	
Queſta	1040	679	120	53	
Chieſa	1182	679	105	53	
è	1313	679	15	53	
fatta	1336	679	65	53	
ad	234	726	45	49	
honore	294	726	126	49	
di	441	726	36	49	
s	487	726	14	49	
.	502	726	14	49	
Andrea	517	726	128	49	
,	652	726	14	49	
es	669	726	45	49	
.	712	726	14	49	
Sebaftiano	731	726	183	49	
,	917	726	14	49	
oue	934	726	70	49	
adeſſo	1016	726	102	49	
è	1147	726	14	49	
la	1178	726	27	49	
piazza	1221	726	104	49	
auā	1343	726	58	49	
ti	238	772	29	57	
detta	275	772	93	57	
Chieſa	391	772	112	57	
,	508	772	16	57	
era	528	772	48	57	
vna	589	772	65	57	
Chieſiola	672	772	170	57	
che	855	772	64	57	
fù	927	772	31	57	
ſpianata	981	772	141	57	
dedicata	1133	772	151	57	
à	1296	772	16	57	
detto	1325	772	81	57	
s.Sebaſtiano	243	822	210	40	
,	460	821	11	41	
vi	487	821	32	41	
ſtanno	530	821	110	40	
Preti	656	820	92	41	
Teatini	767	820	127	40	
.	896	819	11	41	
S.	288	864	29	57	
Maria	312	864	115	57	
dell'Anima	441	864	210	57	
.	656	864	16	57	
In	699	864	22	57	
queſto	752	864	106	57	
luogo	879	864	103	57	
è	1004	864	16	57	
vn'Hoſpitale	1036	864	219	57	
,	1272	864	16	57	
doue	1299	864	83	57	
fi	1394	864	9	57	
dà	231	915	50	54	
alloggiamento	289	914	265	53	
per	569	912	62	54	
tre	638	912	54	53	
notte	699	911	101	54	
alla	811	910	66	54	
Nation	891	910	123	53	
Todeſca	1042	909	137	53	
.	1187	908	15	54	
Vi	1218	907	40	54	
ſi	1272	907	20	54	
vede	1301	907	78	53	
il	1388	906	20	54	
belliſsimo	232	958	193	53	
ſepolcro	435	958	156	53	
del	612	958	60	53	
Cardinal	685	958	165	53	
d'Auſtria	860	958	161	53	
con	1044	958	60	53	
la	1122	958	29	53	
ſua	1164	958	54	53	
ſtatua	1232	958	94	53	
,	1326	958	15	53	
e	1353	958	15	53	
di	1373	958	40	53	
Adriano	236	1009	149	40	
VI	406	1008	67	40	
.	469	1007	11	41	
S.Maria	275	1052	140	51	
della	438	1052	81	51	
Pace	534	1052	87	51	
.	621	1052	14	51	
Queſta	641	1052	118	51	
Chieſa	784	1052	109	51	
fu	914	1052	27	51	
edificata	966	1052	147	51	
da	1129	1052	38	51	
Siſto	1185	1052	72	51	
IV.e	1282	1052	65	51	
nel	1357	1052	44	51	
di	237	1099	43	47	
della	285	1099	89	47	
Purificacione	391	1099	239	47	
,	629	1099	13	47	
Annonciatione	650	1099	270	47	
,	917	1099	13	47	
Viſitatione	938	1099	192	47	
,	1133	1099	13	47	
Neue	1145	1099	100	47	
,	1243	1099	13	47	
Affontio	1257	1099	131	47	
.	1392	1099	13	47	
ne	235	1146	38	53	
,	279	1146	15	53	
Natiuita	289	1146	156	53	
,	450	1146	15	53	
Preſentatione	467	1146	246	53	
,	711	1146	15	53	
e	733	1146	15	53	
Concettione	767	1146	227	53	
di	1007	1146	38	53	
Maria	1049	1146	108	53	
Vergine	1179	1146	139	53	
,	1316	1146	15	53	
