content	x	y	w	h	
CMP	219	134	295	115	
EVA	584	134	228	115	
MALF	879	138	348	116	
-	1251	141	32	113	
CONTD	1292	142	417	117	
4.	233	652	75	70	
LOSS	359	653	159	70	
OF	562	655	75	69	
COMM	688	656	149	70	
FROM	901	658	149	70	
EVA	1097	660	118	70	
Ver	279	736	113	68	
S	448	738	18	67	
-	489	738	18	67	
BD	523	738	73	68	
MODE	645	739	155	68	
VOICE	859	741	193	68	
SW	1110	743	61	67	
not	1231	744	122	68	
in	1409	746	60	67	
RELAY	1523	746	204	69	
Pnl	270	820	127	70	
10	447	822	62	69	
Vox	564	822	117	70	
Sens	732	824	161	70	
-	942	825	19	69	
9	1033	826	19	69	
Check	270	900	200	72	
Vol	525	902	124	71	
Thumbwheels	703	903	435	74	
Pnl	275	980	123	80	
70	455	982	57	79	
MODE	563	983	163	80	
-	776	985	22	79	
INTERCOM	874	986	308	82	
/	1200	989	22	79	
PTT	1224	990	134	80	
If	274	1056	79	84	
Voice	407	1057	198	85	
ok	647	1059	72	84	
:	744	1060	23	83	
(	828	1061	23	83	
Pnl	854	1061	128	84	
10	1033	1062	64	84	
Vox	1151	1063	118	84	
fail	1331	1065	152	84	
)	1492	1066	23	83	
If	279	1148	76	69	
Voice	398	1149	202	70	
not	653	1151	117	69	
ok	821	1152	63	69	
:	909	1153	20	69	
Pn7	225	1228	128	76	
10	415	1230	55	75	
AUDIO	525	1230	186	77	
CONT	776	1232	161	76	
-	986	1234	20	75	
BACKUP	1064	1235	236	76	
If	320	1316	76	69	
Voice	439	1317	202	70	
ok	694	1319	63	69	
:	782	1319	20	69	
(	450	1392	24	87	
CMP	480	1392	111	88	
Audio	647	1393	198	88	
Center	905	1395	235	88	
fail	1196	1397	151	87	
)	1365	1398	24	87	
Pnl	438	1482	130	76	
9	619	1483	21	75	
-	695	1484	21	75	
MODE	763	1484	162	76	
VOX	989	1485	107	76	
Vox	443	1564	112	80	
Sens	611	1566	155	81	
-	824	1569	22	79	
as	899	1570	72	80	
reqd	1016	1572	163	80	
Vol	448	1646	114	84	
Thumbwheels	612	1649	436	87	
-	1106	1656	22	81	
as	1191	1657	74	82	
reqd	1311	1659	169	83	
If	325	1734	64	72	
Voice	438	1736	196	73	
not	693	1738	120	72	
ok	858	1740	64	72	
:	950	1741	19	71	
(	410	1816	26	91	
Personal	440	1816	335	91	
component	808	1816	380	91	
failure	1237	1816	280	91	
)	1532	1816	26	91	
5.	229	2484	90	84	
EVA	359	2486	117	84	
Cooling	527	2487	288	86	
Inadequate	867	2491	398	87	
,	1288	2495	23	83	
Cuff	354	2574	177	87	
gage	577	2574	144	87	
normal	767	2574	256	87	
Check	273	2647	197	87	
EVA	521	2652	117	86	
panel	693	2656	200	87	
gage	945	2661	158	87	
If	277	2736	80	75	
low	410	2736	98	75	
,	533	2736	21	75	
<	617	2736	21	75	
100	653	2736	107	75	
psi	805	2736	136	75	
:	945	2736	21	75	
OPS	349	2825	131	70	
-	535	2825	20	70	
ON	609	2825	64	70	
SCU	365	2904	105	81	
-	492	2904	23	81	
CLOSE	529	2904	195	81	
,	746	2904	23	81	
PCV	815	2904	115	81	
-	942	2904	23	81	
CLOSE	979	2904	193	81	
Purge	354	2988	203	80	
Vly	606	2984	119	82	
-	772	2982	25	83	
Hi	847	2981	95	81	
EVA	351	3070	118	75	
Sta	530	3071	107	75	
02	687	3071	81	76	
-	823	3072	21	75	
OFF	891	3072	118	76	
(	368	3152	26	89	
System	399	3152	227	89	
leakage	699	3152	273	89	
)	989	3152	26	89	
If	285	3232	69	91	
high	389	3232	165	91	
,	574	3232	26	91	
>	654	3232	26	91	
500	689	3232	116	91	
psi	853	3232	128	91	
:	986	3232	26	91	
(	368	3320	23	83	
Restriction	396	3321	449	86	
in	907	3325	57	83	
system	1029	3325	224	85	
)	1276	3327	23	83	
Monitor	343	3404	300	84	
cuff	693	3406	161	83	
gage	907	3407	153	84	
often	1099	3408	194	84	
If	277	3492	80	71	
normal	393	3492	255	71	
,	653	3492	20	71	
500-700	725	3492	284	71	
psi	1050	3492	135	71	
:	1199	3492	20	71	
(	371	3572	26	89	
EVA	393	3572	114	89	
working	555	3572	298	89	
too	901	3572	114	89	
hard	1059	3572	162	89	
or	1265	3572	82	89	
system	394	3660	237	82	
leakage	691	3658	288	81	
)	984	3656	25	83	
Monitor	350	3744	286	84	
cuff	686	3745	164	84	
gage	899	3746	157	84	
often	1095	3747	205	84	
y	1852	3483	16	4	
7/21/71	1457	4000	267	124	
