content	x	y	w	h	
L	965	206	20	34	
I	992	206	15	34	
B	1006	206	15	34	
E	1028	206	20	34	
R	1052	206	22	34	
T	1083	206	23	34	
Y	1109	206	19	34	
.	1132	206	9	34	
C	1181	206	9	34	
.	1202	206	9	34	
M	1233	206	9	34	
.	1265	206	9	34	
1	1926	220	15	37	
3	1946	220	13	37	
7	1961	220	12	37	
"	857	249	5	20	
D	873	249	11	20	
e	889	249	9	20	
l	899	249	5	20	
i	906	249	5	20	
v	913	249	7	20	
e	924	249	7	20	
r	932	249	6	20	
m	943	249	14	20	
e	961	249	15	20	
f	980	249	7	20	
r	989	249	6	20	
o	997	249	7	20	
m	1007	249	8	20	
t	1031	249	6	20	
h	1038	249	8	20	
e	1050	249	10	20	
o	1065	249	8	20	
p	1076	249	9	20	
p	1088	249	9	20	
r	1099	249	8	20	
e	1110	249	7	20	
s	1119	249	6	20	
s	1127	249	6	20	
i	1137	249	5	20	
o	1142	249	7	20	
n	1153	249	10	20	
o	1170	249	8	20	
f	1181	249	8	20	
m	1193	249	13	20	
a	1211	249	10	20	
n	1223	249	8	20	
.	1235	249	5	20	
"	1244	249	5	20	
-	1256	249	5	20	
P	1273	249	8	20	
s	1284	249	8	20	
.	1294	249	5	20	
1	1308	249	6	20	
1	1317	249	5	20	
9	1323	249	5	20	
:	1334	249	5	20	
1	1348	249	6	20	
3	1357	249	5	20	
4	1363	249	4	20	
.	1374	249	5	20	
S	1337	271	12	29	
T	1353	271	10	29	
E	1365	271	10	29	
P	1380	272	10	29	
H	1391	272	12	29	
E	1409	272	13	29	
N	1424	272	12	29	
J	1453	272	9	29	
E	1465	272	9	29	
N	1475	273	12	29	
K	1493	273	13	29	
S	1508	273	12	29	
,	1519	273	8	29	
1	1540	273	9	29	
8	1552	273	8	29	
0	1561	273	8	29	
3	1573	274	9	29	
.	1585	274	8	29	
A	1618	274	9	29	
l	1630	274	8	29	
t	1640	274	7	29	
o	1649	274	7	29	
b	1667	274	12	29	
y	1682	275	12	29	
S	1705	275	8	29	
.	1717	275	8	29	
M	1738	275	8	29	
.	1756	275	8	29	
D	1777	276	14	29	
E	1796	276	12	29	
N	1808	276	12	29	
S	1827	276	10	29	
O	1837	276	9	29	
N	1850	276	12	29	
,	1867	276	8	29	
1	1886	277	7	29	
9	1894	277	8	29	
1	1906	277	9	29	
1	1918	277	9	29	
.	1927	277	8	29	
A	10	264	2	34	
l	14	264	1	35	
t	20	265	1	34	
o	27	266	0	34	
b	35	268	4	35	
y	46	269	3	35	
S	55	271	4	35	
.	62	272	4	35	
M	73	273	4	35	
.	87	275	4	35	
D	97	276	4	35	
e	108	278	3	35	
n	118	279	4	35	
s	130	281	1	35	
o	138	282	0	34	
n	145	283	0	34	
,	150	284	4	35	
1	159	285	3	34	
9	161	285	3	35	
2	172	286	1	34	
1	176	287	2	34	
K	284	268	16	32	
e	306	268	12	32	
y	318	268	8	32	
o	341	268	8	32	
f	351	268	7	32	
F	371	268	8	32	
M	393	268	16	32	
a	415	268	12	32	
j	430	268	8	32	
o	437	268	7	32	
r	449	268	10	32	
.	457	268	8	32	
o	87	415	3	30	
u	96	416	2	30	
r	103	417	0	29	
w	113	419	4	30	
h	125	421	2	30	
o	132	422	0	29	
l	139	423	1	29	
e	142	423	2	29	
t	150	425	0	29	
i	157	425	1	29	
m	160	426	1	29	
e	165	427	0	29	
N	345	403	12	29	
o	360	403	12	29	
m	395	403	14	29	
o	414	403	12	29	
r	428	403	9	29	
e	440	404	9	29	
b	461	404	9	29	
e	473	404	9	29	
-	491	404	8	29	
n	504	404	12	29	
e	521	404	9	29	
a	530	404	8	29	
t	542	404	8	29	
h	552	404	7	29	
t	573	404	7	29	
h	581	404	9	29	
e	594	404	12	29	
o	614	404	9	29	
p	626	404	9	29	
p	638	404	9	29	
r	650	404	8	29	
e	659	405	8	29	
s	671	405	8	29	
s	681	405	7	29	
-	689	405	8	29	
i	699	405	7	29	
v	707	405	8	29	
e	719	405	9	29	
h	741	405	12	29	
a	758	405	9	29	
n	767	405	9	29	
d	780	405	12	29	
O	836	405	14	29	
f	854	405	14	29	
t	912	406	7	29	
y	920	406	8	29	
r	932	406	9	29	
-	950	406	8	29	
a	969	406	7	29	
n	978	406	7	29	
-	998	406	8	29	
n	1011	406	12	29	
y	1026	406	12	29	
w	1070	406	14	29	
e	1088	407	14	29	
g	1139	407	9	29	
r	1151	407	8	29	
o	1160	407	8	29	
a	1172	407	9	29	
n	1184	407	9	29	
.	1196	407	8	29	
В	1901	413	8	20	
е	1913	414	8	20	
.	1947	415	4	20	
d	9	548	2	29	
e	14	548	4	29	
n	23	549	4	29	
c	30	549	2	29	
e	36	550	2	29	
,	40	550	6	29	
v	53	551	5	29	
i	62	552	5	29	
-	79	553	6	29	
t	96	554	2	29	
h	102	554	2	29	
e	108	555	2	29	
a	126	556	2	29	
n	132	556	2	29	
d	138	557	2	29	
h	147	558	2	29	
e	153	558	2	29	
a	160	558	1	29	
l	163	559	0	29	
t	166	559	0	29	
h	169	559	0	29	
N	346	649	12	31	
o	362	649	12	31	
m	395	649	16	31	
o	417	649	12	31	
r	431	649	9	31	
e	441	649	7	31	
b	462	649	10	31	
e	475	649	9	31	
-	492	649	8	31	
n	506	649	12	31	
e	523	649	10	31	
a	534	649	7	31	
t	543	649	8	31	
h	553	649	7	31	
t	577	649	5	31	
h	582	649	8	31	
e	596	649	12	31	
o	617	649	8	31	
p	627	649	8	31	
p	638	649	10	31	
r	652	649	8	31	
e	662	649	7	31	
s	671	649	9	31	
s	683	649	9	31	
-	694	649	8	31	
i	700	649	8	31	
v	709	649	9	31	
e	722	649	10	31	
h	744	649	10	31	
a	757	649	10	31	
n	770	649	10	31	
d	782	649	10	31	
O	837	649	15	31	
f	856	649	15	31	
t	915	649	7	31	
y	924	649	7	31	
r	934	649	8	31	
-	953	649	8	31	
a	969	649	8	31	
n	979	649	8	31	
-	1001	649	8	31	
n	1016	649	10	31	
y	1029	649	10	31	
w	1073	649	12	31	
e	1089	649	12	31	
g	1141	649	10	31	
r	1155	649	8	31	
o	1164	649	7	31	
a	1173	649	9	31	
n	1186	649	10	31	
.	1199	649	8	31	
B	1458	653	12	31	
e	1474	653	12	31	
-	1499	653	8	31	
h	1523	653	10	31	
o	1536	653	9	31	
l	1547	653	7	31	
d	1556	653	7	31	
t	1575	653	8	31	
h	1585	653	8	31	
e	1597	653	10	31	
s	1617	653	8	31	
m	1625	653	11	31	
i	1645	653	10	31	
l	1654	653	4	31	
-	1659	653	8	31	
i	1665	653	8	31	
n	1675	653	8	31	
g	1686	653	10	31	
,	1700	653	8	31	
h	1744	653	10	31	
a	1757	653	10	31	
p	1770	653	10	31	
-	1790	653	8	31	
p	1805	653	10	31	
y	1818	653	10	31	
l	1840	653	4	31	
a	1844	653	7	31	
n	1856	653	10	31	
d	1869	653	10	31	
,	1883	653	8	31	
B	1897	653	12	31	
e	1913	653	12	31	
-	1947	653	8	31	
p	52	697	3	25	
r	57	697	4	25	
u	62	697	10	25	
d	83	698	10	25	
e	94	699	3	25	
n	99	699	3	25	
c	104	699	3	25	
e	109	699	3	25	
b	124	700	5	25	
e	132	700	4	25	
-	140	700	5	25	
g	151	701	3	25	
a	157	701	2	25	
l	160	701	1	25	
e	164	701	3	25	
N	347	781	12	29	
o	362	781	12	29	
m	397	781	14	29	
o	416	781	12	29	
r	430	781	8	29	
e	440	781	7	29	
b	463	781	9	29	
e	475	782	9	29	
-	493	782	8	29	
n	506	782	12	29	
e	523	782	9	29	
a	532	782	8	29	
t	544	782	8	29	
h	554	782	7	29	
t	575	782	7	29	
h	583	782	9	29	
e	596	782	12	29	
o	616	782	9	29	
p	628	782	9	29	
p	640	782	9	29	
r	652	782	8	29	
e	661	782	8	29	
s	673	782	8	29	
s	683	782	7	29	
-	694	782	8	29	
i	701	782	7	29	
v	709	782	8	29	
e	721	782	9	29	
h	743	783	12	29	
a	760	783	9	29	
n	769	783	9	29	
d	782	783	12	29	
O	838	783	14	29	
f	849	783	28	29	
t	905	783	25	29	
y	922	783	8	29	
r	934	783	9	29	
-	952	783	8	29	
a	967	783	9	29	
n	979	783	9	29	
-	1000	784	8	29	
n	1013	784	12	29	
y	1028	784	12	29	
w	1072	784	14	29	
e	1090	784	14	29	
g	1141	784	9	29	
r	1153	784	8	29	
o	1162	784	8	29	
a	1174	784	9	29	
n	1186	784	9	29	
.	1198	784	8	29	
B	1247	784	12	29	
e	1262	785	12	29	
-	1285	785	8	29	
h	1301	785	12	29	
o	1318	785	9	29	
l	1328	785	7	29	
d	1337	785	7	29	
t	1359	785	4	29	
h	1363	785	8	29	
e	1376	785	12	29	
s	1403	785	7	29	
m	1410	785	10	29	
i	1429	785	9	29	
l	1437	785	4	29	
-	1444	785	8	29	
i	1451	785	7	29	
n	1459	785	8	29	
g	1471	785	9	29	
,	1483	785	8	29	
h	1520	786	12	29	
a	1537	786	9	29	
p	1547	786	7	29	
-	1567	786	8	29	
p	1580	786	12	29	
y	1595	786	12	29	
l	1616	786	7	29	
a	1625	786	7	29	
n	1633	786	9	29	
d	1646	786	12	29	
,	1660	786	8	29	
B	1676	786	12	29	
e	1691	786	12	29	
-	1720	786	8	29	
h	1745	786	12	29	
o	1761	786	10	29	
l	1775	786	7	29	
d	1782	786	4	29	
t	1803	787	4	29	
h	1807	787	8	29	
e	1820	787	12	29	
s	1844	787	7	29	
m	1851	787	10	29	
i	1870	787	9	29	
l	1878	787	4	29	
-	1885	787	8	29	
i	1892	787	7	29	
n	1900	787	8	29	
g	1912	787	9	29	
,	1924	787	8	29	
1	1809	828	4	18	
2	1904	828	4	18	
h	320	933	12	29	
o	337	933	9	29	
l	347	933	7	29	
d	356	933	7	29	
t	378	933	4	29	
h	382	933	8	29	
e	395	933	12	29	
s	415	933	9	29	
m	425	933	12	29	
i	445	933	9	29	
l	453	933	4	29	
-	457	934	8	29	
i	468	934	4	29	
n	472	934	8	29	
g	485	934	12	29	
,	499	934	8	29	
h	527	934	12	29	
a	543	934	10	29	
p	556	934	9	29	
-	577	934	8	29	
p	595	934	9	29	
y	607	934	9	29	
l	626	934	7	29	
a	634	934	8	29	
n	645	934	10	29	
d	659	934	12	29	
,	673	934	8	29	
B	689	934	12	29	
e	704	934	12	29	
-	721	934	8	29	
h	734	934	12	29	
o	750	934	10	29	
l	764	934	7	29	
d	771	934	4	29	
t	791	934	7	29	
h	799	934	9	29	
e	812	934	12	29	
s	833	934	7	29	
m	840	934	10	29	
i	858	934	10	29	
l	868	935	8	29	
i	880	935	8	29	
n	889	935	9	29	
g	902	935	12	29	
,	913	935	8	29	
h	944	935	12	29	
a	961	935	9	29	
p	971	935	7	29	
-	991	935	8	29	
p	1004	935	12	29	
y	1019	935	12	29	
l	1040	935	7	29	
a	1048	935	8	29	
n	1060	935	9	29	
d	1072	935	9	29	
;	1084	935	8	29	
T	1102	935	9	29	
h	1113	935	10	29	
a	1129	935	9	29	
t	1139	935	7	29	
f	1163	935	7	29	
r	1172	935	7	29	
e	1180	935	8	29	
e	1192	935	9	29	
-	1201	935	8	29	
d	1210	935	9	29	
o	1222	935	9	29	
m	1234	935	9	29	
c	1262	935	7	29	
a	1270	935	8	29	
l	1283	936	7	29	
l	1289	936	6	29	
s	1298	936	7	29	
h	1310	936	12	29	
e	1327	936	9	29	
r	1337	936	7	29	
o	1393	936	9	29	
w	1403	936	12	29	
n	1420	936	14	29	
,	1435	936	8	29	
t	1463	936	7	29	
h	1471	936	9	29	
a	1486	936	9	29	
t	1496	936	7	29	
f	1530	936	4	29	
r	1535	936	7	29	
e	1546	936	8	29	
e	1556	936	7	29	
-	1573	936	8	29	
d	1588	936	9	29	
o	1600	936	9	29	
m	1612	936	9	29	
c	1667	936	7	29	
a	1675	936	8	29	
l	1688	936	7	29	
l	1694	936	6	29	
s	1703	937	7	29	
h	1735	937	9	29	
e	1747	937	8	29	
r	1757	937	7	29	
o	1789	937	9	29	
w	1799	937	12	29	
n	1816	937	14	29	
.	1834	937	8	29	
B	472	1067	12	31	
e	488	1067	12	31	
-	509	1067	8	31	
h	526	1067	12	31	
o	543	1067	10	31	
l	554	1067	7	31	
d	563	1067	8	31	
t	585	1067	4	31	
h	589	1067	8	31	
e	603	1067	12	31	
s	624	1067	8	31	
m	632	1067	11	31	
i	652	1067	10	31	
l	661	1067	5	31	
-	666	1067	8	31	
i	672	1067	8	31	
n	681	1067	9	31	
g	694	1067	10	31	
,	707	1067	8	31	
h	738	1067	10	31	
a	751	1067	10	31	
p	764	1067	10	31	
-	781	1067	8	31	
p	793	1067	10	31	
y	806	1067	10	31	
l	826	1067	7	31	
a	835	1067	8	31	
n	844	1067	10	31	
d	859	1067	12	31	
,	871	1067	8	31	
T	886	1067	9	31	
h	898	1067	10	31	
a	912	1067	8	31	
t	922	1067	8	31	
f	938	1067	7	31	
r	947	1067	8	31	
e	957	1067	7	31	
e	967	1067	8	31	
