content	x	y	w	h	
247	1650	266	89	64	
.	1737	277	7	54	
V	622	496	104	110	
Alle	750	499	95	110	
Vaticana	870	503	184	111	
:	1071	508	8	107	
35	1113	509	37	108	
654	671	215	86	54	
INDICE	839	213	152	53	
DELLE	1011	210	128	53	
COSE	1159	208	106	53	
PIU'NOTABILI	1289	206	308	50	
Variane	684	268	174	55	
.	871	268	14	55	
287	1066	266	78	57	
.	1147	268	12	55	
Ginnaſi	1275	262	163	56	
.	1447	263	14	55	
Priregni	623	325	188	61	
Pontifici	825	321	190	61	
,	1020	316	15	65	
18	1097	314	49	64	
.	1148	313	12	65	
Giraud	1273	319	157	48	
a	1475	320	24	48	
Porta	1538	320	123	49	
S.	1696	322	56	48	
Pancrazio	1337	373	220	51	
,	1575	375	11	49	
156	1668	378	62	59	
.	1741	378	14	59	
V	872	441	37	42	
Madama	1278	428	192	53	
.	1483	428	12	53	
34	1691	445	47	41	
.	1741	445	10	41	
Magnani	1280	484	200	60	
.	1488	485	15	59	
413	1659	500	75	47	
*	1738	501	12	46	
Alle	746	549	98	49	
Vaticana	867	549	186	47	
35	1099	557	51	49	
.	1156	557	10	49	
Mattei	1279	542	154	48	
.	1447	544	10	47	
435	1663	557	71	47	
.	1743	557	11	47	
Vaticano	627	611	192	45	
da	845	606	48	49	
che	911	605	68	48	
derivi	1005	603	134	46	
.	1150	600	14	49	
Pamfili	1276	594	164	55	
a	1462	596	22	54	
S.	1509	596	47	54	
Pancrae	1579	597	170	56	
35	735	681	52	45	
.	791	680	12	45	
zio	1334	656	64	45	
.	1416	656	12	45	
159	1662	666	78	51	
.	1739	666	12	51	
Velabro	625	721	171	59	
.	806	719	16	61	
290.	1068	713	98	59	
Vulcanale	1223	707	216	56	
.	1445	699	17	62	
406	1660	716	73	55	
.	1736	716	15	55	
Velia	629	771	117	62	
alta	762	771	83	62	
,	865	771	17	62	
e	896	771	17	62	
bafa.404	927	771	219	62	
.	1150	771	16	62	
Vico	634	836	103	59	
Jugario	753	833	163	58	
.	924	829	19	62	
291	1069	840	73	46	
.	1154	841	11	46	
Z	1471	823	30	46	
Mamertino	681	893	249	45	
.	944	889	13	48	
464	1065	886	85	53	
.	1153	885	12	54	
Sandalario	683	951	234	42	
.	931	943	14	50	
410	1065	951	85	45	
.	1151	947	13	48	
Villa	629	1007	115	55	
Corſiri	759	1003	150	55	
.	914	999	16	59	
164	1073	999	75	53	
.	1150	999	14	53	
Farneſiana	681	1067	230	47	
nel	919	1054	70	55	
Palati	1001	1050	148	51	
.	1147	1042	17	58	
no	740	1134	47	37	
.	801	1134	14	37	
410	1067	1119	83	47	
.	1153	1119	11	47	
Zeca	1223	926	197	123	
Pontificia	1451	938	184	122	
,	1641	948	27	115	
110	1672	949	59	116	
.	1733	952	16	114	
FINE	857	1411	182	51	
DEL	1073	1407	132	52	
TOMO	1243	1403	210	51	
I.	1487	1398	37	55	
