content	x	y	w	h	
V	1622	3069	75	19	
CLEAN	1624	2961	45	198	
/	1578	2713	66	40	
Screens	1573	2694	31	205	
Чім	3	1569	40	89	
әрпичэjna	2	1457	39	231	
əјешә	-1	1199	41	120	
}	-2	1078	41	11	
10	-2	1042	41	36	
әed	-3	995	41	125	
ej	-4	835	41	29	
se	-4	788	41	45	
әбиел	-5	722	40	125	
Jo	53	1568	51	39	
əqəmə	52	1496	49	201	
əyl	49	1269	51	68	
poween	48	1176	49	213	
jeosed	46	938	49	128	
ǝsioouets	44	772	49	186	
IS	143	1353	142	932	
FLIGHT	454	2681	97	369	
PLAN	448	2254	99	239	
1634	576	3644	55	120	
CDT	573	3481	55	99	
MCC	593	4080	58	158	
-	591	3908	61	18	
H	590	3884	61	18	
DSE	695	4205	62	98	
RECORD	694	4063	62	205	
/	692	3844	63	18	
HBR	692	3827	63	101	
Keep	473	1533	191	184	
your	461	1253	190	184	
delicate	447	953	186	329	
stes	431	593	191	184	
parts	638	1500	176	195	
covered	643	1221	119	321	
!	628	829	130	43	
32:00	673	3507	58	150	
(	752	3567	67	20	
21101	751	3544	64	168	
)	748	3369	67	20	
(	816	3567	73	22	
x1111	815	3541	72	171	
)	814	3367	73	22	
:	1072	3434	53	16	
10	1071	3400	53	50	
SXT	1289	2889	56	97	
PHOTO	1286	2749	55	160	
TEST	1283	2547	55	132	
:	1485	3425	54	16	
20	1484	3396	53	51	
M	1797	3217	49	15	
us	1908	3234	43	47	
DSE	1898	4086	61	98	
STOP	1899	3947	61	125	
/	1899	3799	61	17	
LBR	1899	3782	62	96	
32:30	1895	3492	52	152	
F	1937	3208	49	6	
N	1997	3216	53	15	
:	2302	3413	55	15	
40	2302	3391	55	61	
my	2711	3612	230	72	
UV	2549	2775	55	72	
PHOTOS	2548	2663	55	191	
:	2713	3411	53	16	
50	2712	3384	53	59	
PAGE	3147	608	53	200	
33:00	3123	3478	51	156	
MISSION	3212	3730	56	292	
EDITION	3200	3194	54	259	
APOLLO	3307	3743	54	199	
15	3304	3498	56	52	
FINAL	3285	3311	69	159	
(	3285	3097	69	20	
7/26	3285	3073	69	124	
)	3285	2936	69	20	
CHANGE	3385	3262	49	200	
B	3380	3014	54	16	
DATE	3186	2494	54	172	
TIME	3169	1722	55	159	
7/12/71	3286	2521	58	233	
32:00	3267	1866	59	150	
-	3264	1662	61	18	
33:00	3263	1591	60	150	
FLIGHT	3363	2525	62	241	
PLANNING	3358	2256	60	346	
BRANCH	3350	1854	62	265	
DAY	3153	1083	58	139	
/	3150	929	61	18	
REV	3150	901	58	114	
2	3255	984	64	21	
/	3254	945	64	21	
TLC	3252	914	63	96	
3-39	3243	573	53	125	
J4T	3432	736	32	152	
PROCEDURES	3511	1874	40	328	
MISSIONS	3514	1287	59	267	
ABBREVIATED	3503	690	37	365	
TIMELINE	3538	640	36	257	
