content	x	y	w	h	
338	421	256	49	25	
Key	408	301	42	22	
of	458	302	19	16	
A	486	302	17	17	
major.	510	301	64	22	
SAWYERS	1077	252	196	29	
EXIT.	1298	253	105	28	
9.	1485	257	27	25	
8.	1541	258	27	25	
in	956	302	18	15	
the	984	301	30	17	
sight	1022	301	49	22	
of	1081	301	19	16	
the	1109	300	30	18	
Lord	1149	300	47	17	
is	1206	302	15	15	
the	1231	300	30	18	
death	1270	301	55	17	
of	1336	301	19	17	
his	1363	300	30	18	
saints."	1402	302	79	17	
116	1509	302	32	17	
Ps.	1552	302	30	17	
15.	1595	302	27	18	
To	1426	469	27	16	
rise	1477	470	37	15	
to	1523	470	17	15	
the	1559	468	31	17	
mansions	1599	469	97	16	
of	1706	468	18	17	
'	1735	469	5	8	
glo-ry,	1757	468	67	22	
To	1422	626	26	17	
car	1469	631	32	12	
-	1509	634	9	3	
ry	1526	631	21	16	
it	1571	626	14	17	
up-ward	1610	625	83	22	
to	1701	627	19	16	
heav-en,	1732	625	89	20	
2.	520	627	17	16	
3.	520	787	17	17	
How	566	469	47	18	
bright	622	470	60	22	
is	691	471	16	16	
the	717	470	30	17	
day	756	470	37	21	
when	801	470	53	16	
the	865	469	31	17	
Christian,	903	469	99	19	
Receives	1012	469	92	17	
the	1113	468	31	18	
sweet	1152	471	57	15	
message	1216	473	88	18	
to	1313	471	18	15	
come,	1340	474	61	14	
The	562	626	41	18	
an	615	632	23	11	
-	646	636	9	2	
gels	664	627	40	21	
stand	712	627	55	17	
read	775	626	44	18	
-y	827	631	28	17	
and	863	626	37	17	
wait-ing,	908	627	89	20	
The	1006	625	40	17	
mo-ment	1067	628	92	15	
the	1169	625	30	17	
spir	1218	626	36	21	
-it	1263	627	22	15	
is	1309	626	16	17	
gone,	1335	631	53	16	
The	561	786	39	18	
saints	616	788	58	16	
that	683	787	39	17	
have	729	786	49	18	
gone	788	792	47	17	
up	845	792	23	16	
be	876	787	24	17	
-	908	795	8	2	
fore	924	787	40	16	
us,	974	792	27	14	
All	1010	785	30	18	
raise	1065	787	48	17	
a	1127	792	11	11	
new	1153	792	41	11	
shout	1208	786	56	18	
as	1269	792	22	12	
we	1296	792	29	12	
come,	1332	792	61	14	
And	1417	787	43	17	
sing	1476	788	42	21	
hal	1527	787	31	17	
-le	1567	788	31	17	
-	1606	797	8	3	
lu-jah	1629	787	59	22	
the	1698	787	31	18	
Iou-d€r,	1739	787	77	20	
John	1892	302	52	18	
Massengale,	1954	301	124	23	
1859.	2089	304	39	20	
And	1846	468	42	17	
be	1911	468	24	18	
there	1944	468	52	18	
for-	2004	469	41	18	
ev-er	2053	476	55	13	
at	2113	476	15	15	
And	1845	625	43	17	
wel-come	1904	625	98	18	
it	2013	627	14	16	
safe-ly	2042	628	61	22	
at	2112	632	14	14	
To	1841	788	27	16	
wel-come	1886	788	98	17	
the	1998	787	30	18	
trav-el-ers	2036	788	89	17	
home,	461	965	62	20	
And	532	966	43	17	
be	586	966	23	17	
there	620	965	52	18	
for-ev-er	682	966	89	18	
at	780	969	19	14	
home,	459	1126	62	20	
And	531	1126	42	17	
welcome	580	1126	91	17	
it	680	1128	13	16	
safe-ly	700	1127	67	21	
at	776	1129	20	15	
home,	832	966	62	20	
home,	828	1127	62	19	
And	927	967	41	16	
be	977	967	23	16	
there	1008	966	52	18	
for-ev-er	1068	967	91	17	
at	1169	969	19	15	
home,	1196	966	63	22	
And	923	1127	42	17	
welcome	971	1128	90	17	
it	1066	1129	13	16	
safe-ly	1086	1128	71	22	
at	1163	1131	19	15	
home,	1190	1128	63	21	
To	1284	968	27	16	
rise	1332	969	37	16	
to	1379	970	18	15	
the	1407	968	32	17	
mansions	1447	969	97	16	
of	1553	968	19	17	
glo-ry,	1589	969	67	21	
To	1278	1129	27	17	
car-ry	1327	1135	63	16	
it	1414	1131	14	16	
up-ward	1453	1131	83	21	
to	1546	1132	18	15	
heaven,	1574	1129	81	21	
And	1681	968	42	17	
be	1740	968	24	17	
tF*re	1774	968	53	24	
for-	1836	968	44	17	
ev-er	1888	973	61	12	
And	1679	1130	43	17	
welcome	1730	1130	92	17	
it	1834	1130	14	16	
safe	1860	1130	41	17	
-	1909	1139	9	3	
